종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'035420,NAVER,"197,500",▲,"1,700","0.87%","130,487","-7.06%"
'017670,SK텔레콤,"80,900",▲,"3,100","3.98%","53,501","1.25%"
'034730,SK,"312,500",▲,"4,500","1.46%","30,377","-6.44%"
'030200,KT,"59,500",▲,"100","0.17%","19,149","-2.14%"
'018260,삼성에스디에스,"152,200",▲,"1,600","1.06%","15,654","-2.62%"
'064400,LG씨엔에스,"57,600",▲,"1,100","1.95%","14,602","-5.73%"
'079940,가비아,"26,950",▲,"250","0.94%","11,907","0.37%"
'242040,나무기술,"5,800", ,"0","0%","9,222","-6.00%"
'012510,더존비즈온,"119,200",▼,"-200","-0.17%","6,934","-0.08%"
'022100,포스코DX,"30,500",▲,"350","1.16%","6,723","-0.16%"
'010280,아이티센엔텍,"1,093",▲,"98","9.85%","3,035","6.74%"
'041020,폴라리스오피스,"4,270",▲,"110","2.64%","1,575","-8.07%"
'030520,한글과컴퓨터,"19,120",▼,"-40","-0.21%","1,323","-6.50%"
'053800,안랩,"59,700",▲,"100","0.17%","1,084","-3.55%"
'304100,솔트룩스,"20,950",▼,"-50","-0.24%","930","-8.91%"
'012030,DB,"1,650",▲,"51","3.19%","768","-3.34%"
'072130,유엔젤,"5,180",▲,"30","0.58%","708","-2.26%"
'443670,에스피소프트,"4,285",▲,"240","5.93%","606","-4.88%"
'192250,케이사인,"10,430",▲,"430","4.30%","335","3.47%"
'170790,파이오링크,"9,310",▲,"120","1.31%","216","-1.48%"
'307870,비투엔,"1,201",▲,"13","1.09%","200","-9.70%"
'069410,엔텔스,"4,795",▲,"240","5.27%","189","1.05%"
'093320,케이아이엔엑스,"101,600",▲,"1,400","1.40%","154","-2.31%"
'328380,솔트웨어,"812",▲,"31","3.97%","124","4.50%"
'189690,포시에스,"1,957",▲,"34","1.77%","78","2.19%"
'094280,효성ITX,"12,260",▼,"-10","-0.08%","76","-2.23%"
'290270,휴네시온,"3,465",▲,"70","2.06%","58","-1.14%"
'049470,비트플래닛,"663",▲,"5","0.76%","52","-5.96%"
'184230,SGA솔루션즈,"534", ,"0","0%","45","-0.74%"
'060850,영림원소프트랩,"6,020",▲,"50","0.84%","23","-2.11%"
