종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'322000,HD현대에너지솔루션,"191,100",↑,"44,100","30.00%","590,664","55.11%"
'095910,에스에너지,"1,944",↑,"448","29.95%","35,787","32.24%"
'011930,신성이엔지,"3,445",▲,"695","25.27%","656,315","34.31%"
'475150,SK이터닉스,"68,200",▲,"13,200","24.00%","734,718","30.15%"
'388050,지투파워,"12,520",▲,"1,420","12.79%","53,273","11.89%"
'010060,OCI홀딩스,"229,500",▲,"24,500","11.95%","111,928","28.36%"
'389260,대명에너지,"27,300",▲,"2,650","10.75%","79,839","36.50%"
'115530,씨엔플러스,"333",▲,"31","10.26%","2,121","10.26%"
'043200,파루,"1,035",▲,"95","10.11%","15,577","13.24%"
'009830,한화솔루션,"39,050",▲,"3,450","9.69%","408,383","9.54%"
'003070,코오롱글로벌,"11,540",▲,"960","9.07%","2,116","6.85%"
'099220,SDN,"1,415",▲,"111","8.51%","15,863","12.21%"
'126720,수산인더스트리,"27,950",▲,"2,100","8.12%","3,302","4.10%"
'456040,OCI,"96,100",▲,"6,200","6.90%","8,099","2.45%"
'453450,그리드위즈,"22,950",▲,"1,250","5.76%","12,675","9.81%"
'282720,금양그린파워,"17,400",▲,"930","5.65%","30,648","18.61%"
'086390,유니테스트,"16,100",▲,"780","5.09%","3,806","-6.34%"
'058730,다스코,"3,755",▲,"175","4.89%","4,714","3.73%"
'003010,혜인,"5,610",▲,"240","4.47%","547","2.94%"
'093520,매커스,"22,550",▲,"850","3.92%","680","-3.22%"
'240810,원익IPS,"113,500",▲,"4,200","3.84%","32,991","-6.20%"
'017040,광명전기,"954",▲,"35","3.81%","475","-6.93%"
'109610,에스와이,"2,760",▲,"100","3.76%","567","1.66%"
'039020,이건홀딩스,"3,200",▲,"110","3.56%","185","-0.31%"
'042600,새로닉스,"18,280",▲,"580","3.28%","3,996","28.28%"
'004710,한솔테크닉스,"4,635",▲,"125","2.77%","545","-5.02%"
'083930,아바코,"13,200",▲,"340","2.64%","1,092","-1.20%"
'078600,대주전자재료,"121,100",▲,"3,100","2.63%","29,790","-6.99%"
'000880,한화,"113,700",▲,"2,800","2.52%","22,868","1.97%"
'036930,주성엔지니어링,"62,200",▲,"1,400","2.30%","56,125","-11.14%"
