종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'062970,한국첨단소재,"3,575",↑,"825","30.00%","17,377","16.83%"
'065770,CS,"1,440",↑,"332","29.96%","3,625","54.01%"
'109080,옵티시스,"12,880",▲,"2,290","21.62%","9,613","14.90%"
'100590,머큐리,"6,100",▲,"920","17.76%","39,306","12.55%"
'088280,쏘닉스,"4,105",▲,"520","14.50%","16,057","1.48%"
'035460,기산텔레콤,"2,900",▲,"350","13.73%","3,690","4.13%"
'327260,RF머트리얼즈,"76,400",▲,"7,500","10.89%","26,029","12.35%"
'095270,웨이브일렉트로,"5,850",▲,"560","10.59%","3,757","17.23%"
'033790,피노,"10,240",▲,"890","9.52%","112,699","41.24%"
'073540,에프알텍,"3,065",▲,"245","8.69%","1,892","15.23%"
'050890,쏠리드,"16,300",▲,"1,230","8.16%","354,807","15.85%"
'073490,이노와이어리스,"44,500",▲,"2,900","6.97%","21,156","3.85%"
'065530,와이어블,"2,150",▲,"135","6.70%","18,768","3.12%"
'115440,우리넷,"11,250",▲,"640","6.03%","13,993","-18.42%"
'072950,빛샘전자,"7,350",▲,"350","5.00%","1,185","-0.54%"
'046970,우리로,"7,700",▲,"300","4.05%","162,706","-0.26%"
'039560,다산네트웍스,"5,070",▲,"195","4.00%","4,350","-0.20%"
'175140,휴먼테크놀로지,"4,190",▲,"155","3.84%","1,093","5.41%"
'056360,코위버,"7,210",▲,"260","3.74%","4,247","3.00%"
'340360,다보링크,"1,640",▲,"59","3.73%","569","-3.53%"
'037460,삼지전자,"28,600",▲,"1,000","3.62%","18,684","11.72%"
'217590,티엠씨,"20,450",▲,"650","3.28%","10,361","-1.68%"
'032500,케이엠더블유,"28,500",▲,"900","3.26%","13,456","-3.23%"
'218410,RFHIC,"89,000",▲,"2,600","3.01%","68,622","8.01%"
'060370,LS마린솔루션,"30,000",▲,"800","2.74%","17,138","5.63%"
'211270,AP위성,"16,120",▲,"370","2.35%","3,672","-8.77%"
'088800,에이스테크,"4,000",▲,"85","2.17%","4,760","2.04%"
'069540,빛과전자,"3,250",▲,"65","2.04%","80,841","3.50%"
'389020,자람테크놀로지,"49,250",▲,"950","1.97%","7,780","-7.60%"
'109070,주성코퍼레이션,"1,270",▲,"24","1.93%","875","-3.71%"
