종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'009150,삼성전기,"456,000",▲,"39,000","9.35%","376,528","5.07%"
'096630,에스코넥,"815",▲,"69","9.25%","753","4.35%"
'090460,비에이치,"22,950",▲,"1,700","8.00%","17,814","5.76%"
'148150,세경하이테크,"4,510",▲,"255","5.99%","846","1.35%"
'005930,삼성전자,"186,200",▲,"7,800","4.37%","3,744,696","3.62%"
'027580,상보,"591",▲,"24","4.23%","98","0%"
'131760,파인텍,"612",▲,"21","3.55%","46","-7.97%"
'120110,코오롱인더,"81,400",▲,"2,100","2.65%","24,944","1.75%"
'179900,유티아이,"16,910",▲,"400","2.42%","1,410","-1.91%"
'055490,테이팩스,"16,050",▲,"330","2.10%","412","1.39%"
'285490,노바텍,"20,750",▲,"400","1.97%","747","-1.43%"
'060720,KH바텍,"13,100",▲,"250","1.95%","1,498","-4.52%"
'014190,원익큐브,"1,726",▲,"27","1.59%","114","-1.15%"
'089010,켐트로닉스,"26,950",▲,"400","1.51%","1,366","-4.43%"
'011790,SKC,"94,900",▲,"1,300","1.39%","21,596","-3.85%"
'178920,PI첨단소재,"21,350",▲,"200","0.95%","3,115","-11.59%"
'051910,LG화학,"304,500",▲,"2,500","0.83%","73,515","-2.72%"
'272290,이녹스첨단소재,"29,250",▲,"200","0.69%","3,856","-9.16%"
'441270,파인엠텍,"9,460",▼,"-20","-0.21%","3,496","-9.56%"
'290550,디케이티,"17,930",▼,"-100","-0.55%","8,044","-4.93%"
'051370,인터플렉스,"12,400",▼,"-70","-0.56%","1,490","-6.77%"
'094170,동운아나텍,"29,000",▼,"-200","-0.68%","2,919","-5.38%"
'484120,도우인시스,"18,780",▼,"-270","-1.42%","400","-7.94%"
'034220,LG디스플레이,"10,860",▼,"-320","-2.86%","69,211","-5.57%"
