종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'475150,SK이터닉스,"68,200",▲,"13,200","24.00%","734,718","30.15%"
'112610,씨에스윈드,"76,900",▲,"12,000","18.49%","172,132","27.74%"
'297090,씨에스베어링,"9,140",▲,"1,180","14.82%","21,412","16.73%"
'044490,태웅,"50,700",▲,"6,350","14.32%","52,744","7.99%"
'018000,유니슨,"1,682",▲,"192","12.89%","49,215","20.14%"
'003030,세아제강지주,"253,000",▲,"26,000","11.45%","28,230","32.05%"
'389260,대명에너지,"27,300",▲,"2,650","10.75%","79,839","36.50%"
'115530,씨엔플러스,"333",▲,"31","10.26%","2,121","10.26%"
'100130,동국S&C,"2,530",▲,"215","9.29%","4,588","11.21%"
'003070,코오롱글로벌,"11,540",▲,"960","9.07%","2,116","6.85%"
'075580,세진중공업,"17,340",▲,"1,440","9.06%","6,612","1.40%"
'306200,세아제강,"147,600",▲,"11,100","8.13%","9,854","14.24%"
'005160,동국산업,"3,305",▲,"205","6.61%","1,502","3.77%"
'100090,SK오션플랜트,"30,200",▲,"1,850","6.53%","304,134","12.48%"
'282720,금양그린파워,"17,400",▲,"930","5.65%","30,648","18.61%"
'054540,삼영엠텍,"11,090",▲,"590","5.62%","1,486","-0.89%"
'119500,포메탈,"3,910",▲,"205","5.53%","341","-0.26%"
'417200,LS머트리얼즈,"20,900",▲,"1,040","5.24%","68,479","9.31%"
'004800,효성,"138,000",▲,"6,800","5.18%","4,179","-1.15%"
'013810,스페코,"2,970",▲,"135","4.76%","2,941","11.65%"
'032820,우리기술,"21,600",▲,"950","4.60%","224,312","-7.69%"
'096350,대창솔루션,"3,100",▲,"130","4.38%","3,570","-5.63%"
'052690,한전기술,"162,900",▲,"6,700","4.29%","26,647","3.76%"
'034020,두산에너빌리티,"96,600",▲,"3,000","3.21%","243,450","-1.53%"
'060370,LS마린솔루션,"30,000",▲,"800","2.74%","17,138","5.63%"
'024880,케이피에프,"5,250",▲,"140","2.74%","1,266","-20.45%"
'229640,LS에코에너지,"43,850",▲,"950","2.21%","5,045","-1.02%"
'101170,우림피티에스,"12,590",▲,"260","2.11%","1,054","-5.05%"
'005490,POSCO홀딩스,"347,500",▲,"6,500","1.91%","123,947","1.31%"
'298040,효성중공업,"2,560,000",▲,"42,000","1.67%","70,349","-4.33%"
