종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'437730,삼현,"52,900",▲,"2,800","5.59%","14,692","6.22%"
'005930,삼성전자,"186,200",▲,"7,800","4.37%","3,744,696","3.62%"
'234030,싸이닉솔루션,"6,370",▲,"190","3.07%","593","-6.73%"
'267320,나인테크,"3,010",▲,"75","2.56%","1,204","-3.83%"
'011210,현대위아,"76,600",▲,"1,600","2.13%","6,405","-6.24%"
'432470,케이엔에스,"13,000",▲,"270","2.12%","297","-3.06%"
'101170,우림피티에스,"12,590",▲,"260","2.11%","1,054","-5.05%"
'298830,슈어소프트테크,"6,840",▲,"140","2.09%","1,745","-4.07%"
'264450,유비쿼스,"15,400",▲,"290","1.92%","5,551","-8.66%"
'377480,마음AI,"14,080",▲,"260","1.88%","299","-8.03%"
'241690,유니테크노,"3,565",▲,"55","1.57%","216","-3.39%"
'000850,화천기공,"35,700",▲,"500","1.42%","254","-3.12%"
'125490,한라캐스트,"13,990",▲,"190","1.38%","7,005","-9.57%"
'059120,아진엑스텍,"6,680",▲,"90","1.37%","1,347","-17.33%"
'464080,에스오에스랩,"14,580",▲,"190","1.32%","2,364","-6.54%"
'005380,현대차,"471,000",▲,"5,500","1.18%","311,858","-4.85%"
'475400,씨메스,"30,100",▲,"350","1.18%","1,744","-4.14%"
'022100,포스코DX,"30,500",▲,"350","1.16%","6,723","-0.16%"
'389500,에스비비테크,"47,950",▲,"550","1.16%","3,005","-3.52%"
'199430,케이엔알시스템,"21,800",▲,"200","0.93%","888","-3.11%"
'466100,클로봇,"51,500",▲,"300","0.59%","8,208","1.38%"
'086960,MDS테크,"1,095",▲,"5","0.46%","663","-4.70%"
'264850,이랜시스,"5,660",▲,"20","0.35%","874","-6.14%"
'307950,현대오토에버,"380,500",▲,"1,000","0.26%","15,460","-3.43%"
'0007C0,아크릴,"31,050",▲,"50","0.16%","3,796","-9.34%"
'140670,알에스오토메이션,"15,550",▼,"-30","-0.19%","2,210","-8.58%"
'012330,현대모비스,"388,500",▼,"-1,000","-0.26%","63,998","-4.90%"
'000270,기아,"150,200",▼,"-400","-0.27%","77,008","-3.59%"
'307180,아이엘,"5,050",▼,"-20","-0.39%","4,071","-0.59%"
'066570,LG전자,"108,300",▼,"-500","-0.46%","47,930","-3.30%"
