종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'017960,한국카본,"45,000",▲,"5,400","13.64%","47,845","11.11%"
'046120,오르비텍,"12,760",▲,"1,380","12.13%","33,278","10.00%"
'095190,이엠코리아,"2,415",▲,"220","10.02%","1,273","6.86%"
'079550,LIG넥스원,"860,000",▲,"76,000","9.69%","796,330","17.01%"
'005870,휴니드,"9,280",▲,"580","6.67%","12,425","7.53%"
'274090,켄코아에어로스페이스,"19,540",▲,"830","4.44%","12,509","-16.67%"
'215090,솔디펜스,"2,790",▲,"115","4.30%","263","5.68%"
'034020,두산에너빌리티,"96,600",▲,"3,000","3.21%","243,450","-1.53%"
'012450,한화에어로스페이스,"1,449,000",▲,"32,000","2.26%","280,460","8.54%"
'011210,현대위아,"76,600",▲,"1,600","2.13%","6,405","-6.24%"
'067390,아스트,"720",▲,"10","1.41%","616","-0.83%"
'221840,하이즈항공,"2,540",▲,"15","0.59%","51","-6.27%"
'003490,대한항공,"23,000",▼,"-200","-0.86%","52,024","-9.09%"
'047810,한국항공우주,"182,600",▼,"-1,600","-0.87%","108,414","-2.09%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
