종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'125020,티씨머티리얼즈,"4,670",▲,"180","4.01%","2,144","-3.01%"
'025550,한국선재,"3,240",▲,"110","3.51%","195","-0.46%"
'060370,LS마린솔루션,"30,000",▲,"800","2.74%","17,138","5.63%"
'017510,세명전기,"9,000",▲,"230","2.62%","1,081","-3.33%"
'026150,특수건설,"6,550",▲,"150","2.34%","435","1.24%"
'046940,우원개발,"4,340",▲,"60","1.40%","468","-2.69%"
'006260,LS,"268,000",▲,"3,500","1.32%","25,454","0%"
'028100,동아지질,"17,860",▲,"210","1.19%","297","1.59%"
'011390,부산산업,"71,400",▲,"700","0.99%","431","-3.12%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
