종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'000880,한화,"113,700",▲,"2,800","2.52%","22,868","1.97%"
'294870,HDC현대산업개발,"20,450",▲,"250","1.24%","5,442","-8.09%"
'006730,서부T&D,"13,030",▲,"90","0.70%","5,118","-5.10%"
'008770,호텔신라,"43,100",▲,"200","0.47%","4,626","-9.17%"
'139480,이마트,"90,200",▲,"100","0.11%","9,520","-9.80%"
'070960,모나용평,"2,930", ,"0","0%","132","-2.98%"
'194370,제이에스코퍼레이션,"11,100",▼,"-40","-0.36%","1,991","-5.13%"
'499790,GS피앤엘,"40,600",▼,"-400","-0.98%","3,910","-15.42%"
'035250,강원랜드,"16,610",▼,"-170","-1.01%","9,397","-9.04%"
'032350,롯데관광개발,"16,140",▼,"-180","-1.10%","13,191","-18.69%"
'025980,아난티,"6,690",▼,"-80","-1.18%","4,366","-4.70%"
'001740,SK네트웍스,"5,220",▼,"-200","-3.69%","9,518","-2.61%"
'007720,소노스퀘어,"388",▼,"-15","-3.72%","179","-23.17%"
'034230,파라다이스,"15,020",▼,"-1,470","-8.91%","29,419","-15.76%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
