종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'005490,POSCO홀딩스,"347,500",▲,"6,500","1.91%","123,947","1.31%"
'081150,티플랙스,"3,585",▲,"215","6.38%","29,573","6.70%"
'010130,고려아연,"1,484,000",▲,"16,000","1.09%","18,239","0.07%"
'402490,그린리소스,"13,160",▼,"-460","-3.38%","7,618","-14.60%"
'229640,LS에코에너지,"43,850",▲,"950","2.21%","5,045","-1.02%"
'004560,현대비앤지스틸,"15,290",▲,"400","2.69%","1,154","-3.35%"
'047400,유니온머티리얼,"1,634",▲,"13","0.80%","872","0.74%"
'285490,노바텍,"20,750",▲,"400","1.97%","747","-1.43%"
'000910,유니온,"4,370",▲,"60","1.39%","351","-0.46%"
'419080,엔젯,"4,930",▲,"85","1.75%","259","-3.14%"
'222420,쎄노텍,"1,310",▲,"26","2.02%","192","-0.68%"
'011230,삼화전자,"2,615",▲,"90","3.56%","118","2.55%"
'075970,동국알앤에스,"2,160",▲,"30","1.41%","117","-0.69%"
'011300,성안머티리얼스,"322",▼,"-8","-2.42%","113","5.92%"
'037370,EG,"5,070",▲,"30","0.60%","85","0%"
'024890,대원화성,"768",▲,"1","0.13%","76","-2.17%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
