window,combo_tier,combo_name,total_events,success,partial,failure,success_rate,avg_max_drawdown,avg_final_return,segment,market_regime
5,S,외+연+사,7473,4023,998,2452,53.8,-5.72,1.62,all,all
5,A1,외+연,5563,3450,757,1356,62.0,-4.84,1.55,all,all
5,A2,외+사,2318,1162,338,818,50.1,-6.08,1.46,all,all
5,B1,외+투신,1725,902,258,565,52.3,-5.72,0.9,all,all
5,B2,연+사,968,581,101,286,60.0,-5.34,1.55,all,all
10,S,외+연+사,7315,2996,895,3424,41.0,-7.77,3.33,all,all
10,A1,외+연,5474,2677,747,2050,48.9,-6.64,2.88,all,all
10,A2,외+사,2268,849,297,1122,37.4,-8.19,3.31,all,all
10,B1,외+투신,1678,663,205,810,39.5,-8.0,2.25,all,all
10,B2,연+사,950,433,100,417,45.6,-7.44,2.75,all,all
20,S,외+연+사,6961,2233,734,3994,32.1,-9.93,6.29,all,all
20,A1,외+연,5207,2029,612,2566,39.0,-8.65,5.9,all,all
20,A2,외+사,2161,647,217,1297,29.9,-10.48,6.84,all,all
20,B1,외+투신,1579,514,159,906,32.6,-10.33,5.54,all,all
20,B2,연+사,912,316,92,504,34.6,-9.74,5.29,all,all
20,S,외+연+사,5280,1871,602,2807,35.4,-9.15,6.15,KOSPI200,all
20,A1,외+연,3772,1661,467,1644,44.0,-7.58,5.33,KOSPI200,all
20,A2,외+사,1006,394,114,498,39.2,-8.9,6.07,KOSPI200,all
20,B1,외+투신,603,264,76,263,43.8,-7.95,5.71,KOSPI200,all
20,B2,연+사,719,264,75,380,36.7,-9.18,4.46,KOSPI200,all
20,S,외+연+사,1681,362,132,1187,21.5,-12.36,6.72,KOSDAQ150,all
20,A1,외+연,1435,368,145,922,25.6,-11.46,7.4,KOSDAQ150,all
20,A2,외+사,1155,253,103,799,21.9,-11.86,7.51,KOSDAQ150,all
20,B1,외+투신,976,250,83,643,25.6,-11.8,5.43,KOSDAQ150,all
20,B2,연+사,193,52,17,124,26.9,-11.81,8.37,KOSDAQ150,all
20,S,외+연+사,4672,1367,447,2858,29.3,-10.59,7.46,all,uptrend
20,A1,외+연,3321,1200,374,1747,36.1,-9.19,7.65,all,uptrend
20,A2,외+사,1418,403,150,865,28.4,-10.8,8.55,all,uptrend
20,B1,외+투신,1019,300,113,606,29.4,-10.7,7.55,all,uptrend
20,B2,연+사,624,190,68,366,30.4,-10.31,7.18,all,uptrend
20,S,외+연+사,765,278,117,370,36.3,-7.74,1.76,all,sideways
20,A1,외+연,689,340,87,262,49.3,-6.22,3.18,all,sideways
20,A2,외+사,280,116,29,135,41.4,-7.64,2.7,all,sideways
20,B1,외+투신,187,95,21,71,50.8,-6.28,4.38,all,sideways
20,B2,연+사,89,40,8,41,44.9,-7.01,-0.43,all,sideways
