stock_name,sector,final_score,combo,n_buyers,change_pct
네패스아크,반도체검사,154.81,외+연+투+사,4,29.87
씨에스베어링,재생에너지,138.09,외+투+사+기,4,9.39
네패스,반도체패키징,114.85,외+연+투+사,4,17.07
디케이티,온디바이스AI,88.99,외+투+사,3,11.85
한미글로벌,건설,88.64,연+투+사,3,17.49
에이팩트,기타,81.41,외+연+사,3,8.94
티움바이오,바이오,72.98,투+사+기,3,17.78
메가스터디교육,기타,72.9,연+투+사,3,3.81
상신이디피,기타,69.4,연+투+사,3,0
에프앤가이드,기타,69.4,연+투+사,3,0
노머스,기타,69.4,연+투+사,3,0
다산네트웍스,기타,66.18,외+기,2,15.38
티엠씨,조선,64.64,연+투+사,3,20.53
제노코,기타,61.88,외+기,2,1.72
금양그린파워,기타,61.8,외+연+기,3,0
유니테스트,반도체테스트,59.61,외+투,2,7.53
LS증권,금융,58.8,외+사,2,0
엠케이전자,반도체증착,58.03,외+투+기,3,2.03
동부건설,건설,57.1,외+사,2,12
그리드위즈,기타,56.5,외+사+기,3,0
오르비텍,원자력,56.14,외+기,2,24.77
OCI,2차전지,55.99,연+투+사,3,2.3
하이록코리아,조선,54.4,연+투+사,3,0
한양이엔지,반도체클린룸,54.1,투+사,2,0
한신공영,건설,46.77,사+기,2,29.99
엘티씨,기타,46.6,투+기,2,-0.29
싸이맥스,기타,45.84,연+사,2,-1.25
한섬,소비재,44.4,연+투,2,0
다우데이타,IT,44.4,연+투,2,0
유비쿼스,기타,44.4,연+투,2,0
서부T&D,호텔,42.41,연+투+기,3,0
가온칩스,반도체ASIC,41.8,투+기,2,0
엔알비,기타,41.8,투+기,2,0
엠플러스,기타,40.3,연+사,2,0
진성티이씨,기타,40.3,연+사,2,0
세아제강지주,금속,28.05,외+사,2,13.69
디아이,반도체검사,18.71,연+투,2,0.78
엔비알모션,기타,11.8,투+기,2,0
자람테크놀로지,기타,11.59,외+기,2,-2.22
시지메드텍,기타,7.7,사+기,2,0
세미파이브,반도체ASIC,5.13,투+기,2,-1.12
코스텍시스,기타,2.25,투+기,2,0.42
