종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비,평균가대비,대비율(%),기간거래량
'445680,큐리옥스바이오시스템즈,"-793","-11,293","142,454","131,700",▼,"-7,900","-10,754","-7.54%","1,605,313"
'373220,LG에너지솔루션,"-159","-5,960","374,995","371,000",▼,"-12,500","-3,995","-1.06%","213,253"
'476830,알지노믹스,"-265","-5,397","203,388","214,000",▲,"18,400","10,612","+5.21%","916,668"
'047040,대우건설,"-2,335","-3,838","16,435","16,170",▲,"1,300","-265","-1.61%","77,126,668"
'289930,웨이비스,"-1,415","-2,870","20,286","19,900",▲,"450","-386","-1.90%","507,115"
'376900,로킷헬스케어,"-212","-2,710","128,069","128,700", ,"0","631","+0.49%","553,384"
'440110,파두,"-447","-2,564","57,405","57,000",▼,"-5,500","-405","-0.70%","1,888,079"
'080580,오킨스전자,"-1,227","-2,557","20,838","20,850",▲,"1,330","12","+0.05%","1,476,057"
'499660,TIGER CD금리플러스액티브(합성),"-23","-2,304","1,001,880","1,001,880",▲,"230","0","0%","11,289"
'425040,티이엠씨,"-1,778","-2,103","11,829","11,890",▲,"1,060","61","+0.51%","4,164,875"
'329180,HD현대중공업,"-37","-2,092","567,973","567,000",▼,"-23,000","-973","-0.17%","173,145"
'011070,LG이노텍,"-71","-2,022","285,311","286,000",▲,"17,500","689","+0.24%","337,684"
'352820,하이브,"-54","-1,964","366,029","354,500",▼,"-13,000","-11,529","-3.14%","282,806"
'263750,펄어비스,"-403","-1,885","46,753","46,000",↓,"-19,600","-753","-1.61%","4,316,098"
'456160,지투지바이오,"-212","-1,845","87,158","86,900",▼,"-4,700","-258","-0.29%","599,266"
'277810,레인보우로보틱스,"-24","-1,729","714,784","718,000",▼,"-22,000","3,216","+0.44%","103,793"
'530031,삼성 레버리지 WTI원유 선물 ETN,"-5,238","-1,722","3,287","3,150",▲,"325","-137","-4.16%","7,244,903"
'0046A0,TIGER 미국초단기(3개월이하)국채,"-1,589","-1,651","10,387","10,395",▲,"120","8","+0.07%","1,210,638"
'024850,HLB이노베이션,"-2,961","-1,604","5,417","5,050",▲,"250","-367","-6.77%","11,858,948"
'055550,신한지주,"-163","-1,523","93,403","96,500",▲,"1,500","3,097","+3.31%","1,262,052"
'006120,SK디스커버리,"-255","-1,519","59,626","60,300",▼,"-1,200","674","+1.13%","101,867"
'490470,세미파이브,"-461","-1,477","32,013","31,250",▲,"2,100","-763","-2.38%","4,031,293"
'091160,KODEX 반도체,"-132","-1,358","102,594","103,420",▼,"-1,680","826","+0.80%","3,526,994"
'251270,넷마블,"-237","-1,219","51,535","51,000",▼,"-2,700","-535","-1.03%","307,565"
'122870,와이지엔터테인먼트,"-193","-1,161","60,199","60,100",▼,"-2,100","-99","-0.16%","253,318"
'033640,네패스,"-639","-1,146","17,924","17,980",▼,"-150","56","+0.31%","194,518"
'107640,한중엔시에스,"-210","-1,098","52,347","51,700",▼,"-2,300","-647","-1.23%","156,223"
'001740,SK네트웍스,"-1,933","-1,044","5,400","5,490",▼,"-110","90","+1.66%","1,286,930"
'458870,씨어스테크놀로지,"-56","-1,026","184,345","189,000",▲,"3,900","4,655","+2.52%","78,851"
'089030,테크윙,"-172","-1,010","58,600","58,500",▼,"-3,500","-100","-0.17%","1,988,169"
'481050,KODEX CD1년금리플러스액티브(합성),"-9","-971","1,022,895","1,022,900",▲,"235","5","0%","49,880"
'000720,현대건설,"-55","-929","170,061","169,500",▼,"-600","-561","-0.32%","1,053,700"
'0066W0,SOL 국제금,"-600","-923","15,384","15,295",▼,"-435","-89","-0.57%","342,918"
'036930,주성엔지니어링,"-150","-914","61,144","61,000",▼,"-1,900","-144","-0.23%","663,995"
'00680K,미래에셋증권2우B,"-421","-853","20,253","20,200",▼,"-900","-53","-0.26%","462,983"
'042660,한화오션,"-62","-811","130,938","130,000",▼,"-2,900","-938","-0.71%","579,582"
'475150,SK이터닉스,"-157","-790","50,341","53,700",▲,"11,100","3,359","+6.67%","14,628,900"
'475630,TIGER CD1년금리액티브(합성),"-7","-779","1,061,710","1,061,715",▲,"255","5","0%","17,480"
'108490,로보티즈,"-27","-717","267,099","267,000",▲,"4,000","-99","-0.03%","239,870"
'101490,에스앤에스텍,"-79","-675","85,598","85,900",▼,"-2,900","302","+0.35%","205,316"
'171090,선익시스템,"-59","-614","104,304","103,500",▼,"-2,900","-804","-0.77%","252,473"
'314130,지놈앤컴퍼니,"-715","-608","8,493","8,460",▼,"-290","-33","-0.38%","618,875"
'322000,HD현대에너지솔루션,"-41","-567","139,630","136,300",▲,"4,600","-3,330","-2.38%","2,432,777"
'035720,카카오,"-113","-566","50,029","50,000",▼,"-1,500","-29","-0.05%","1,164,390"
'105560,KB금융,"-37","-565","154,683","155,700",▲,"1,000","1,017","+0.65%","947,774"
'475580,에이럭스,"-396","-558","14,071","13,910",▲,"890","-161","-1.14%","5,090,526"
'102970,KODEX 증권,"-204","-556","27,287","27,095",▼,"-940","-192","-0.70%","2,377,492"
'425420,티에프이,"-88","-545","61,841","60,700",▲,"3,100","-1,141","-1.84%","259,637"
'046120,오르비텍,"-468","-539","11,510","10,980",▲,"1,060","-530","-4.60%","14,144,002"
'114800,KODEX 인버스,"-3,007","-524","1,743","1,604",▲,"48","-139","-7.97%","319,514,693"
'145720,덴티움,"-100","-524","52,496","51,900",▼,"-1,500","-596","-1.13%","32,140"
'015760,한국전력,"-106","-513","48,541","48,300",▼,"-1,650","-241","-0.49%","1,725,030"
'052400,코나아이,"-86","-507","58,929","58,500",▼,"-1,600","-429","-0.72%","99,290"
'253590,네오셈,"-257","-491","19,144","18,750",▼,"-1,130","-394","-2.05%","1,516,519"
'033160,엠케이전자,"-281","-486","17,305","17,710",▲,"3,260","405","+2.34%","7,290,486"
'229200,KODEX 코스닥150,"-244","-485","19,869","19,785",▼,"-420","-84","-0.42%","16,482,523"
'360350,코셈,"-302","-483","16,020","15,780",▲,"760","-240","-1.49%","251,198"
'124500,아이티센글로벌,"-76","-481","63,185","65,200",▼,"-1,800","2,015","+3.18%","334,923"
'487240,KODEX AI전력핵심설비,"-142","-478","33,570","33,785",▲,"255","215","+0.64%","4,766,849"
'005680,삼영전자,"-317","-477","15,053","15,400",▲,"840","347","+2.30%","326,105"
'241560,두산밥캣,"-76","-471","61,846","61,800",▲,"800","-46","-0.07%","408,573"
'086520,에코프로,"-29","-434","149,625","151,100",▼,"-2,900","1,475","+0.98%","925,314"
'138040,메리츠금융지주,"-38","-430","112,557","110,900",▼,"-4,900","-1,657","-1.47%","255,218"
'003670,포스코퓨처엠,"-21","-427","201,291","198,000",▼,"-2,500","-3,291","-1.63%","298,252"
'402340,SK스퀘어,"-7","-421","621,451","611,000",▼,"-19,000","-10,451","-1.68%","399,104"
'003540,대신증권,"-104","-414","39,701","39,650",▼,"-1,050","-51","-0.12%","136,272"
'019210,와이지-원,"-300","-407","13,538","12,810",▲,"880","-728","-5.37%","3,138,379"
'222080,씨아이에스,"-321","-399","12,414","12,570",▼,"-340","156","+1.25%","1,629,484"
'052020,에스티큐브,"-245","-393","16,029","15,700",▼,"-600","-329","-2.05%","377,653"
'006260,LS,"-13","-381","300,254","290,500",▲,"8,500","-9,754","-3.24%","197,216"
'141080,리가켐바이오,"-20","-380","193,580","199,900",▼,"-11,100","6,320","+3.26%","363,749"
'058610,에스피지,"-29","-357","122,763","123,200",▼,"-4,300","437","+0.35%","207,029"
'461300,아이스크림미디어,"-186","-356","19,097","18,990",▲,"790","-107","-0.56%","457,722"
'042700,한미반도체,"-12","-353","306,652","307,000",▼,"-4,000","348","+0.11%","788,358"
'463050,TIME K바이오액티브,"-171","-346","20,198","20,200",▼,"-450","2","0%","514,596"
'087010,펩트론,"-10","-324","318,879","317,500",▼,"-10,500","-1,379","-0.43%","185,941"
'139480,이마트,"-33","-315","94,326","94,400",▼,"-1,900","74","+0.07%","94,132"
'052710,아모텍,"-224","-309","13,806","14,020",▲,"490","214","+1.55%","582,957"
'281740,레이크머티리얼즈,"-155","-308","19,809","19,820",▼,"-580","11","+0.05%","496,355"
'053700,삼보모터스,"-481","-303","6,299","6,250",▼,"-340","-49","-0.77%","1,039,064"
'228800,TIGER 여행레저,"-909","-303","3,329","3,300",▼,"-40","-29","-0.87%","246,864"
'0163Y0,KoAct 코스닥액티브,"-240","-302","12,564","12,630",▼,"-360","66","+0.52%","8,429,596"
'411060,ACE KRX금현물,"-89","-289","32,321","32,210",▼,"-680","-111","-0.34%","2,496,481"
'389650,넥스트바이오메디컬,"-37","-285","76,254","76,000",▲,"400","-254","-0.33%","95,062"
'003280,흥아해운,"-944","-282","2,983","3,050",▲,"135","67","+2.24%","10,468,923"
'261220,KODEX WTI원유선물(H),"-120","-279","23,325","23,265",▲,"1,105","-60","-0.25%","2,191,843"
'360150,KODEX 코스닥150롱코스피200숏선물,"-462","-276","5,973","5,980",▲,"60","7","+0.11%","101,153"
'214270,FSN,"-1,009","-271","2,684","2,665",▲,"465","-19","-0.70%","5,857,655"
'046970,우리로,"-1,359","-261","1,921","2,085",↑,"480","164","+8.53%","26,824,420"
'011930,신성이엔지,"-829","-254","3,065","3,080",▲,"90","15","+0.48%","101,227,571"
'000210,DL,"-49","-253","52,134","51,300",▲,"1,450","-834","-1.59%","168,952"
'449450,PLUS K방산,"-34","-251","73,446","73,700",▼,"-800","254","+0.34%","871,593"
'094820,일진파워,"-142","-250","17,587","17,500",▼,"-250","-87","-0.49%","243,160"
'327260,RF머트리얼즈,"-41","-247","60,806","60,500",▲,"4,800","-306","-0.50%","854,388"
'066970,엘앤에프,"-22","-239","106,904","108,300",▼,"-3,000","1,396","+1.30%","308,418"
'226950,올릭스,"-13","-229","181,552","181,800",▼,"-8,200","248","+0.13%","266,210"
'278470,에이피알,"-6","-224","367,248","369,000",▲,"7,000","1,752","+0.47%","294,185"
'323280,태성,"-32","-223","69,639","69,400",▼,"-800","-239","-0.34%","333,449"
'483650,달바글로벌,"-14","-221","155,427","154,900",▼,"-1,500","-527","-0.33%","62,816"
'023160,태광,"-77","-219","28,617","28,900",▲,"100","283","+0.98%","280,744"
