종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비,평균가대비,대비율(%),기간거래량
'005930,삼성전자,"+2,340","+47,049","201,087","200,500",▼,"-8,000","-587","-0.29%","18,923,499"
'000660,SK하이닉스,"+385","+39,090","1,015,880","1,013,000",▼,"-43,000","-2,880","-0.28%","3,306,272"
'259960,크래프톤,"+300","+6,992","233,122","232,000",▼,"-2,000","-1,122","-0.48%","106,923"
'005935,삼성전자우,"+451","+6,497","144,136","144,200",▼,"-4,900","64","+0.04%","4,025,464"
'488080,TIGER 반도체TOP10레버리지,"+853","+3,950","46,287","46,030",▼,"-2,205","-257","-0.55%","6,507,276"
'001510,SK증권,"+16,498","+3,651","2,213","2,180",▲,"300","-33","-1.49%","362,468,287"
'005380,현대차,"+62","+3,278","527,989","522,000",▼,"-23,000","-5,989","-1.13%","762,635"
'016360,삼성증권,"+329","+3,257","99,147","98,600",▼,"-2,900","-547","-0.55%","413,300"
'448290,TIGER 미국S&P500(H),"+2,077","+3,219","15,504","15,500",▼,"-330","-4","-0.02%","613,381"
'488770,KODEX 머니마켓액티브,"+266","+2,759","103,845","103,845",▲,"10","0","0%","565,280"
'006400,삼성SDI,"+66","+2,707","410,614","402,500",▼,"-2,500","-8,114","-1.97%","428,488"
'007660,이수페타시스,"+208","+2,695","129,502","129,500",▲,"4,400","-2","0%","2,112,449"
'006800,미래에셋증권,"+380","+2,574","67,741","66,700",▼,"-3,200","-1,041","-1.53%","2,521,922"
'396500,TIGER 반도체TOP10,"+693","+2,377","34,320","34,555",▼,"-615","235","+0.68%","19,992,094"
'494310,KODEX 반도체레버리지,"+299","+2,222","74,233","73,600",▼,"-3,305","-633","-0.85%","4,867,194"
'069500,KODEX 200,"+242","+2,100","86,790","86,750",▼,"-2,620","-40","-0.04%","17,892,883"
'157500,TIGER 증권,"+1,104","+2,052","18,593","18,510",▼,"-745","-83","-0.44%","2,100,344"
'009150,삼성전기,"+40","+1,926","483,773","479,500",▲,"15,500","-4,273","-0.88%","923,071"
'035420,NAVER,"+86","+1,909","220,752","220,500",▼,"-6,000","-252","-0.11%","474,188"
'233740,KODEX 코스닥150레버리지,"+1,097","+1,871","17,055","16,900",▼,"-760","-155","-0.90%","30,591,045"
'122630,KODEX 레버리지,"+200","+1,761","88,081","89,505",▼,"-5,735","1,424","+1.61%","20,353,128"
'353200,대덕전자,"+225","+1,758","78,080","77,300",▲,"2,500","-780","-0.99%","2,408,836"
'0126Z0,삼성에피스홀딩스,"+31","+1,698","541,380","532,000",▼,"-6,000","-9,380","-1.73%","57,702"
'014680,한솔케미칼,"+58","+1,692","290,661","283,500",▼,"-8,000","-7,161","-2.46%","45,391"
'388210,씨엠티엑스,"+110","+1,607","146,110","150,000",▲,"13,200","3,890","+2.66%","263,761"
'005440,현대지에프홀딩스,"+1,005","+1,504","14,966","14,960",▼,"-460","-6","-0.04%","256,501"
'034020,두산에너빌리티,"+141","+1,502","106,209","106,300",▼,"-1,000","91","+0.08%","3,330,546"
'329200,TIGER 리츠부동산인프라,"+2,876","+1,324","4,606","4,600",▼,"-10","-6","-0.13%","4,693,331"
'005940,NH투자증권,"+382","+1,276","33,367","33,400",▼,"-800","33","+0.09%","673,415"
'064350,현대로템,"+66","+1,258","189,316","186,300",▼,"-6,700","-3,016","-1.59%","1,111,336"
'170920,엘티씨,"+382","+1,217","31,901","34,100",▲,"4,150","2,199","+6.89%","748,218"
'006280,녹십자,"+81","+1,165","144,689","145,200",▼,"-5,700","511","+0.35%","68,685"
