종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비,평균가대비,대비율(%),기간거래량
'000660,SK하이닉스,"-290","-29,033","1,001,889","1,013,000",▼,"-43,000","11,111","+1.10%","3,306,272"
'089030,테크윙,"-2,096","-12,316","58,748","58,500",▼,"-3,500","-248","-0.42%","1,988,169"
'373220,LG에너지솔루션,"-282","-10,572","374,651","371,000",▼,"-12,500","-3,651","-0.97%","213,253"
'263750,펄어비스,"-1,850","-8,726","47,168","46,000",↓,"-19,600","-1,168","-2.47%","4,316,098"
'352820,하이브,"-238","-8,459","355,023","354,500",▼,"-13,000","-523","-0.14%","282,806"
'000100,유한양행,"-757","-7,480","98,780","98,700",▼,"-1,500","-80","-0.08%","250,071"
'005380,현대차,"-141","-7,402","525,365","522,000",▼,"-23,000","-3,365","-0.64%","762,635"
'005490,POSCO홀딩스,"-191","-6,459","337,993","338,000",▼,"-11,500","7","0%","339,117"
'012330,현대모비스,"-150","-6,178","412,621","413,000",▼,"-17,000","379","+0.09%","177,528"
'102110,TIGER 200,"-648","-5,617","86,705","86,685",▼,"-2,705","-20","-0.02%","6,083,725"
'440110,파두,"-962","-5,503","57,195","57,000",▼,"-5,500","-195","-0.34%","1,888,079"
'307950,현대오토에버,"-120","-5,137","428,192","426,000",▼,"-8,000","-2,192","-0.51%","91,591"
'277810,레인보우로보틱스,"-61","-4,350","719,034","718,000",▼,"-22,000","-1,034","-0.14%","103,793"
'025980,아난티,"-5,456","-4,038","7,401","7,370",▼,"-470","-31","-0.41%","2,285,160"
'017670,SK텔레콤,"-507","-3,994","78,731","78,200",▼,"-3,000","-531","-0.67%","959,929"
'105560,KB금융,"-228","-3,484","153,108","155,700",▲,"1,000","2,592","+1.69%","947,774"
'329180,HD현대중공업,"-55","-3,135","570,075","567,000",▼,"-23,000","-3,075","-0.53%","173,145"
'240810,원익IPS,"-246","-2,994","121,864","120,900",▼,"-3,600","-964","-0.79%","440,750"
'439260,대한조선,"-313","-2,984","95,329","94,900",▼,"-800","-429","-0.45%","182,100"
'058610,에스피지,"-210","-2,613","124,190","123,200",▼,"-4,300","-990","-0.79%","207,029"
'047040,대우건설,"-1,405","-2,425","17,266","16,170",▲,"1,300","-1,096","-6.34%","77,126,668"
'000150,두산,"-20","-2,275","1,154,248","1,149,000",▼,"-40,000","-5,248","-0.45%","53,414"
'402340,SK스퀘어,"-36","-2,178","605,038","611,000",▼,"-19,000","5,962","+0.98%","399,104"
'232140,와이씨,"-980","-2,028","20,692","20,700",▼,"-450","8","+0.03%","770,980"
'005290,동진쎄미켐,"-399","-1,959","49,087","48,550",▼,"-2,650","-537","-1.09%","665,073"
'295310,에이치브이엠,"-198","-1,799","91,062","92,200",▼,"-4,400","1,138","+1.24%","235,578"
'039560,다산네트웍스,"-4,169","-1,793","4,301","4,325",▲,"115","24","+0.55%","1,654,746"
'016360,삼성증권,"-173","-1,711","99,130","98,600",▼,"-2,900","-530","-0.53%","413,300"
'310210,보로노이,"-54","-1,709","317,934","320,000",▼,"-19,000","2,066","+0.64%","95,544"
'047810,한국항공우주,"-89","-1,696","190,195","190,400",▼,"-3,900","205","+0.10%","555,913"
'047050,포스코인터내셔널,"-234","-1,688","72,169","71,800",▲,"200","-369","-0.51%","881,980"
'035420,NAVER,"-75","-1,661","220,904","220,500",▼,"-6,000","-404","-0.18%","474,188"
'099320,쎄트렉아이,"-89","-1,650","185,998","186,200",▼,"-7,000","202","+0.10%","87,564"
'221800,유투바이오,"-748","-1,571","20,990","20,750",▼,"-1,850","-240","-1.14%","386,888"
'115180,큐리언트,"-336","-1,519","45,182","45,050",▼,"-1,550","-132","-0.29%","447,737"
'360200,ACE 미국S&P500,"-610","-1,519","24,905","24,915",▼,"-220","10","+0.04%","1,213,502"
'194480,데브시스터즈,"-381","-1,519","39,840","40,500",▼,"-1,750","660","+1.65%","195,024"
'347850,디앤디파마텍,"-183","-1,448","79,335","78,900",▼,"-3,000","-435","-0.54%","424,526"
'017800,현대엘리베이터,"-164","-1,437","87,828","87,400",▼,"-1,100","-428","-0.48%","180,685"
'042660,한화오션,"-109","-1,429","130,644","130,000",▼,"-2,900","-644","-0.49%","579,582"
'029780,삼성카드,"-234","-1,401","59,771","59,800",▼,"-300","29","+0.04%","84,823"
'128940,한미약품,"-27","-1,398","516,290","519,000",▼,"-12,000","2,710","+0.52%","36,384"
'357780,솔브레인,"-32","-1,366","421,027","422,000",▼,"-18,000","973","+0.23%","50,170"
'475830,오름테라퓨틱,"-101","-1,255","124,476","124,900",▼,"-4,700","424","+0.34%","236,081"
'290650,엘앤씨바이오,"-156","-1,170","74,960","75,400",▼,"-4,400","440","+0.58%","350,604"
'456160,지투지바이오,"-133","-1,165","87,692","86,900",▼,"-4,700","-792","-0.90%","599,266"
'161890,한국콜마,"-168","-1,163","69,401","69,800",▼,"-500","399","+0.57%","113,677"
'294400,KIWOOM 200TR,"-100","-1,142","113,989","113,200",▼,"-3,440","-789","-0.69%","146,814"
'012450,한화에어로스페이스,"-8","-1,132","1,372,508","1,375,000",▼,"-15,000","2,492","+0.18%","111,115"
'445680,큐리옥스바이오시스템즈,"-78","-1,113","143,279","131,700",▼,"-7,900","-11,579","-8.08%","1,605,313"
'003160,디아이,"-290","-1,070","36,841","38,450",▲,"1,200","1,609","+4.36%","913,605"
'069660,KIWOOM 200,"-122","-1,054","86,639","86,610",▼,"-2,550","-29","-0.03%","904,992"
'086790,하나금융지주,"-91","-1,030","112,877","113,200",▼,"-1,300","323","+0.28%","900,967"
'011070,LG이노텍,"-34","-992","294,188","286,000",▲,"17,500","-8,188","-2.78%","337,684"
'042700,한미반도체,"-33","-991","304,567","307,000",▼,"-4,000","2,433","+0.79%","788,358"
'006800,미래에셋증권,"-147","-987","67,368","66,700",▼,"-3,200","-668","-0.99%","2,521,922"
'267260,HD현대일렉트릭,"-10","-955","969,451","958,000",▼,"-16,000","-11,451","-1.18%","112,178"
'348210,넥스틴,"-119","-951","79,952","80,000",▼,"-800","48","+0.06%","78,821"
'086390,유니테스트,"-511","-948","18,559","18,320",▼,"-950","-239","-1.28%","253,894"
'0072R0,TIGER KRX금현물,"-588","-908","15,444","15,400",▼,"-340","-44","-0.28%","2,377,792"
'071050,한국금융지주,"-40","-907","227,485","229,000",▼,"-12,000","1,515","+0.66%","218,487"
'010130,고려아연,"-5","-889","1,621,641","1,612,000",▼,"-83,000","-9,641","-0.59%","34,466"
'0066W0,SOL 국제금,"-572","-880","15,390","15,295",▼,"-435","-95","-0.61%","342,918"
'233740,KODEX 코스닥150레버리지,"-505","-858","16,997","16,900",▼,"-760","-97","-0.57%","30,591,045"
'196170,알테오젠,"-23","-815","348,932","360,000",▲,"5,000","11,068","+3.17%","291,881"
'141080,리가켐바이오,"-40","-806","200,420","199,900",▼,"-11,100","-520","-0.25%","363,749"
'000270,기아,"-45","-776","171,317","170,500",▼,"-4,600","-817","-0.47%","890,052"
'140410,메지온,"-87","-775","89,031","91,500",▲,"11,100","2,469","+2.77%","3,317,551"
'005690,파미셀,"-477","-758","15,889","15,930",▼,"-750","41","+0.25%","643,348"
'033500,동성화인텍,"-289","-756","26,149","26,250",▼,"-800","101","+0.38%","321,355"
'028260,삼성물산,"-26","-753","291,790","291,000",▼,"-8,000","-790","-0.27%","233,252"
'367380,ACE 미국나스닥100,"-270","-753","27,875","27,885",▼,"-325","10","+0.03%","1,001,566"
'458870,씨어스테크놀로지,"-39","-721","186,771","189,000",▲,"3,900","2,229","+1.19%","78,851"
'036570,엔씨소프트,"-32","-705","218,750","221,000",▼,"-9,000","2,250","+1.02%","100,715"
'006650,대한유화,"-50","-676","134,934","134,000",▼,"-9,000","-934","-0.69%","66,933"
'014620,성광벤드,"-211","-670","31,750","31,750",▼,"-750","0","0%","195,048"
'018000,유니슨,"-4,776","-666","1,394","1,393",▼,"-34","-1","-0.07%","9,315,316"
'086280,현대글로비스,"-28","-641","230,672","230,500",▼,"-6,000","-172","-0.07%","164,331"
'950160,코오롱티슈진,"-65","-632","97,087","97,200",▼,"-3,500","113","+0.11%","386,509"
'032820,우리기술,"-219","-629","28,717","28,950",▼,"-350","233","+0.81%","29,314,859"
'236200,슈프리마,"-119","-613","51,482","51,500",▲,"700","18","+0.03%","76,740"
'006400,삼성SDI,"-15","-608","402,087","402,500",▼,"-2,500","413","+0.10%","428,488"
'015360,INVENI,"-77","-605","78,819","79,000",▲,"900","181","+0.22%","16,429"
'052690,한전기술,"-35","-593","167,805","168,000",▼,"-4,300","195","+0.11%","282,193"
'383220,F&F,"-95","-573","60,380","60,100",▼,"-2,000","-280","-0.46%","107,008"
'189300,인텔리안테크,"-46","-568","122,768","123,400",▼,"-4,000","632","+0.51%","160,936"
'396500,TIGER 반도체TOP10,"-165","-568","34,325","34,555",▼,"-615","230","+0.67%","19,992,094"
'033780,KT&G,"-35","-548","156,158","157,000",▼,"-1,700","842","+0.53%","214,761"
'003540,대신증권,"-138","-547","39,620","39,650",▼,"-1,050","30","+0.07%","136,272"
'214270,FSN,"-2,065","-545","2,638","2,665",▲,"465","27","+1.02%","5,857,655"
'347700,스피어,"-114","-540","47,526","45,850",▼,"-2,900","-1,676","-3.52%","780,514"
'271560,오리온,"-40","-514","129,969","130,600",▼,"-3,400","631","+0.48%","104,665"
'098070,한텍,"-117","-512","43,836","44,600",▲,"2,400","764","+1.74%","450,530"
'272290,이녹스첨단소재,"-159","-500","31,389","31,350",▼,"-1,150","-39","-0.12%","142,719"
'316140,우리금융지주,"-144","-480","33,353","33,600",▲,"100","247","+0.74%","1,834,770"
'397030,에이프릴바이오,"-71","-445","62,779","62,500",▼,"-3,700","-279","-0.44%","307,927"
'491000,리브스메드,"-51","-423","82,413","81,700",▼,"-3,600","-713","-0.86%","348,994"
'290550,디케이티,"-216","-414","19,208","19,490",▲,"600","282","+1.46%","478,222"
'055550,신한지주,"-43","-409","95,537","96,500",▲,"1,500","963","+1.00%","1,262,052"
'399720,가온칩스,"-62","-400","64,864","65,400",▼,"-500","536","+0.82%","85,497"
