종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비,평균가대비,대비율(%),기간거래량
'005930,삼성전자,"+874","+17,882","204,719","200,500",▼,"-8,000","-4,219","-2.06%","18,923,499"
'278470,에이피알,"+386","+14,267","369,526","369,000",▲,"7,000","-526","-0.14%","294,185"
'005935,삼성전자우,"+868","+12,551","144,615","144,200",▼,"-4,900","-415","-0.28%","4,025,464"
'247540,에코프로비엠,"+636","+12,258","192,596","189,700",▼,"-6,800","-2,896","-1.50%","439,588"
'066970,엘앤에프,"+1,082","+11,751","108,589","108,300",▼,"-3,000","-289","-0.26%","308,418"
'069500,KODEX 200,"+1,347","+11,704","86,897","86,750",▼,"-2,620","-147","-0.16%","17,892,883"
'489790,한화비전,"+1,133","+9,815","86,645","87,200",▲,"3,300","555","+0.64%","1,706,195"
'003670,포스코퓨처엠,"+482","+9,672","200,618","198,000",▼,"-2,500","-2,618","-1.30%","298,252"
'010060,OCI홀딩스,"+401","+7,979","198,793","198,200",▲,"4,600","-593","-0.29%","256,199"
'319660,피에스케이,"+969","+7,947","82,045","82,500",▲,"5,000","455","+0.55%","569,257"
'353200,대덕전자,"+783","+6,106","77,936","77,300",▲,"2,500","-636","-0.81%","2,408,836"
'131970,두산테스나,"+567","+5,190","91,494","91,900",▲,"4,600","406","+0.44%","656,638"
'001040,CJ,"+259","+5,117","197,404","197,000",▼,"-3,000","-404","-0.20%","162,506"
'356860,티엘비,"+662","+5,111","77,215","79,800",▲,"8,700","2,585","+3.34%","1,405,935"
'476830,알지노믹스,"+221","+4,638","209,432","214,000",▲,"18,400","4,568","+2.18%","916,668"
'298040,효성중공업,"+17","+4,600","2,723,375","2,693,000",▼,"-38,000","-30,375","-1.11%","29,983"
'079550,LIG넥스원,"+62","+4,373","705,360","702,000",▲,"13,000","-3,360","-0.47%","313,967"
'267270,HD건설기계,"+329","+4,309","131,176","131,700",▲,"4,100","524","+0.39%","428,566"
'122630,KODEX 레버리지,"+447","+4,031","90,103","89,505",▼,"-5,735","-598","-0.66%","20,353,128"
'174900,앱클론,"+444","+3,581","80,652","79,800",▼,"-1,200","-852","-1.05%","337,436"
'000250,삼천당제약,"+42","+3,330","801,605","795,000",▲,"11,000","-6,605","-0.82%","328,876"
'475150,SK이터닉스,"+609","+3,219","52,834","53,700",▲,"11,100","866","+1.63%","14,628,900"
'298020,효성티앤씨,"+80","+3,146","395,382","388,500",▼,"-6,000","-6,882","-1.74%","49,291"
'272210,한화시스템,"+221","+3,114","140,591","141,000",▲,"1,200","409","+0.29%","1,776,465"
'095340,ISC,"+127","+3,061","241,221","244,500",▲,"14,500","3,279","+1.35%","337,782"
'000720,현대건설,"+172","+3,006","174,316","169,500",▼,"-600","-4,816","-2.76%","1,053,700"
'108490,로보티즈,"+110","+2,985","270,281","267,000",▲,"4,000","-3,281","-1.21%","239,870"
'032350,롯데관광개발,"+1,391","+2,973","21,372","20,950",▲,"100","-422","-1.97%","498,083"
'010120,LS ELECTRIC,"+33","+2,915","873,589","873,000",▲,"40,000","-589","-0.06%","172,841"
'112610,씨에스윈드,"+376","+2,425","64,466","64,900",▲,"5,800","434","+0.67%","1,939,145"
'490470,세미파이브,"+778","+2,401","30,849","31,250",▲,"2,100","401","+1.29%","4,031,293"
'195870,해성디에스,"+416","+2,379","57,142","56,000",▼,"-1,500","-1,142","-1.99%","207,689"
'322000,HD현대에너지솔루션,"+159","+2,201","138,619","136,300",▲,"4,600","-2,319","-1.67%","2,432,777"
'009150,삼성전기,"+42","+2,072","495,242","479,500",▲,"15,500","-15,742","-3.17%","923,071"
'138040,메리츠금융지주,"+184","+2,057","111,834","110,900",▼,"-4,900","-934","-0.83%","255,218"
'033160,엠케이전자,"+1,143","+1,953","17,078","17,710",▲,"3,260","632","+3.70%","7,290,486"
'036810,에프에스티,"+428","+1,880","43,959","43,000",▼,"-1,050","-959","-2.18%","451,902"
'068270,셀트리온,"+91","+1,865","204,889","202,000",▼,"-7,500","-2,889","-1.41%","325,204"
'006260,LS,"+62","+1,814","292,930","290,500",▲,"8,500","-2,430","-0.82%","197,216"
'009450,경동나비엔,"+249","+1,662","66,672","66,800",▲,"2,900","128","+0.19%","99,195"
'323410,카카오뱅크,"+643","+1,592","24,757","24,650",▲,"150","-107","-0.43%","694,720"
'078600,대주전자재료,"+128","+1,544","120,928","119,700",▲,"1,200","-1,228","-1.01%","345,865"
