종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비,평균가대비,대비율(%),기간거래량
'005930,삼성전자,"-1,950","-39,559","202,875","200,500",▼,"-8,000","-2,375","-1.17%","18,923,499"
'005380,현대차,"-489","-25,708","525,296","522,000",▼,"-23,000","-3,296","-0.62%","762,635"
'003670,포스코퓨처엠,"-555","-11,049","199,044","198,000",▼,"-2,500","-1,044","-0.52%","298,252"
'015760,한국전력,"-2,276","-11,021","48,433","48,300",▼,"-1,650","-133","-0.27%","1,725,030"
'000660,SK하이닉스,"-104","-10,799","1,034,963","1,013,000",▼,"-43,000","-21,963","-2.12%","3,306,272"
'277810,레인보우로보틱스,"-129","-9,263","718,633","718,000",▼,"-22,000","-633","-0.08%","103,793"
'035420,NAVER,"-385","-8,472","219,934","220,500",▼,"-6,000","566","+0.25%","474,188"
'005490,POSCO홀딩스,"-243","-8,235","338,989","338,000",▼,"-11,500","-989","-0.29%","339,117"
'006800,미래에셋증권,"-1,137","-7,655","67,324","66,700",▼,"-3,200","-624","-0.92%","2,521,922"
'066970,엘앤에프,"-677","-7,337","108,435","108,300",▼,"-3,000","-135","-0.12%","308,418"
'064350,현대로템,"-334","-6,337","189,591","186,300",▼,"-6,700","-3,291","-1.73%","1,111,336"
'131970,두산테스나,"-625","-5,720","91,534","91,900",▲,"4,600","366","+0.39%","656,638"
'263750,펄어비스,"-1,213","-5,716","47,110","46,000",↓,"-19,600","-1,110","-2.35%","4,316,098"
'352820,하이브,"-140","-5,034","360,665","354,500",▼,"-13,000","-6,165","-1.70%","282,806"
'012330,현대모비스,"-115","-4,728","410,821","413,000",▼,"-17,000","2,179","+0.53%","177,528"
'012510,더존비즈온,"-393","-4,680","119,148","119,100", ,"0","-48","-0.04%","224,966"
'138040,메리츠금융지주,"-410","-4,592","112,007","110,900",▼,"-4,900","-1,107","-0.98%","255,218"
'018260,삼성에스디에스,"-280","-4,525","161,555","161,500",▼,"-5,600","-55","-0.03%","161,856"
'267250,HD현대,"-165","-4,304","261,191","261,000",▼,"-14,500","-191","-0.07%","136,346"
'051900,LG생활건강,"-175","-4,224","242,080","243,000",▼,"-2,500","920","+0.38%","56,110"
'207940,삼성바이오로직스,"-26","-4,145","1,594,178","1,585,000",▼,"-41,000","-9,178","-0.57%","30,824"
'047050,포스코인터내셔널,"-446","-3,225","72,277","71,800",▲,"200","-477","-0.65%","881,980"
'271560,오리온,"-231","-3,007","130,067","130,600",▼,"-3,400","533","+0.40%","104,665"
'456160,지투지바이오,"-324","-2,842","87,814","86,900",▼,"-4,700","-914","-1.04%","599,266"
'251270,넷마블,"-521","-2,672","51,297","51,000",▼,"-2,700","-297","-0.57%","307,565"
'302440,SK바이오사이언스,"-628","-2,629","41,888","41,950",▼,"-1,550","62","+0.14%","196,447"
'357780,솔브레인,"-60","-2,527","422,286","422,000",▼,"-18,000","-286","-0.06%","50,170"
'373220,LG에너지솔루션,"-67","-2,488","372,920","371,000",▼,"-12,500","-1,920","-0.51%","213,253"
'454910,두산로보틱스,"-277","-2,474","89,390","89,200",▼,"-1,200","-190","-0.21%","179,378"
'122870,와이지엔터테인먼트,"-404","-2,444","60,524","60,100",▼,"-2,100","-424","-0.70%","253,318"
'397030,에이프릴바이오,"-391","-2,443","62,530","62,500",▼,"-3,700","-30","-0.04%","307,927"
'140410,메지온,"-280","-2,425","86,651","91,500",▲,"11,100","4,849","+5.59%","3,317,551"
'010950,S-Oil,"-214","-2,386","111,653","111,200",▲,"600","-453","-0.40%","713,012"
'011200,HMM,"-1,137","-2,376","20,892","20,850",▼,"-250","-42","-0.20%","1,013,546"
'041510,에스엠,"-244","-2,354","96,664","97,100",▼,"-2,600","436","+0.45%","106,251"
'035900,JYP Ent.,"-344","-2,284","66,472","66,900",▲,"200","428","+0.64%","189,473"
'035250,강원랜드,"-1,196","-2,147","17,950","17,850",▼,"-250","-100","-0.55%","667,140"
'003550,LG,"-227","-2,051","90,422","90,500",▼,"-2,700","78","+0.08%","180,729"
'009540,HD한국조선해양,"-49","-2,041","414,993","413,500",▼,"-11,500","-1,493","-0.35%","116,075"
'034730,SK,"-56","-1,954","346,364","346,000",▼,"-6,500","-364","-0.10%","120,612"
'950160,코오롱티슈진,"-200","-1,946","97,310","97,200",▼,"-3,500","-110","-0.11%","386,509"
'050890,쏠리드,"-1,500","-1,945","12,964","12,900",▼,"-320","-64","-0.49%","15,849,239"
'004170,신세계,"-58","-1,944","336,406","335,500",▼,"-10,000","-906","-0.26%","55,534"
'443060,HD현대마린솔루션,"-108","-1,927","179,181","178,200",▼,"-5,200","-981","-0.54%","88,210"
'326030,SK바이오팜,"-192","-1,868","97,071","97,500",▼,"-1,300","429","+0.44%","173,665"
'383220,F&F,"-307","-1,838","59,919","60,100",▼,"-2,000","181","+0.30%","107,008"
'078930,GS,"-275","-1,791","65,048","65,400",▼,"-1,100","352","+0.54%","234,957"
'035720,카카오,"-351","-1,756","50,013","50,000",▼,"-1,500","-13","-0.02%","1,164,390"
'259960,크래프톤,"-75","-1,751","232,631","232,000",▼,"-2,000","-631","-0.27%","106,923"
'004370,농심,"-46","-1,699","371,088","371,000",▼,"-7,500","-88","-0.02%","19,435"
'393890,더블유씨피,"-1,030","-1,543","14,978","15,100",▲,"290","122","+0.81%","4,512,418"
'004020,현대제철,"-424","-1,528","36,038","35,850",▼,"-1,400","-188","-0.52%","502,882"
'001800,오리온홀딩스,"-617","-1,519","24,642","24,750",▼,"-50","108","+0.43%","135,345"
'476830,알지노믹스,"-66","-1,409","213,116","214,000",▲,"18,400","884","+0.41%","916,668"
'010120,LS ELECTRIC,"-16","-1,363","873,402","873,000",▲,"40,000","-402","-0.04%","172,841"
'204320,HL만도,"-251","-1,332","52,994","53,000",▼,"-1,400","6","+0.01%","182,384"
'005387,현대차2우B,"-47","-1,279","271,075","270,500",▼,"-9,000","-575","-0.21%","140,057"
'010140,삼성중공업,"-442","-1,262","28,578","28,500",▼,"-600","-78","-0.27%","2,252,176"
'237690,에스티팜,"-82","-1,235","150,401","149,500",▼,"-6,300","-901","-0.59%","115,254"
'083450,GST,"-409","-1,231","30,065","30,000",▼,"-950","-65","-0.21%","221,293"
'347850,디앤디파마텍,"-149","-1,186","79,438","78,900",▼,"-3,000","-538","-0.67%","424,526"
'017960,한국카본,"-245","-1,178","48,034","48,350",▼,"-400","316","+0.65%","393,855"
'180640,한진칼,"-91","-1,156","127,129","128,000",▲,"5,900","871","+0.68%","285,687"
'006280,녹십자,"-74","-1,075","144,508","145,200",▼,"-5,700","692","+0.47%","68,685"
'474650,링크솔루션,"-159","-980","61,658","61,800",▼,"-4,000","142","+0.23%","108,252"
'054210,이랜텍,"-982","-974","9,923","9,900",▼,"-360","-23","-0.23%","266,646"
'005300,롯데칠성,"-83","-971","117,708","117,100",▼,"-4,200","-608","-0.51%","42,927"
'005070,코스모신소재,"-194","-954","49,093","48,850",▼,"-2,050","-243","-0.49%","139,848"
'052690,한전기술,"-53","-908","170,751","168,000",▼,"-4,300","-2,751","-1.61%","282,193"
'042660,한화오션,"-71","-905","127,322","130,000",▼,"-2,900","2,678","+2.10%","579,582"
'001440,대한전선,"-296","-894","30,252","30,100",▼,"-700","-152","-0.50%","2,201,311"
'011780,금호석유화학,"-67","-882","130,819","134,200",▼,"-2,100","3,381","+2.58%","114,898"
'039030,이오테크닉스,"-21","-879","418,194","412,500",▲,"2,000","-5,694","-1.36%","117,261"
'121600,나노신소재,"-133","-814","61,079","60,600",▼,"-2,700","-479","-0.78%","56,888"
'161580,필옵틱스,"-201","-810","40,199","40,100",▼,"-1,700","-99","-0.24%","359,802"
'377300,카카오페이,"-133","-801","60,229","60,200",▼,"-800","-29","-0.04%","245,673"
'010780,아이에스동서,"-252","-781","31,010","30,900",▼,"-1,500","-110","-0.35%","160,066"
'161890,한국콜마,"-110","-770","69,750","69,800",▼,"-500","50","+0.07%","113,677"
'009830,한화솔루션,"-149","-762","51,019","49,750",▼,"-1,050","-1,269","-2.48%","2,024,335"
'036460,한국가스공사,"-184","-679","36,861","36,250",▼,"-350","-611","-1.65%","489,527"
'280360,롯데웰푸드,"-61","-678","111,818","111,200",▼,"-3,700","-618","-0.55%","14,961"
'114090,GKL,"-559","-676","12,092","12,010",▼,"-240","-82","-0.67%","242,380"
'189300,인텔리안테크,"-55","-669","122,638","123,400",▼,"-4,000","762","+0.62%","160,936"
'074600,원익QnC,"-193","-646","33,475","33,750",▼,"-300","275","+0.82%","272,553"
'440110,파두,"-113","-640","56,755","57,000",▼,"-5,500","245","+0.43%","1,888,079"
'028670,팬오션,"-1,213","-614","5,062","5,050",▼,"-140","-12","-0.23%","2,645,764"
'298040,효성중공업,"-2","-613","2,688,070","2,693,000",▼,"-38,000","4,930","+0.18%","29,983"
'468530,프로티나,"-74","-611","82,565","81,800",▼,"-4,300","-765","-0.92%","131,243"
'389470,인벤티지랩,"-76","-605","79,924","78,800",▼,"-5,100","-1,124","-1.40%","172,284"
