종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비,평균가대비,대비율(%),기간거래량
'000270,기아,"+797","+13,686","171,690","170,500",▼,"-4,600","-1,190","-0.69%","890,052"
'402340,SK스퀘어,"+184","+11,221","609,439","611,000",▼,"-19,000","1,561","+0.25%","399,104"
'079550,LIG넥스원,"+135","+9,334","693,131","702,000",▲,"13,000","8,869","+1.27%","313,967"
'005935,삼성전자우,"+563","+8,155","144,717","144,200",▼,"-4,900","-517","-0.35%","4,025,464"
'009150,삼성전기,"+164","+7,734","471,183","479,500",▲,"15,500","8,317","+1.76%","923,071"
'196170,알테오젠,"+174","+6,203","356,492","360,000",▲,"5,000","3,508","+0.98%","291,881"
'011070,LG이노텍,"+217","+6,192","285,694","286,000",▲,"17,500","306","+0.10%","337,684"
'047810,한국항공우주,"+272","+5,197","191,058","190,400",▼,"-3,900","-658","-0.34%","555,913"
'112610,씨에스윈드,"+743","+4,797","64,546","64,900",▲,"5,800","354","+0.54%","1,939,145"
'108490,로보티즈,"+176","+4,747","269,474","267,000",▲,"4,000","-2,474","-0.91%","239,870"
'078600,대주전자재료,"+340","+4,107","120,759","119,700",▲,"1,200","-1,059","-0.87%","345,865"
'047040,대우건설,"+2,535","+4,065","16,038","16,170",▲,"1,300","132","+0.82%","77,126,668"
'001040,CJ,"+205","+4,065","198,403","197,000",▼,"-3,000","-1,403","-0.70%","162,506"
'086790,하나금융지주,"+349","+3,925","112,489","113,200",▼,"-1,300","711","+0.63%","900,967"
'322000,HD현대에너지솔루션,"+276","+3,818","138,157","136,300",▲,"4,600","-1,857","-1.34%","2,432,777"
'016360,삼성증권,"+376","+3,748","99,706","98,600",▼,"-2,900","-1,106","-1.10%","413,300"
'0126Z0,삼성에피스홀딩스,"+69","+3,735","542,885","532,000",▼,"-6,000","-10,885","-2.00%","57,702"
'012450,한화에어로스페이스,"+27","+3,706","1,354,072","1,375,000",▼,"-15,000","20,928","+1.54%","111,115"
'018670,SK가스,"+143","+3,531","246,376","249,000",▲,"18,000","2,624","+1.06%","61,315"
'036810,에프에스티,"+778","+3,424","44,014","43,000",▼,"-1,050","-1,014","-2.30%","451,902"
'032830,삼성생명,"+144","+3,355","233,279","230,500",▼,"-4,500","-2,779","-1.19%","234,935"
'034020,두산에너빌리티,"+290","+3,095","106,667","106,300",▼,"-1,000","-367","-0.34%","3,330,546"
'007660,이수페타시스,"+237","+3,073","129,615","129,500",▲,"4,400","-115","-0.08%","2,112,449"
'064760,티씨케이,"+126","+3,037","241,763","242,500",▲,"6,500","737","+0.30%","76,212"
'267270,HD건설기계,"+233","+3,016","129,420","131,700",▲,"4,100","2,280","+1.76%","428,566"
'009420,한올바이오파마,"+532","+2,965","55,679","55,500",▼,"-1,900","-179","-0.32%","269,367"
'036570,엔씨소프트,"+134","+2,944","220,261","221,000",▼,"-9,000","739","+0.33%","100,715"
'034230,파라다이스,"+1,515","+2,870","18,945","18,890",▲,"930","-55","-0.29%","1,220,362"
'298020,효성티앤씨,"+71","+2,819","394,598","388,500",▼,"-6,000","-6,098","-1.54%","49,291"
'140860,파크시스템스,"+97","+2,792","288,859","277,500",▲,"13,000","-11,359","-3.93%","88,800"
