종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비,평균가대비,대비율(%),기간거래량
'000660,SK하이닉스,"-4,611","-467,778","1,014,471","1,013,000",▼,"-43,000","-1,471","-0.14%","3,306,272"
'005930,삼성전자,"-21,456","-430,173","200,487","200,500",▼,"-8,000","13","0%","18,923,499"
'032820,우리기술,"-53,257","-155,596","29,216","28,950",▼,"-350","-266","-0.91%","29,314,859"
'005380,현대차,"-2,625","-137,800","525,023","522,000",▼,"-23,000","-3,023","-0.57%","762,635"
'005935,삼성전자우,"-8,286","-119,428","144,126","144,200",▼,"-4,900","74","+0.05%","4,025,464"
'064350,현대로템,"-5,117","-96,557","188,705","186,300",▼,"-6,700","-2,405","-1.27%","1,111,336"
'000270,기아,"-3,990","-68,479","171,641","170,500",▼,"-4,600","-1,141","-0.66%","890,052"
'272210,한화시스템,"-4,311","-61,532","142,747","141,000",▲,"1,200","-1,747","-1.22%","1,776,465"
'047040,대우건설,"-27,207","-43,943","16,151","16,170",▲,"1,300","19","+0.11%","77,126,668"
'006800,미래에셋증권,"-6,167","-41,608","67,470","66,700",▼,"-3,200","-770","-1.14%","2,521,922"
'079550,LIG넥스원,"-585","-40,831","698,358","702,000",▲,"13,000","3,642","+0.52%","313,967"
'010130,고려아연,"-201","-32,604","1,621,117","1,612,000",▼,"-83,000","-9,117","-0.56%","34,466"
'090710,휴림로봇,"-17,411","-25,922","14,888","14,330",▼,"-560","-558","-3.74%","15,804,386"
'015760,한국전력,"-4,886","-23,657","48,422","48,300",▼,"-1,650","-122","-0.25%","1,725,030"
'402340,SK스퀘어,"-374","-22,978","614,324","611,000",▼,"-19,000","-3,324","-0.54%","399,104"
'352820,하이브,"-530","-18,893","356,766","354,500",▼,"-13,000","-2,266","-0.63%","282,806"
'009830,한화솔루션,"-3,681","-18,512","50,294","49,750",▼,"-1,050","-544","-1.08%","2,024,335"
'035420,NAVER,"-771","-17,050","221,119","220,500",▼,"-6,000","-619","-0.27%","474,188"
'071050,한국금융지주,"-719","-16,511","229,637","229,000",▼,"-12,000","-637","-0.27%","218,487"
'012450,한화에어로스페이스,"-117","-16,209","1,383,587","1,375,000",▼,"-15,000","-8,587","-0.62%","111,115"
'011930,신성이엔지,"-47,828","-15,860","3,316","3,080",▲,"90","-236","-7.11%","101,227,571"
'012510,더존비즈온,"-1,315","-15,670","119,193","119,100", ,"0","-93","-0.07%","224,966"
'082920,비츠로셀,"-5,019","-15,028","29,941","30,950",▲,"3,050","1,009","+3.37%","2,274,268"
'000150,두산,"-127","-14,669","1,152,526","1,149,000",▼,"-40,000","-3,526","-0.30%","53,414"
'263750,펄어비스,"-2,962","-13,913","46,974","46,000",↓,"-19,600","-974","-2.07%","4,316,098"
'006360,GS건설,"-5,313","-13,871","26,111","25,950",▲,"300","-161","-0.61%","3,366,921"
'050890,쏠리드,"-9,625","-13,066","13,576","12,900",▼,"-320","-676","-4.97%","15,849,239"
'018880,한온시스템,"-31,833","-13,052","4,100","4,110",▼,"-290","10","+0.24%","13,519,785"
'180640,한진칼,"-979","-12,705","129,811","128,000",▲,"5,900","-1,811","-1.39%","285,687"
'417200,LS머트리얼즈,"-5,324","-12,503","23,487","23,750",▲,"800","263","+1.11%","7,005,134"
'010950,S-Oil,"-1,042","-11,748","112,748","111,200",▲,"600","-1,548","-1.37%","713,012"
'226950,올릭스,"-627","-11,361","181,216","181,800",▼,"-8,200","584","+0.32%","266,210"
'0126Z0,삼성에피스홀딩스,"-201","-10,896","541,214","532,000",▼,"-6,000","-9,214","-1.70%","57,702"
'051910,LG화학,"-354","-10,832","305,847","303,500",▼,"-16,500","-2,347","-0.76%","207,291"
'047810,한국항공우주,"-562","-10,822","192,699","190,400",▼,"-3,900","-2,299","-1.19%","555,913"
'475150,SK이터닉스,"-1,932","-10,483","54,247","53,700",▲,"11,100","-547","-1.00%","14,628,900"
'039490,키움증권,"-225","-9,887","440,197","449,000",▼,"-20,000","8,803","+1.99%","101,615"
'005387,현대차2우B,"-354","-9,569","270,399","270,500",▼,"-9,000","101","+0.03%","140,057"
'000720,현대건설,"-548","-9,406","171,616","169,500",▼,"-600","-2,116","-1.23%","1,053,700"
'088350,한화생명,"-18,866","-9,399","4,982","4,930",▼,"-320","-52","-1.04%","8,369,676"
'010060,OCI홀딩스,"-472","-9,374","198,479","198,200",▲,"4,600","-279","-0.14%","256,199"
'086900,메디톡스,"-845","-9,129","107,988","105,700",▼,"-8,200","-2,288","-2.11%","136,762"
'035720,카카오,"-1,810","-9,059","50,048","50,000",▼,"-1,500","-48","-0.09%","1,164,390"
'028260,삼성물산,"-306","-8,979","293,365","291,000",▼,"-8,000","-2,365","-0.80%","233,252"
'091160,KODEX 반도체,"-852","-8,841","103,811","103,420",▼,"-1,680","-391","-0.37%","3,526,994"
'016360,삼성증권,"-884","-8,744","98,858","98,600",▼,"-2,900","-258","-0.26%","413,300"
'039030,이오테크닉스,"-210","-8,685","412,659","412,500",▲,"2,000","-159","-0.03%","117,261"
'103140,풍산,"-857","-8,651","100,978","99,900",▼,"-2,500","-1,078","-1.06%","226,398"
'047050,포스코인터내셔널,"-1,164","-8,504","73,076","71,800",▲,"200","-1,276","-1.74%","881,980"
'950160,코오롱티슈진,"-861","-8,430","97,862","97,200",▼,"-3,500","-662","-0.67%","386,509"
'036460,한국가스공사,"-2,219","-8,104","36,524","36,250",▼,"-350","-274","-0.75%","489,527"
'251340,KODEX 코스닥150선물인버스,"-39,405","-8,051","2,043","2,050",▲,"50","7","+0.34%","40,121,235"
'048410,현대바이오,"-5,169","-8,037","15,549","15,240",▼,"-1,430","-309","-1.98%","2,670,673"
'034220,LG디스플레이,"-6,673","-7,834","11,741","11,720",▼,"-430","-21","-0.17%","2,812,178"
'058470,리노공업,"-665","-7,794","117,165","117,100",▲,"500","-65","-0.05%","782,184"
'052690,한전기술,"-463","-7,789","168,116","168,000",▼,"-4,300","-116","-0.06%","282,193"
'005385,현대차우,"-288","-7,772","269,631","269,000",▼,"-10,500","-631","-0.23%","100,895"
'005490,POSCO홀딩스,"-212","-7,179","338,529","338,000",▼,"-11,500","-529","-0.15%","339,117"
'007810,코리아써키트,"-1,124","-6,980","62,112","62,100",▲,"1,900","-12","-0.01%","615,448"
'028050,삼성E&A,"-2,132","-6,975","32,712","32,600",▼,"-700","-112","-0.34%","818,555"
'095340,ISC,"-281","-6,761","240,897","244,500",▲,"14,500","3,603","+1.49%","337,782"
'000810,삼성화재,"-138","-6,624","481,018","478,500",▼,"-15,500","-2,518","-0.52%","99,380"
'207940,삼성바이오로직스,"-41","-6,573","1,590,844","1,585,000",▼,"-41,000","-5,844","-0.36%","30,824"
'475830,오름테라퓨틱,"-513","-6,449","125,624","124,900",▼,"-4,700","-724","-0.57%","236,081"
'353200,대덕전자,"-765","-6,433","84,116","77,300",▲,"2,500","-6,816","-8.10%","2,408,836"
'319660,피에스케이,"-768","-6,325","82,298","82,500",▲,"5,000","202","+0.24%","569,257"
'005290,동진쎄미켐,"-1,225","-6,033","49,240","48,550",▼,"-2,650","-690","-1.40%","665,073"
'347850,디앤디파마텍,"-733","-5,828","79,515","78,900",▼,"-3,000","-615","-0.77%","424,526"
'123320,TIGER 레버리지,"-628","-5,623","89,533","89,400",▼,"-5,610","-133","-0.14%","338,923"
'087010,펩트론,"-169","-5,492","325,290","317,500",▼,"-10,500","-7,790","-2.39%","185,941"
'001040,CJ,"-277","-5,451","196,722","197,000",▼,"-3,000","278","+0.14%","162,506"
'066570,LG전자,"-455","-5,264","115,812","116,200",▼,"-3,800","388","+0.33%","560,434"
'068270,셀트리온,"-259","-5,246","202,704","202,000",▼,"-7,500","-704","-0.34%","325,204"
'491000,리브스메드,"-631","-5,209","82,576","81,700",▼,"-3,600","-876","-1.06%","348,994"
'138040,메리츠금융지주,"-463","-5,182","112,008","110,900",▼,"-4,900","-1,108","-0.98%","255,218"
'067310,하나마이크론,"-1,492","-5,131","34,392","33,500",▼,"-550","-892","-2.59%","1,609,435"
'379800,KODEX 미국S&P500,"-2,232","-5,031","22,540","22,530",▼,"-190","-10","-0.04%","24,286,327"
'005940,NH투자증권,"-1,502","-5,013","33,377","33,400",▼,"-800","23","+0.06%","673,415"
'004020,현대제철,"-1,382","-4,975","36,011","35,850",▼,"-1,400","-161","-0.44%","502,882"
'298020,효성티앤씨,"-125","-4,957","396,253","388,500",▼,"-6,000","-7,753","-1.95%","49,291"
'046120,오르비텍,"-3,952","-4,870","12,323","10,980",▲,"1,060","-1,343","-10.89%","14,144,002"
'498400,KODEX 200타겟위클리커버드콜,"-2,695","-4,868","18,062","18,025",▼,"-415","-37","-0.20%","10,581,669"
'005880,대한해운,"-20,810","-4,862","2,336","2,235",▼,"-35","-101","-4.32%","15,760,298"
'117580,대성에너지,"-4,026","-4,653","11,556","10,890",▲,"1,120","-666","-5.76%","12,347,919"
'240810,원익IPS,"-384","-4,644","121,029","120,900",▼,"-3,600","-129","-0.10%","440,750"
'096770,SK이노베이션,"-403","-4,501","111,770","110,300",▼,"-4,000","-1,470","-1.31%","319,609"
'488080,TIGER 반도체TOP10레버리지,"-964","-4,409","45,758","46,030",▼,"-2,205","272","+0.59%","6,507,276"
'009420,한올바이오파마,"-790","-4,361","55,197","55,500",▼,"-1,900","303","+0.54%","269,367"
'102970,KODEX 증권,"-1,597","-4,317","27,035","27,095",▼,"-940","60","+0.22%","2,377,492"
'034230,파라다이스,"-2,174","-4,150","19,092","18,890",▲,"930","-202","-1.05%","1,220,362"
'003230,삼양식품,"-37","-4,106","1,120,504","1,100,000",▼,"-7,000","-20,504","-1.82%","25,340"
'195870,해성디에스,"-719","-4,100","57,029","56,000",▼,"-1,500","-1,029","-1.80%","207,689"
'069500,KODEX 200,"-456","-4,079","89,523","86,750",▼,"-2,620","-2,773","-3.09%","17,892,883"
'278470,에이피알,"-111","-4,075","367,788","369,000",▲,"7,000","1,212","+0.32%","294,185"
'360750,TIGER 미국S&P500,"-1,651","-4,071","24,654","24,655",▼,"-210","1","0%","15,317,920"
'100790,미래에셋벤처투자,"-1,737","-4,034","23,228","22,850",▼,"-1,200","-378","-1.62%","1,207,068"
'174900,앱클론,"-492","-3,989","81,046","79,800",▼,"-1,200","-1,246","-1.53%","337,436"
'000990,DB하이텍,"-451","-3,944","87,417","87,900", ,"0","483","+0.55%","333,706"
'322000,HD현대에너지솔루션,"-282","-3,924","138,966","136,300",▲,"4,600","-2,666","-1.91%","2,432,777"
'469150,ACE AI반도체TOP3+,"-781","-3,799","48,632","48,675",▼,"-960","43","+0.08%","1,415,462"
