종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비,평균가대비,대비율(%),기간거래량
'122630,KODEX 레버리지,"+5,246","+46,903","89,405","89,505",▼,"-5,735","100","+0.11%","20,353,128"
'007660,이수페타시스,"+2,999","+38,551","128,546","129,500",▲,"4,400","954","+0.74%","2,112,449"
'034020,두산에너빌리티,"+3,160","+33,944","107,421","106,300",▼,"-1,000","-1,121","-1.04%","3,330,546"
'445680,큐리옥스바이오시스템즈,"+2,297","+32,167","140,029","131,700",▼,"-7,900","-8,329","-5.94%","1,605,313"
'140410,메지온,"+3,663","+30,344","82,843","91,500",▲,"11,100","8,657","+10.45%","3,317,551"
'105560,KB금융,"+1,459","+22,667","155,373","155,700",▲,"1,000","327","+0.21%","947,774"
'252670,KODEX 200선물인버스2X,"+864,229","+21,292","246","249",▲,"16","3","+1.21%","-929,910,304"
'440110,파두,"+3,270","+18,693","57,158","57,000",▼,"-5,500","-158","-0.27%","1,888,079"
'403870,HPSP,"+3,338","+17,255","51,688","51,700",▲,"1,700","12","+0.02%","7,934,325"
'055550,신한지주,"+1,691","+16,079","95,079","96,500",▲,"1,500","1,421","+1.49%","1,262,052"
'277810,레인보우로보틱스,"+196","+14,134","720,409","718,000",▼,"-22,000","-2,409","-0.33%","103,793"
'009150,삼성전기,"+292","+13,932","476,490","479,500",▲,"15,500","3,010","+0.63%","923,071"
'089030,테크윙,"+2,132","+12,547","58,849","58,500",▼,"-3,500","-349","-0.59%","1,988,169"
'034730,SK,"+362","+12,541","346,439","346,000",▼,"-6,500","-439","-0.12%","120,612"
'011070,LG이노텍,"+440","+12,434","282,661","286,000",▲,"17,500","3,339","+1.18%","337,684"
'001510,SK증권,"+62,848","+11,749","1,869","2,180",▲,"300","311","+16.64%","362,468,287"
'476830,알지노믹스,"+569","+11,692","205,383","214,000",▲,"18,400","8,617","+4.19%","916,668"
'316140,우리금융지주,"+3,434","+11,451","33,347","33,600",▲,"100","253","+0.75%","1,834,770"
'196170,알테오젠,"+308","+11,032","358,194","360,000",▲,"5,000","1,806","+0.50%","291,881"
'112610,씨에스윈드,"+1,700","+10,677","62,814","64,900",▲,"5,800","2,086","+3.32%","1,939,145"
'388210,씨엠티엑스,"+637","+9,237","145,112","150,000",▲,"13,200","4,888","+3.36%","263,761"
'086520,에코프로,"+537","+8,234","153,327","151,100",▼,"-2,900","-2,227","-1.45%","925,314"
'178320,서진시스템,"+1,791","+8,173","45,647","45,400",▲,"200","-247","-0.54%","1,496,765"
'307950,현대오토에버,"+188","+8,164","435,163","426,000",▼,"-8,000","-9,163","-2.10%","91,591"
'310210,보로노이,"+239","+7,644","320,037","320,000",▼,"-19,000","-37","-0.01%","95,544"
'088980,맥쿼리인프라,"+6,394","+7,302","11,421","11,440",▲,"60","19","+0.16%","1,382,530"
'010120,LS ELECTRIC,"+83","+7,289","876,469","873,000",▲,"40,000","-3,469","-0.39%","172,841"
'329180,HD현대중공업,"+124","+7,044","567,852","567,000",▼,"-23,000","-852","-0.15%","173,145"
'373220,LG에너지솔루션,"+187","+7,002","375,141","371,000",▼,"-12,500","-4,141","-1.10%","213,253"
'298380,에이비엘바이오,"+360","+6,895","191,404","190,000",▼,"-5,500","-1,404","-0.73%","349,456"
'241560,두산밥캣,"+1,115","+6,892","61,824","61,800",▲,"800","-24","-0.03%","408,573"
'033780,KT&G,"+415","+6,492","156,473","157,000",▼,"-1,700","527","+0.33%","214,761"
'011790,SKC,"+642","+6,405","99,835","99,100",▲,"300","-735","-0.73%","184,770"
'009540,HD한국조선해양,"+153","+6,349","415,507","413,500",▼,"-11,500","-2,007","-0.48%","116,075"
'017960,한국카본,"+1,190","+5,735","48,203","48,350",▼,"-400","147","+0.30%","393,855"
'171090,선익시스템,"+537","+5,601","104,276","103,500",▼,"-2,900","-776","-0.74%","252,473"
'189300,인텔리안테크,"+446","+5,469","122,635","123,400",▼,"-4,000","765","+0.62%","160,936"
'323410,카카오뱅크,"+2,227","+5,464","24,534","24,650",▲,"150","116","+0.47%","694,720"
'000250,삼천당제약,"+68","+5,441","802,201","795,000",▲,"11,000","-7,201","-0.89%","328,876"
