종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비,평균가대비,대비율(%),기간거래량
'445680,큐리옥스바이오시스템즈,"+6,758","+95,679","141,588","131,700",▼,"-7,900","-9,888","-6.98%","1,605,313"
'000660,SK하이닉스,"+694","+70,531","1,016,995","1,013,000",▼,"-43,000","-3,995","-0.39%","3,306,272"
'005930,삼성전자,"+718","+14,641","203,977","200,500",▼,"-8,000","-3,477","-1.70%","18,923,499"
'332500,ACE 200TR,"+2,499","+14,604","58,442","58,240",▼,"-1,660","-202","-0.34%","415,136"
'494890,KODEX 200액티브,"+5,764","+14,523","25,195","25,125",▼,"-720","-70","-0.27%","1,059,671"
'0162Y0,TIME 코스닥액티브,"+6,375","+7,580","11,891","11,885",▼,"-155","-6","-0.05%","3,581,594"
'294400,KIWOOM 200TR,"+610","+6,953","113,914","113,200",▼,"-3,440","-714","-0.62%","146,814"
'000150,두산,"+51","+6,001","1,166,987","1,149,000",▼,"-40,000","-17,987","-1.54%","53,414"
'489790,한화비전,"+668","+5,832","87,361","87,200",▲,"3,300","-161","-0.18%","1,706,195"
'032830,삼성생명,"+235","+5,499","234,427","230,500",▼,"-4,500","-3,927","-1.67%","234,935"
'469150,ACE AI반도체TOP3+,"+1,117","+5,437","48,689","48,675",▼,"-960","-14","-0.02%","1,415,462"
'000250,삼천당제약,"+65","+5,282","815,509","795,000",▲,"11,000","-20,509","-2.51%","328,876"
'007810,코리아써키트,"+830","+5,175","62,364","62,100",▲,"1,900","-264","-0.42%","615,448"
'319660,피에스케이,"+622","+5,053","81,205","82,500",▲,"5,000","1,295","+1.59%","569,257"
'007660,이수페타시스,"+367","+4,784","130,480","129,500",▲,"4,400","-980","-0.75%","2,112,449"
'455850,SOL AI반도체소부장,"+1,709","+4,638","27,146","27,200",▲,"185","54","+0.19%","2,908,092"
'034230,파라다이스,"+2,437","+4,622","18,964","18,890",▲,"930","-74","-0.39%","1,220,362"
'327260,RF머트리얼즈,"+737","+4,561","61,922","60,500",▲,"4,800","-1,422","-2.29%","854,388"
'475830,오름테라퓨틱,"+359","+4,513","125,588","124,900",▼,"-4,700","-688","-0.54%","236,081"
'353200,대덕전자,"+520","+4,046","77,872","77,300",▲,"2,500","-572","-0.73%","2,408,836"
'112610,씨에스윈드,"+626","+4,040","64,550","64,900",▲,"5,800","350","+0.54%","1,939,145"
'140860,파크시스템스,"+141","+4,014","285,206","277,500",▲,"13,000","-7,706","-2.70%","88,800"
'298380,에이비엘바이오,"+204","+3,887","190,965","190,000",▼,"-5,500","-965","-0.50%","349,456"
'222800,심텍,"+562","+3,418","60,829","60,100",▲,"500","-729","-1.19%","955,288"
'028260,삼성물산,"+116","+3,397","293,009","291,000",▼,"-8,000","-2,009","-0.68%","233,252"
'003160,디아이,"+862","+3,261","37,840","38,450",▲,"1,200","610","+1.61%","913,605"
'090460,비에이치,"+1,601","+3,179","19,850","19,880",▲,"380","30","+0.15%","475,772"
'131970,두산테스나,"+341","+3,123","91,630","91,900",▲,"4,600","270","+0.29%","656,638"
'039200,오스코텍,"+527","+3,037","57,654","57,500",▼,"-900","-154","-0.26%","240,624"
'476830,알지노믹스,"+137","+2,976","217,685","214,000",▲,"18,400","-3,685","-1.69%","916,668"
'356860,티엘비,"+383","+2,915","76,121","79,800",▲,"8,700","3,679","+4.83%","1,405,935"
'226950,올릭스,"+160","+2,911","182,095","181,800",▼,"-8,200","-295","-0.16%","266,210"
'0167A0,SOL AI반도체TOP2플러스,"+2,499","+2,694","10,779","10,920",▼,"-165","141","+1.30%","8,168,077"
'237690,에스티팜,"+176","+2,646","150,477","149,500",▼,"-6,300","-977","-0.64%","115,254"
'114800,KODEX 인버스,"+15,158","+2,424","1,599","1,604",▲,"48","5","+0.31%","319,514,693"
'032820,우리기술,"+807","+2,335","28,923","28,950",▼,"-350","27","+0.09%","29,314,859"
'086520,에코프로,"+151","+2,319","153,491","151,100",▼,"-2,900","-2,391","-1.55%","925,314"
'009830,한화솔루션,"+456","+2,289","50,178","49,750",▼,"-1,050","-428","-0.85%","2,024,335"
'010060,OCI홀딩스,"+112","+2,245","199,852","198,200",▲,"4,600","-1,652","-0.82%","256,199"
'098070,한텍,"+496","+2,227","44,893","44,600",▲,"2,400","-293","-0.65%","450,530"
'153130,KODEX 단기채권,"+187","+2,123","113,317","113,310",▲,"30","-7","0%","35,260"
'010120,LS ELECTRIC,"+23","+2,078","890,260","873,000",▲,"40,000","-17,260","-1.93%","172,841"
'091160,KODEX 반도체,"+195","+2,021","103,631","103,420",▼,"-1,680","-211","-0.20%","3,526,994"
'161510,PLUS 고배당주,"+770","+2,014","26,168","26,260",▼,"-490","92","+0.35%","1,510,491"
'417200,LS머트리얼즈,"+797","+1,867","23,416","23,750",▲,"800","334","+1.42%","7,005,134"
'251340,KODEX 코스닥150선물인버스,"+9,080","+1,858","2,046","2,050",▲,"50","4","+0.19%","40,121,235"
'448900,한국피아이엠,"+150","+1,749","116,567","118,500",▲,"9,100","1,933","+1.65%","270,539"
'089970,브이엠,"+369","+1,736","47,051","48,800",▲,"2,900","1,749","+3.71%","780,156"
'0104N0,TIGER 200타겟위클리커버드콜,"+1,000","+1,724","17,242","17,310",▼,"-400","68","+0.39%","491,327"
'120110,코오롱인더,"+236","+1,657","70,340","70,500",▼,"-500","160","+0.22%","182,960"
'052690,한전기술,"+97","+1,657","170,942","168,000",▼,"-4,300","-2,942","-1.72%","282,193"
'006120,SK디스커버리,"+269","+1,619","60,287","60,300",▼,"-1,200","13","+0.02%","101,867"
'009150,삼성전기,"+30","+1,542","514,720","479,500",▲,"15,500","-35,220","-6.84%","923,071"
'229200,KODEX 코스닥150,"+765","+1,519","19,857","19,785",▼,"-420","-72","-0.36%","16,482,523"
'034020,두산에너빌리티,"+139","+1,496","107,511","106,300",▼,"-1,000","-1,211","-1.12%","3,330,546"
