종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'178320,서진시스템,-3318,-15466,46607,+48000,▲,+2600
'010060,OCI홀딩스,-551,-11415,207304,+205000,▲,+6800
'047040,대우건설,-4146,-7577,18276,+19110,▲,+2940
'373220,LG에너지솔루션,-150,-5626,373977,+373000,▲,+2000
'493280,아이엠바이오로직스,-512,-5323,104000,+104000,-,+78000
'003380,하림지주,-3068,-5320,17342,+17700,▲,+2600
'425420,티에프이,-678,-4371,64438,+65900,▲,+5200
'034730,SK,-101,-3623,359705,+358000,▲,+12000
'456040,OCI,-346,-3380,97769,+97300,▲,+1700
'272210,한화시스템,-241,-3289,136579,-135800,▼,-5200
'322000,HD현대에너지솔루션,-244,-3286,134653,-131000,▼,-5300
'079550,LIG넥스원,-47,-3213,680127,-664000,▼,-38000
'006400,삼성SDI,-68,-2730,400027,-399500,▼,-3000
'290660,네오펙트,-19738,-2518,1276,+1306,▲,+162
'214370,케어젠,-209,-2330,111682,+111700,▲,+1700
'376900,로킷헬스케어,-182,-2310,126904,+130700,▲,+2000
'131970,두산테스나,-213,-2176,102351,+99900,▲,+8000
'417200,LS머트리얼즈,-809,-2120,26199,+25300,▲,+1550
'240810,원익IPS,-165,-2072,125404,+124000,▲,+3100
'241560,두산밥캣,-318,-2023,63576,+63300,▲,+1500
'336260,두산퓨얼셀,-428,-1896,44289,-42900,▼,-3000
'012450,한화에어로스페이스,-13,-1773,1334256,-1315000,▼,-60000
'069540,빛과전자,-8673,-1750,2018,+2190,-,+503
'052690,한전기술,-93,-1628,174157,+175400,▲,+7400
'006360,GS건설,-503,-1552,30840,+33450,▲,+7500
'034020,두산에너빌리티,-138,-1476,107132,+109600,▲,+3300
'475150,SK이터닉스,-259,-1445,55878,+58600,▲,+4900
'042700,한미반도체,-44,-1382,311507,+309500,▲,+2500
'000250,삼천당제약,-13,-1163,903993,+900000,▲,+105000
'096770,SK이노베이션,-97,-1123,116251,+113600,▲,+3300
'226950,올릭스,-60,-1102,184020,+185700,▲,+3900
'00680K,미래에셋증권2우B,-504,-1069,21213,+21600,▲,+1400
'009830,한화솔루션,-218,-1051,48298,+52200,▲,+2450
'006120,SK디스커버리,-170,-1037,61084,+62300,▲,+2000
'050890,쏠리드,-687,-879,12797,+13120,▲,+220
'015760,한국전력,-172,-839,48789,+49050,▲,+750
'095610,테스,-129,-838,65174,-65500,▼,-600
'458870,씨어스테크놀로지,-43,-809,186056,-184800,▼,-4200
'035250,강원랜드,-428,-778,18194,+18180,▲,+330
'090360,로보스타,-121,-774,64175,-64600,▼,-1100
'036930,주성엔지니어링,-104,-773,74164,+72800,▲,+11800
