종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'285490,노바텍,-2947,-7967,27031,+23050,▲,+550
'255220,SG,-19050,-6315,3315,+2845,▲,+125
'252990,샘씨엔에스,-3696,-4014,10859,+10470,▲,+30
'080160,모두투어,-2379,-3971,16692,+11640,▲,+400
'038500,삼표시멘트,-1570,-3500,22292,+17370,▲,+70
'361390,제노코,-1315,-3500,26611,+29600,▲,+500
'440110,파두,-664,-3088,46503,+59200,▲,+2200
'090710,휴림로봇,-2202,-2738,12433,-14020,▼,-310
'196170,알테오젠,-75,-2658,354825,-354000,▼,-6000
'298380,에이비엘바이오,-144,-2536,176155,+190200,▲,+200
'086520,에코프로,-159,-2507,157601,-150900,▼,-200
'058610,에스피지,-181,-2455,135606,-120300,▼,-2900
'474170,루미르,-1105,-2154,19499,-14790,▼,-190
'099320,쎄트렉아이,-118,-2153,182431,-177800,▼,-8400
'065680,우주일렉트로,-711,-2121,29825,-29250,▼,-750
'277810,레인보우로보틱스,-23,-1510,646370,-668000,▼,-50000
'126340,비나텍,-132,-1472,111610,+143700,▲,+4300
'494120,큐리오시스,-241,-1240,51395,-66100,▼,-2100
'295310,에이치브이엠,-145,-1204,83072,92200,-,0
'124500,아이티센글로벌,-257,-1161,45229,-61600,▼,-3600
'189300,인텔리안테크,-125,-1139,91084,-121800,▼,-1600
'347700,스피어,-339,-1105,32594,-45250,▼,-600
'101490,에스앤에스텍,-121,-1102,91269,-85700,▼,-200
'095610,테스,-154,-1031,67161,-65500,▼,-600
'102710,이엔에프테크놀로지,-181,-994,54796,-55400,▼,-1200
'488280,에스투더블유,-487,-978,20073,-15540,▼,-160
'051980,중앙첨단소재,-4371,-977,2234,-1569,▼,-44
'161580,필옵틱스,-201,-966,48046,-39050,▼,-1050
'081180,쎄크,-649,-962,14828,-12450,▼,-200
'019210,와이지-원,-970,-952,9821,-12550,▼,-260
'042000,카페24,-284,-947,33347,+29600,▲,+400
'290740,액트로,-360,-947,26329,-22100,▼,-600
'214150,클래시스,-132,-868,65615,+53700,▲,+1200
'089890,코세스,-367,-850,23146,-25550,▼,-1250
'036620,감성코퍼레이션,-1301,-847,6514,-5430,▼,-50
'491000,리브스메드,-105,-840,79740,-81500,▼,-200
'053700,삼보모터스,-1099,-789,7175,+6340,▲,+90
'085660,차바이오텍,-388,-787,20256,+19020,▲,+270
'347850,디앤디파마텍,-100,-780,78249,78900,-,0
'214430,아이쓰리시스템,-73,-777,105809,+96600,▲,+200
'094360,칩스앤미디어,-421,-768,18233,+17000,▲,+290
'108490,로보티즈,-27,-737,269777,-260500,▼,-6500
'255440,야스,-607,-702,11553,-10680,▼,-320
'234340,헥토파이낸셜,-286,-688,24052,+40000,▲,+1450
'403870,HPSP,-148,-687,46484,-51200,▼,-500
'078600,대주전자재료,-97,-677,70143,+127500,▲,+7800
'319400,현대무벡스,-221,-652,29488,+30400,▲,+500
'138360,앤로보틱스,-1841,-562,3052,-1976,▼,-16
'089970,브이엠,-196,-500,25559,-47800,▼,-1000
'037350,성도이엔지,-714,-476,6661,+12390,▲,+310
'464490,쿼드메디슨,-270,-467,17312,+15310,▲,+260
'058470,리노공업,-44,-408,93714,-112000,▼,-5100
'069540,빛과전자,-3047,-401,1317,+2190,-,+503
'475230,엔알비,-185,-397,21411,+24750,▲,+2700
'355150,코스텍시스,-296,-384,12976,+24050,▲,+100
'033100,제룡전기,-63,-371,59070,+49950,▲,+1350
'131970,두산테스나,-61,-368,60699,+99900,▲,+8000
'084370,유진테크,-37,-359,98241,-129200,▼,-2700
'232140,와이씨,-200,-358,17889,+21150,▲,+450
'012210,삼미금속,-234,-349,14912,+15750,▲,+930
'032190,다우데이타,-147,-339,23098,+25850,▲,+2050
'466100,클로봇,-53,-333,62644,+57000,▲,+800
'475830,오름테라퓨틱,-29,-324,109969,+125300,▲,+400
'356860,티엘비,-59,-323,54673,-77400,▼,-2400
'065350,신성델타테크,-43,-318,74485,+63000,▲,+1200
'082920,비츠로셀,-161,-316,19590,-29100,▼,-1850
'328130,루닛,-78,-314,40507,-36800,▼,-2100
'476830,알지노믹스,-23,-314,134180,+215000,▲,+1000
'141080,리가켐바이오,-19,-310,163327,+213000,▲,+13100
'087010,펩트론,-11,-298,261597,+343500,▲,+26000
'452280,한선엔지니어링,-282,-283,10026,+15490,▲,+80
'373110,엑셀세라퓨틱스,-1561,-267,1707,+1450,▲,+41
'125210,아모그린텍,-376,-265,7055,-7240,▼,-10
'067310,하나마이크론,-81,-264,32708,+34750,▲,+1250
'304360,에스바이오메딕스,-83,-251,30266,32950,-,0
'014620,성광벤드,-81,-247,30472,+37500,▲,+5750
'174900,앱클론,-41,-246,59446,-78300,▼,-1500
'060250,NHN KCP,-114,-241,21074,+20300,▲,+880
'376900,로킷헬스케어,-44,-229,51603,+130700,▲,+2000
'237690,에스티팜,-16,-228,142699,+150100,▲,+600
'425420,티에프이,-54,-228,42082,+65900,▲,+5200
'290650,엘앤씨바이오,-26,-223,85520,+75700,▲,+300
'313760,캐리,-1930,-218,1132,+751,▲,+74
'003800,에이스침대,-63,-214,34158,+35100,▲,+600
'388210,씨엠티엑스,-15,-189,125511,+150100,▲,+100
'437730,삼현,-34,-188,55580,-55400,▼,-600
'101360,에코앤드림,-95,-187,19713,+17340,▲,+40
'172670,에이엘티,-121,-185,15239,-12030,▼,-70
'078160,메디포스트,-76,-184,24242,-22200,▼,-1000
'070300,엑스큐어,-881,-184,2086,-1945,▼,-32
'052330,코텍,-182,-180,9850,+10400,▲,+270
'059270,해성에어로보틱스,-131,-173,13169,+10980,▲,+110
'180400,DXVX,-419,-170,4068,+4925,▲,+505
'476060,온코닉테라퓨틱스,-102,-167,16462,-23900,▼,-1200
'240810,원익IPS,-15,-163,107291,+124000,▲,+3100
'039440,에스티아이,-51,-162,31750,+33700,▲,+550
'238090,앤디포스,-1003,-158,1575,+3265,▲,+340
'024850,HLB이노베이션,-488,-146,3001,-4945,▼,-105
'0001A0,덕양에너젠,-46,-146,31676,-18170,▼,-30
'083660,CSA 코스믹,-3072,-144,469,+298,▲,+14
