종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'005930,삼성전자,-8805,-49000,55649,-176900,[v],-2800
'034020,두산에너빌리티,-3689,-14635,39677,-94500,[v],-3600
'034730,SK,-470,-7176,152697,-323000,[v],-11000
'180640,한진칼,-416,-6392,153696,-111900,[v],-5300
'064350,현대로템,-386,-5431,140701,-179200,[v],-5000
'078930,GS,-970,-4156,42868,-65700,[v],-2200
'000660,SK하이닉스,-154,-3197,207113,-874000,[v],-48000
'00680K,미래에셋증권2우B,-5725,-2992,5227,-19340,[v],-1160
'000720,현대건설,-439,-2797,63760,-147400,[v],-2400
'052690,한전기술,-349,-2167,62114,-154700,[v],-2300
'010140,삼성중공업,-1261,-2117,16789,-24550,[v],-1450
'010120,LS ELECTRIC,-77,-1920,249870,-773000,[v],-28000
'267250,HD현대,-183,-1722,94029,-246000,[v],-11500
'006260,LS,-108,-1710,157929,-262000,[v],-6000
'035720,카카오,-407,-1699,41734,-47250,[v],-1550
'259960,크래프톤,-37,-1448,387252,-250000,[v],-4500
'000150,두산,-28,-1337,484950,-1115000,[v],-88000
'042700,한미반도체,-153,-1283,83973,-261500,[v],-14000
'034230,파라다이스,-942,-1232,13076,-16630,[v],-1200
'010950,S-Oil,-183,-1040,56757,-108800,[v],-900
'028050,삼성E&A,-478,-1038,21704,+33400,[^],+300
'267260,HD현대일렉트릭,-26,-987,381676,-880000,[v],-35000
'483650,달바글로벌,-70,-968,137847,-148800,[v],-5700
'329180,HD현대중공업,-22,-921,412150,-481000,[v],-17500
'000070,삼양홀딩스,-134,-874,65387,-67800,[v],-2700
'003230,삼양식품,-8,-867,1113515,-1174000,[v],-9000
'175330,JB금융지주,-388,-710,18303,-30450,[v],-650
'096770,SK이노베이션,-82,-704,85825,+112700,[^],+1300
'194370,제이에스코퍼레이션,-600,-695,11580,-11480,[v],-220
'088980,맥쿼리인프라,-586,-687,11724,-11340,[v],-70
'000240,한국앤컴퍼니,-384,-641,16718,-24900,[v],-2000
'007660,이수페타시스,-139,-585,41981,-105000,[v],-5500
'352820,하이브,-17,-556,324327,-302000,[v],-5000
'003490,대한항공,-221,-502,22727,-24350,[v],-950
'298040,효성중공업,-8,-485,609353,-2505000,[v],-171000
'000880,한화,-73,-471,64657,-108300,[v],-3200
'004990,롯데지주,-176,-463,26395,-28700,[v],-2250
'047040,대우건설,-965,-411,4260,+17340,[^],+80
'009150,삼성전기,-33,-400,120856,-427000,[v],-7000
'012510,더존비즈온,-66,-373,56163,-119100,[v],-200
'035420,NAVER,-18,-347,189441,-206500,[v],-6000
'161890,한국콜마,-39,-328,83247,-76700,[v],-3500
'489790,한화비전,-58,-314,54171,-75700,[v],-4800
'009540,HD한국조선해양,-11,-309,284745,-349500,[v],-17500
'055550,신한지주,-52,-292,55998,-90900,[v],-2600
'008930,한미사이언스,-84,-290,34630,-37300,[v],-1100
'316140,우리금융지주,-155,-287,18502,-32500,[v],-1100
'298020,효성티앤씨,-10,-253,253383,-378500,[v],-23000
'011785,금호석유화학우,-44,-243,55194,-56500,[v],-1700
'006360,GS건설,-119,-240,20140,-25900,[v],-450
'075580,세진중공업,-207,-232,11234,-16490,[v],-610
'103590,일진전기,-78,-227,29075,-71500,[v],-3600
'079550,LIG넥스원,-5,-225,420350,-671000,[v],-64000
'005490,POSCO홀딩스,-9,-223,249107,-342500,[v],-500
'112610,씨에스윈드,-49,-222,44892,+63000,[^],+2800
'095570,AJ네트웍스,-576,-220,3823,-5150,[v],-50
'139130,iM금융지주,-202,-214,10591,-16950,[v],-720
'004370,농심,-5,-209,419767,-366500,[v],-9000
'278470,에이피알,-18,-207,112357,-326500,[v],-500
'002380,KCC,-7,-191,293810,-504000,[v],-21000
'000100,유한양행,-17,-184,105477,-98300,[v],-2100
'005690,파미셀,-136,-173,12741,-15720,[v],-1200
'071050,한국금융지주,-16,-156,99622,-210500,[v],-9500
'18064K,한진칼우,-30,-155,52390,-32050,[v],-2450
'004490,세방전지,-23,-153,66896,-59800,[v],-700
'128940,한미약품,-5,-147,304488,-524000,[v],-25000
'126720,수산인더스트리,-52,-145,27963,-26450,[v],-400
'001500,현대차증권,-202,-137,6795,-10350,[v],-550
'094280,효성ITX,-112,-134,12009,-12260,[v],-280
'011780,금호석유화학,-12,-134,113728,-120300,[v],-6200
'051900,LG생활건강,-4,-132,327057,-241000,[v],-6500
