종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'005930,삼성전자,+3271,+65759,201020,-199900,▼,-600
'000660,SK하이닉스,+369,+37531,1017267,-1009000,▼,-4000
'259960,크래프톤,+297,+6934,233136,+236000,▲,+4000
'005935,삼성전자우,+453,+6527,144137,-139200,▼,-5000
'006400,삼성SDI,+127,+5204,411090,-400500,▼,-2000
'007660,이수페타시스,+297,+3901,131161,-127600,▼,-1900
'001510,SK증권,+16794,+3716,2212,+2585,▲,+405
'064350,현대로템,+167,+3214,192374,-180500,▼,-5800
'006800,미래에셋증권,+357,+2452,68613,+67900,▲,+1200
'0126Z0,삼성에피스홀딩스,+43,+2340,541061,+553000,▲,+21000
'402340,SK스퀘어,+36,+2152,603892,-602000,▼,-9000
'005380,현대차,+37,+1965,538414,522000,-,0
'353200,대덕전자,+233,+1817,78054,+82800,▲,+5500
'014680,한솔케미칼,+61,+1758,290338,+292500,▲,+9000
'082920,비츠로셀,+531,+1647,31051,-29650,▼,-1300
'000250,삼천당제약,+21,+1629,791628,+906000,▲,+111000
'388210,씨엠티엑스,+107,+1565,146596,150000,-,0
'005440,현대지에프홀딩스,+1006,+1505,14966,+15620,▲,+660
'196170,알테오젠,+43,+1504,353021,-354000,▼,-6000
'034730,SK,+43,+1497,348192,+360500,▲,+14500
'006280,녹십자,+98,+1423,144718,+147700,▲,+2500
'489790,한화비전,+160,+1368,85316,+87300,▲,+100
'005940,NH투자증권,+406,+1353,33349,+35500,▲,+2100
'170920,엘티씨,+382,+1217,31901,-34000,▼,-100
'032820,우리기술,+376,+1085,28853,-28400,▼,-550
'356860,티엘비,+136,+1064,78160,-78000,▼,-1800
'272210,한화시스템,+77,+1028,134098,-135900,▼,-5100
'298050,HS효성첨단소재,+46,+1024,223528,+227000,▲,+6000
'071050,한국금융지주,+42,+954,228975,+235000,▲,+6000
'128940,한미약품,+18,+946,516417,+555000,▲,+36000
'004370,농심,+25,+937,371406,+379500,▲,+8500
'010140,삼성중공업,+320,+917,28672,+28800,▲,+300
'047050,포스코인터내셔널,+120,+916,76633,+77700,▲,+5900
'064400,LG씨엔에스,+141,+913,64930,+67300,▲,+2400
'361390,제노코,+302,+881,29184,+29600,▲,+500
'032830,삼성생명,+38,+869,228302,-229000,▼,-1500
'069960,현대백화점,+100,+866,87014,+91000,▲,+5000
'005960,동부건설,+936,+861,9207,+10270,▲,+1100
'010120,LS ELECTRIC,+10,+835,876316,+891000,▲,+18000
'207940,삼성바이오로직스,+5,+814,1592317,+1604000,▲,+19000
'098070,한텍,+179,+802,44805,+47850,▲,+3250
'090710,휴림로봇,+557,+798,14318,-14020,▼,-310
'012330,현대모비스,+19,+775,412634,-403500,▼,-9500
'178320,서진시스템,+169,+759,44923,+48000,▲,+2600
'047810,한국항공우주,+39,+754,193393,-185800,▼,-4600
'039490,키움증권,+17,+751,443683,+460000,▲,+11000
'319660,피에스케이,+89,+737,82367,+85900,▲,+3400
'028260,삼성물산,+25,+731,292157,+302500,▲,+11500
'012450,한화에어로스페이스,+5,+724,1421967,-1320000,▼,-55000
'089980,상아프론테크,+285,+722,25358,-25500,▼,-200
'090460,비에이치,+362,+717,19797,+22100,▲,+2220
'000150,두산,+6,+715,1161829,+1178000,▲,+29000
'010130,고려아연,+4,+707,1616860,-1606000,▼,-6000
'298040,효성중공업,+3,+701,2717539,+2735000,▲,+42000
'011200,HMM,+333,+700,21032,+21250,▲,+400
'437730,삼현,+123,+675,55013,-55600,▼,-400
'034830,한국토지신탁,+3956,+649,1640,+1740,▲,+43
'051910,LG화학,+21,+641,308033,+309500,▲,+6000
'004020,현대제철,+171,+615,35985,+37350,▲,+1500
'403870,HPSP,+123,+589,47909,-51200,▼,-500
'950160,코오롱티슈진,+60,+587,97403,+98200,▲,+1000
'126340,비나텍,+43,+564,132330,+143700,▲,+4300
'332570,PS일렉트로닉스,+1092,+563,5153,+5370,▲,+260
'417200,LS머트리얼즈,+236,+552,23368,+25300,▲,+1550
'079550,LIG넥스원,+8,+548,684201,-663000,▼,-39000
'222800,심텍,+92,+543,59256,+62600,▲,+2500
'002380,KCC,+10,+534,544507,+546000,▲,+12000
'024110,기업은행,+217,+514,23645,+24250,▲,+550
'140410,메지온,+62,+509,81971,+91600,▲,+100
'028670,팬오션,+979,+497,5074,+5330,▲,+280
'005850,에스엘,+76,+496,65020,-63400,▼,-1100
'086900,메디톡스,+46,+493,106082,+108000,▲,+2300
'103590,일진전기,+60,+492,82602,+82500,▲,+400
'112610,씨에스윈드,+87,+483,55666,+66200,▲,+1300
'372320,큐로셀,+101,+469,46370,+49800,▲,+3500
'003490,대한항공,+185,+455,24639,+26350,▲,+1800
'018880,한온시스템,+1036,+427,4120,+4140,▲,+30
'048410,현대바이오,+271,+425,15704,-14700,▼,-540
'005490,POSCO홀딩스,+12,+423,342862,+343500,▲,+5500
'267250,HD현대,+16,+408,262509,+265500,▲,+4500
'081660,미스토홀딩스,+91,+406,44717,+44550,▲,+100
'298020,효성티앤씨,+10,+402,395674,-369000,▼,-19500
'183300,코미코,+34,+391,116310,+120200,▲,+1300
'205100,엑셈,+1968,+377,1916,-1938,▼,-1
'034020,두산에너빌리티,+34,+365,107900,+110200,▲,+3900
'189300,인텔리안테크,+29,+361,122835,-122300,▼,-1100
'024060,흥구석유,+171,+357,20931,-19540,▼,-1410
'0004V0,엔비알모션,+188,+351,18640,-18020,▼,-480
'003030,세아제강지주,+20,+342,173142,+199200,▲,+22400
'034230,파라다이스,+178,+338,18941,-18280,▼,-610
'326030,SK바이오팜,+35,+337,97224,+98200,▲,+700
'103140,풍산,+34,+337,99339,-99600,▼,-300
'000810,삼성화재,+7,+336,480269,+479000,▲,+500
'010060,OCI홀딩스,+16,+332,202724,+204000,▲,+5800
'042700,한미반도체,+11,+327,304153,+309500,▲,+2500
