종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'456160,지투지바이오,+209,+2763,132073,-72300,[v],-6500
'196170,알테오젠,+48,+2120,440813,-354000,[v],-27000
'298380,에이비엘바이오,+130,+1183,90714,-171600,[v],-8500
'089030,테크윙,+368,+1110,30199,-48900,[v],-3100
'277810,레인보우로보틱스,+37,+1100,297741,-544000,[v],-23000
'102710,이엔에프테크놀로지,+249,+959,38451,-48900,[v],-1700
'182360,큐브엔터,+440,+801,18204,-10190,[v],-300
'900270,헝셩그룹,+31632,+662,209,-1076,[v],-44
'226950,올릭스,+113,+636,56367,-187000,[v],-13500
'140670,알에스오토메이션,+395,+611,15465,-16250,[v],-760
'131970,두산테스나,+117,+418,35820,-102900,[v],-5400
'041190,우리기술투자,+380,+406,10691,-6290,[v],-220
'463020,뉴엔AI,+133,+329,24776,-11840,[v],-490
'160190,하이젠알앤엠,+87,+306,35120,-35800,[v],-2000
'290650,엘앤씨바이오,+93,+293,31478,-68700,[v],-4700
'094480,갤럭시아머니트리,+260,+281,10807,-8130,[v],-320
'073560,우리손에프앤지,+1619,+265,1637,-1622,[v],-47
'389470,인벤티지랩,+73,+258,35094,-71600,[v],-5200
'051500,CJ프레시웨이,+87,+252,28870,-30650,[v],-250
'084110,휴온스글로벌,+54,+245,45513,-68000,[v],-2400
'039030,이오테크닉스,+11,+240,210869,-391000,[v],-26000
'035900,JYP Ent.,+30,+233,77655,-62400,[v],-1900
'122870,와이지엔터테인먼트,+22,+231,103450,-53900,[v],-2300
'003380,하림지주,+254,+216,8533,-13810,[v],-1040
'121600,나노신소재,+35,+199,57347,+68000,[^],+100
'052400,코나아이,+36,+193,53202,-53500,[v],-2700
'000250,삼천당제약,+10,+187,191917,+1150000,[^],+39000
'018290,브이티,+48,+186,38564,-15210,[v],-520
'028300,HLB,+50,+186,37304,+53500,[^],+200
'006910,보성파워텍,+443,+185,4178,-9750,[v],-430
'058970,엠로,+41,+171,42108,-27800,[v],-800
'014940,오리엔탈정공,+253,+170,6714,-6330,[v],-240
'240810,원익IPS,+40,+163,40848,-114500,[v],-6500
'058470,리노공업,+34,+157,46504,-99700,[v],-5200
'441270,파인엠텍,+137,+152,11091,-10030,[v],-430
'213420,덕산네오룩스,+31,+149,48159,-50100,[v],-2900
'247540,에코프로비엠,+11,+146,132509,+205000,[^],+2500
'378800,샤페론,+618,+145,2347,-1686,[v],-86
'204620,글로벌텍스프리,+314,+144,4597,-4900,[v],-160
'310200,애니플러스,+268,+143,5326,-2745,[v],-45
'403870,HPSP,+56,+143,25600,-42900,[v],-2250
'183300,코미코,+18,+141,77111,-103400,[v],-4100
'101000,KS인더스트리,+667,+136,2037,-1004,[v],-56
'080010,이상네트웍스,+212,+135,6365,-6520,[v],-70
'108380,대양전기공업,+51,+132,25901,-25400,[v],-850
'419530,SAMG엔터,+21,+129,61780,-32950,[v],-1000
'091700,파트론,+199,+126,6343,-7940,[v],-460
'090850,현대이지웰,+195,+125,6431,-6140,[v],-120
'194480,데브시스터즈,+25,+125,49654,-29250,[v],-3350
'347700,스피어,+103,+124,12002,-48400,[v],-2500
'299660,셀리드,+313,+124,3962,-2520,[v],-70
'459510,나우로보틱스,+86,+122,14215,-18760,[v],-770
