종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'005930,삼성전자,+8668,+57178,65966,-177000,[v],-2700
'014680,한솔케미칼,+782,+14116,180620,-266500,[v],-6500
'068270,셀트리온,+385,+6948,180464,-201000,[v],-5000
'005935,삼성전자우,+1225,+6710,54769,-121100,[v],-5100
'005380,현대차,+264,+5857,221926,-471000,[v],-24000
'005830,DB손해보험,+287,+3822,133382,-164300,[v],-8600
'088980,맥쿼리인프라,+3239,+3686,11380,-11340,[v],-70
'000660,SK하이닉스,+115,+3124,271661,-877000,[v],-45000
'047050,포스코인터내셔널,+496,+2782,56135,+75700,[^],+1200
'267270,HD건설기계,+207,+1691,81491,-126200,[v],-3900
'278470,에이피알,+83,+1480,179214,+327500,[^],+500
'079550,LIG넥스원,+23,+1380,591934,-669000,[v],-66000
'267260,HD현대일렉트릭,+24,+1169,480723,-879000,[v],-36000
'092790,넥스틸,+696,+1086,15591,+11470,[^],+100
'000100,유한양행,+79,+994,125364,-98200,[v],-2200
'004370,농심,+24,+965,402106,-367000,[v],-8500
'034230,파라다이스,+493,+942,19114,-16650,[v],-1180
'005385,현대차우,+56,+938,166213,-243500,[v],-13500
'095720,웅진씽크빅,+4007,+900,2247,-1144,[v],-22
'298040,효성중공업,+8,+851,1056922,-2509000,[v],-167000
'062040,산일전기,+85,+831,98077,-143500,[v],-5800
'010060,OCI홀딩스,+86,+825,96216,+193100,[^],+14300
'316140,우리금융지주,+322,+815,25274,-32400,[v],-1200
'352820,하이브,+27,+715,269172,-303000,[v],-4000
'022100,포스코DX,+266,+711,26710,-30100,[v],-450
'006400,삼성SDI,+37,+689,184211,+416000,[^],+10500
'103140,풍산,+42,+663,158548,-89200,[v],-2500
'007660,이수페타시스,+107,+635,59106,-105200,[v],-5300
'081660,미스토홀딩스,+150,+562,37539,+40950,[^],+750
'035420,NAVER,+24,+555,232835,-207500,[v],-5000
'064350,현대로템,+29,+546,191370,-179300,[v],-4900
'259960,크래프톤,+16,+538,346504,-251500,[v],-3000
'001940,KISCO홀딩스,+196,+506,25783,-25600,[v],-800
'021240,코웨이,+46,+502,109234,-72000,[v],-1500
'003550,LG,+61,+493,80312,-84800,[v],-4200
'071090,하이스틸,+859,+489,5693,+3470,[^],+25
'204320,HL만도,+133,+488,36625,-50300,[v],-900
'035720,카카오,+89,+488,54875,-47150,[v],-1650
'010690,화신,+525,+478,9104,-10790,[v],-420
'000810,삼성화재,+10,+474,462447,443000,-,0
'306200,세아제강,+28,+473,168339,+130300,[^],+1100
'03473K,SK우,+28,+466,168215,-247500,[v],-5000
'051910,LG화학,+14,+407,294418,+323000,[^],+10000
'017810,풀무원,+248,+387,15575,-11950,[v],-160
'006800,미래에셋증권,+191,+384,20083,-62900,[v],-4200
'005850,에스엘,+93,+364,39165,-56900,[v],-2900
'138930,BNK금융지주,+218,+338,15480,-18260,[v],-420
'066570,LG전자,+40,+316,79646,-108600,[v],-3400
'001500,현대차증권,+329,+303,9203,-10370,[v],-530
'051915,LG화학우,+20,+301,150133,-153500,[v],-3000
'271560,오리온,+25,+278,112789,-126900,[v],-7600
'033780,KT&G,+20,+266,135062,-157200,[v],-800
'010140,삼성중공업,+141,+263,18669,-24550,[v],-1450
'012330,현대모비스,+9,+256,295469,-397500,[v],-11000
'071050,한국금융지주,+17,+256,149369,-210000,[v],-10000
'093050,LF,+125,+254,20363,+24400,[^],+750
'003350,한국화장품제조,+36,+231,64384,-43700,[v],-2200
'000320,노루홀딩스,+100,+230,23086,-21250,[v],-650
'011200,HMM,+91,+230,25130,-19570,[v],-90
'402340,SK스퀘어,+14,+218,152927,-513000,[v],-31000
'100840,SNT에너지,+56,+208,37204,+53300,[^],+5100
'139130,iM금융지주,+141,+206,14592,-16950,[v],-720
'000720,현대건설,+31,+201,65014,-147600,[v],-2200
'011070,LG이노텍,+13,+196,151641,-309500,[v],-11000
'010950,S-Oil,+30,+189,62700,-108800,[v],-900
'001045,CJ우,+21,+187,87223,-86600,[v],-4200
'004490,세방전지,+25,+186,74019,-59700,[v],-800
'005387,현대차2우B,+11,+182,168268,-246000,[v],-11000
'450080,에코프로머티,+33,+174,52566,-72100,[v],-1300
'000880,한화,+19,+172,91543,-108600,[v],-2900
'008930,한미사이언스,+35,+169,48412,-37300,[v],-1100
'005940,NH투자증권,+79,+165,20935,-31150,[v],-3100
