종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'000660,SK하이닉스,-861,-81192,942679,-933000,▼,-74000
'000270,기아,-4309,-69654,161664,-161600,▼,-6900
'005930,삼성전자,-3119,-58672,188114,-185300,▼,-14100
'034020,두산에너빌리티,-3076,-32240,104805,-99000,▼,-10600
'039200,오스코텍,-5965,-31481,52773,-50800,▼,-5200
'012330,현대모비스,-694,-26367,380064,-375500,▼,-25000
'000250,삼천당제약,-266,-24960,937219,+923000,▲,+16000
'005935,삼성전자우,-1711,-22530,131667,-130900,▼,-8300
'278470,에이피알,-616,-20535,333118,-321500,▼,-38000
'005380,현대차,-408,-20006,490792,-483000,▼,-34000
'009150,삼성전기,-357,-15435,432329,-420000,▼,-44500
'298040,효성중공업,-59,-15238,2600848,-2570000,▼,-165000
'006400,삼성SDI,-373,-14255,381690,-371500,▼,-29000
'440110,파두,-2066,-11509,55717,-56000,▼,-3200
'000720,현대건설,-706,-10973,155454,-149600,▼,-14400
'277810,레인보우로보틱스,-172,-10331,599831,-587000,▼,-72000
'247540,에코프로비엠,-492,-8862,180224,-175800,▼,-16100
'402340,SK스퀘어,-141,-7866,556167,-550000,▼,-58000
'006260,LS,-283,-7715,272583,-270500,▼,-33000
'047040,대우건설,-4331,-7567,17474,-17060,▼,-2050
'004020,현대제철,-2091,-7335,35085,-34150,▼,-3300
'066570,LG전자,-629,-6936,110224,-107600,▼,-10300
'003490,대한항공,-2802,-6872,24523,-24200,▼,-2150
'010130,고려아연,-46,-6826,1484130,-1480000,▼,-107000
'352820,하이브,-227,-6734,296200,-282500,▼,-61500
'025980,아난티,-8654,-5901,6819,-6740,▼,-710
'009830,한화솔루션,-1234,-5894,47755,-45000,▼,-6700
'098070,한텍,-856,-5382,62843,+56700,▲,+8800
'102710,이엔에프테크놀로지,-1029,-5284,51363,-50100,▼,-4900
'089970,브이엠,-1146,-5154,44990,-43300,▼,-4350
'086520,에코프로,-355,-5066,142601,-137300,▼,-13600
'000150,두산,-46,-4940,1085269,-1062000,▼,-124000
'047810,한국항공우주,-274,-4674,170900,-166200,▼,-19500
'032500,케이엠더블유,-1558,-4537,29123,-27800,▼,-5150
'010120,LS ELECTRIC,-52,-4322,834018,-811000,▼,-75000
'454910,두산로보틱스,-511,-4279,83781,-82500,▼,-6800
'475830,오름테라퓨틱,-367,-4139,112860,-107600,▼,-18700
'080580,오킨스전자,-1804,-3363,18644,-18370,▼,-1980
'425420,티에프이,-521,-3220,61755,-59200,▼,-8300
'068270,셀트리온,-169,-3203,189765,-185300,▼,-16700
'006800,미래에셋증권,-505,-3167,62684,-60300,▼,-7400
'035420,NAVER,-148,-3111,210694,-207500,▼,-14000
'458350,에스팀,-2316,-2851,12310,-11500,▼,-3730
'476830,알지노믹스,-136,-2818,207205,-199200,▼,-15300
'010060,OCI홀딩스,-146,-2811,192569,-187500,▼,-15500
'330860,네패스아크,-937,-2589,27617,+28000,▲,+3000
'064760,티씨케이,-98,-2362,240238,-232500,▼,-20500
'034220,LG디스플레이,-2049,-2350,11468,-11190,▼,-840
'240810,원익IPS,-197,-2336,118716,-113200,▼,-11800
'272210,한화시스템,-179,-2212,123356,-120000,▼,-16000
'267260,HD현대일렉트릭,-24,-2176,914900,-902000,▼,-57000
'105560,KB금융,-143,-2101,146717,-144600,▼,-10600
'010140,삼성중공업,-781,-2066,26443,-26050,▼,-2500
'272110,케이엔제이,-579,-2032,35112,-34550,▼,-1850
'338840,와이바이오로직스,-631,-2005,31779,-30100,▼,-4550
'031980,피에스케이홀딩스,-182,-1919,105689,-102100,▼,-9300
'060370,LS마린솔루션,-635,-1904,29963,-29050,▼,-2550
