종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'486990,노타,-2819,-11370,40337,-43000,▼,-1850
'226950,올릭스,-330,-4042,122609,+185700,▲,+3900
'214450,파마리서치,-67,-2749,412362,+327500,▲,+7000
'196170,알테오젠,-45,-2338,520934,-354000,▼,-6000
'403850,더핑크퐁컴퍼니,-553,-1862,33651,+17930,▲,+190
'204620,글로벌텍스프리,-3735,-1794,4803,+4830,▲,+370
'089030,테크윙,-312,-1470,47201,-58000,▼,-500
'141080,리가켐바이오,-69,-1315,189346,+213000,▲,+13100
'309710,아이티켐,-262,-1240,47296,-32550,▼,-2600
'201490,미투온,-3336,-1239,3714,+3220,▲,+60
'220100,퓨쳐켐,-371,-1178,31707,21000,-,0
'257720,실리콘투,-265,-1164,43962,+38600,▲,+2100
'482630,삼양엔씨켐,-483,-1128,23363,+18440,▲,+490
'388210,씨엠티엑스,-109,-974,89492,+150100,▲,+100
'277810,레인보우로보틱스,-18,-792,441859,-668000,▼,-50000
'115180,큐리언트,-186,-591,31824,-44750,▼,-300
'030530,원익홀딩스,-213,-513,24060,+34350,▲,+1850
'086450,동국제약,-261,-498,19122,+18800,▲,+900
'083450,GST,-189,-498,26346,30000,-,0
'950160,코오롱티슈진,-63,-496,79040,+98200,▲,+1000
'253450,스튜디오드래곤,-126,-496,39458,+40000,▲,+950
'138080,오이솔루션,-366,-476,13011,+33900,▲,+2300
'199800,툴젠,-80,-474,59311,+48250,▲,+650
'092730,네오팜,-253,-474,18768,+17800,▲,+150
'240810,원익IPS,-75,-455,60958,+124000,▲,+3100
'086520,에코프로,-50,-453,91429,-150900,▼,-200
'081180,쎄크,-371,-447,12074,-12450,▼,-200
'101490,에스앤에스텍,-80,-420,52221,-85700,▼,-200
'082920,비츠로셀,-118,-406,34287,-29100,▼,-1850
'117730,티로보틱스,-234,-401,17139,-19940,▼,-10
'272290,이녹스첨단소재,-154,-390,25352,+33250,▲,+1900
'403870,HPSP,-125,-389,31072,-51200,▼,-500
'099430,바이오플러스,-665,-376,5652,+5230,▲,+275
'445680,큐리옥스바이오시스템즈,-40,-368,91933,-122800,▼,-8900
'107640,한중엔시에스,-75,-362,48524,+52000,▲,+300
'419530,SAMG엔터,-89,-341,38426,+35900,▲,+1450
'290650,엘앤씨바이오,-55,-334,61009,+75700,▲,+300
'247540,에코프로비엠,-20,-319,156541,+190100,▲,+400
'194700,노바렉스,-219,-315,14398,-13400,▼,-30
'035760,CJ ENM,-49,-313,64127,+62500,▲,+900
'096530,씨젠,-117,-304,25978,+22800,▲,+650
'260970,에스앤디,-42,-297,70761,+54500,▲,+400
'484120,도우인시스,-117,-296,25185,+22200,▲,+450
'114810,한솔아이원스,-211,-275,13024,-15260,▼,-340
'041510,에스엠,-24,-254,105704,+98000,▲,+900
'039200,오스코텍,-39,-231,59576,-56400,▼,-1100
'000250,삼천당제약,-10,-220,224498,+900000,▲,+105000
'148150,세경하이테크,-426,-220,5153,+4620,▲,+85
'488280,에스투더블유,-73,-215,29624,-15540,▼,-160
'290550,디케이티,-280,-207,7396,+21800,▲,+2310
'211050,인카금융서비스,-137,-207,15114,+12660,▲,+40
'310210,보로노이,-8,-206,250405,+324500,▲,+4500
'041830,인바디,-66,-203,30696,+29650,▲,+1000
'063440,SM Life Design,-1000,-201,2014,+1438,▲,+19
'078600,대주전자재료,-25,-189,75799,+127500,▲,+7800
'067310,하나마이크론,-73,-186,25292,+34750,▲,+1250
'018290,브이티,-89,-180,20076,+15930,▲,+1280
'123410,코리아에프티,-200,-174,8723,-7250,▼,-80
'475830,오름테라퓨틱,-27,-173,63914,+125300,▲,+400
'448710,코츠테크놀로지,-105,-172,16431,-19170,▼,-380
'005290,동진쎄미켐,-44,-171,38585,+49850,▲,+1300
'214150,클래시스,-28,-168,59108,+53700,▲,+1200
'051360,토비스,-103,-164,15860,+16770,▲,+820
'084370,유진테크,-20,-158,79324,-129200,▼,-2700
'012340,뉴인텍,-3004,-157,522,331,-,0
'060280,큐렉소,-109,-153,13988,-15230,▼,-290
'241710,코스메카코리아,-22,-152,68804,+77500,▲,+3700
'041960,코미팜,-200,-136,6814,+8430,▲,+240
'263720,디앤씨미디어,-98,-128,13024,+11900,▲,+310
'355150,코스텍시스,-90,-124,13756,+24050,▲,+100
'104830,원익머트리얼즈,-39,-123,31189,-42500,▼,-700
'431190,케이쓰리아이,-228,-119,5245,+4255,▲,+140
'200670,휴메딕스,-26,-117,44497,+35700,▲,+550
'456010,아이씨티케이,-80,-116,14495,+14370,▲,+300
'200710,에이디테크놀로지,-38,-115,30657,+47250,▲,+650
'058470,리노공업,-17,-115,65802,-112000,▼,-5100
'174900,앱클론,-28,-112,40259,-78300,▼,-1500
'140860,파크시스템스,-5,-112,227448,-272500,▼,-5000
'126340,비나텍,-12,-111,89415,+143700,▲,+4300
'025980,아난티,-136,-107,7860,+7450,▲,+80
'065660,안트로젠,-36,-106,29162,-42400,▼,-1500
'397030,에이프릴바이오,-27,-106,39190,+64800,▲,+2300
'131970,두산테스나,-23,-103,45326,+99900,▲,+8000
'036200,유니셈,-103,-99,9590,+10180,▲,+130
'389470,인벤티지랩,-11,-94,88543,+80900,▲,+2100
'230240,에치에프알,-73,-93,12632,+27000,▲,+1500
'0015G0,그린광학,-46,-92,20089,+34450,▲,+400
'099190,아이센스,-51,-89,17357,+20550,▲,+250
'036540,SFA반도체,-190,-83,4360,+7100,▲,+30
'348370,엔켐,-11,-82,72571,-48950,▼,-4150
'440110,파두,-31,-82,26015,+59200,▲,+2200
'194480,데브시스터즈,-25,-79,32068,-40250,▼,-250
'303810,동국생명과학,-200,-78,3895,+3360,▲,+45
'466410,사이냅소프트,-60,-73,12008,+11900,▲,+420
'039830,오로라,-41,-71,17265,+10320,▲,+90
'463020,뉴엔AI,-39,-70,18068,+13050,▲,+50
'459550,알트,-122,-69,5657,-2980,▼,-50
'388720,유일로보틱스,-7,-63,85926,-100200,▼,-700
'064260,다날,-91,-62,6814,+7310,▲,+200
'007390,네이처셀,-26,-61,23345,+18060,▲,+340
