종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'009150,삼성전기,-520,-13212,254289,-462000,▼,-17500
'006400,삼성SDI,-318,-8552,269158,-399500,▼,-3000
'042660,한화오션,-580,-6603,113760,-129500,▼,-500
'066970,엘앤에프,-663,-6304,95042,+110700,▲,+2400
'402340,SK스퀘어,-163,-6016,369743,-604000,▼,-7000
'010130,고려아연,-44,-5751,1315404,-1605000,▼,-7000
'042700,한미반도체,-355,-4559,128333,+309500,▲,+2500
'000150,두산,-56,-4383,783606,+1169000,▲,+20000
'278470,에이피알,-190,-4372,230348,-361500,▼,-7500
'373220,LG에너지솔루션,-114,-4196,367740,+373000,▲,+2000
'047810,한국항공우주,-322,-3664,113705,-186200,▼,-4200
'071970,HD현대마린엔진,-342,-3044,89146,+79600,▲,+2000
'217590,티엠씨,-1834,-2943,16044,+23900,▲,+4320
'028260,삼성물산,-122,-2907,238747,+299000,▲,+8000
'103140,풍산,-259,-2756,106389,-99300,▼,-600
'015760,한국전력,-507,-2400,47335,+49050,▲,+750
'007660,이수페타시스,-158,-1886,119419,-126900,▼,-2600
'009420,한올바이오파마,-424,-1838,43307,+55900,▲,+400
'316140,우리금융지주,-561,-1565,27913,+33800,▲,+200
'353200,대덕전자,-253,-1185,46866,+82800,▲,+5500
'086790,하나금융지주,-122,-1147,94157,-112400,▼,-800
'307950,현대오토에버,-36,-1147,316142,+429500,▲,+3500
'052690,한전기술,-119,-1075,90238,+175400,▲,+7400
'003670,포스코퓨처엠,-56,-1054,188434,+198900,▲,+900
'071050,한국금융지주,-60,-968,162306,+233500,▲,+4500
'000670,영풍,-200,-951,47544,+60300,▲,+4800
'298040,효성중공업,-5,-941,1792830,+2719000,▲,+26000
'086280,현대글로비스,-51,-918,179807,-230000,▼,-500
'439260,대한조선,-136,-910,66998,-91200,▼,-3700
'034020,두산에너빌리티,-119,-902,75482,+109600,▲,+3300
'009540,HD한국조선해양,-19,-770,405265,-404500,▼,-9000
'010140,삼성중공업,-318,-765,24083,+28650,▲,+150
'010120,LS ELECTRIC,-14,-637,466325,+889000,▲,+16000
'000720,현대건설,-90,-632,70243,-167200,▼,-2300
'005490,POSCO홀딩스,-20,-598,305083,+343000,▲,+5000
'207940,삼성바이오로직스,-3,-581,1694796,+1602000,▲,+17000
'033240,자화전자,-216,-561,26003,-39050,▼,-100
'011780,금호석유화학,-45,-537,120012,-131700,▼,-2500
'005180,빙그레,-72,-537,74344,+75400,▲,+600
'267260,HD현대일렉트릭,-7,-527,776994,-957000,▼,-1000
'033780,KT&G,-37,-525,142884,-156200,▼,-800
'272210,한화시스템,-96,-523,54672,-135800,▼,-5200
'034230,파라다이스,-316,-517,16342,-18270,▼,-620
'457190,이수스페셜티케미컬,-85,-497,58689,-91300,▼,-1000
'005850,에스엘,-116,-495,42465,-63500,▼,-1000
'175330,JB금융지주,-189,-483,25587,30200,-,0
'055550,신한지주,-61,-470,76893,-96100,▼,-400
'011210,현대위아,-57,-432,75841,+84700,▲,+500
'051910,LG화학,-12,-406,330903,+308000,▲,+4500
'329180,HD현대중공업,-8,-402,511546,-561000,▼,-6000
'271560,오리온,-36,-379,105693,+135200,▲,+4600
'011070,LG이노텍,-14,-372,270386,+295500,▲,+9500
'032830,삼성생명,-23,-355,157184,-226500,▼,-4000
'036530,SNT홀딩스,-66,-354,54112,+65600,▲,+1400
'069620,대웅제약,-20,-350,173170,+160400,▲,+400
'105840,우진,-201,-344,17164,+31200,▲,+5050
'009830,한화솔루션,-126,-337,26700,+52200,▲,+2450
'035720,카카오,-55,-333,60156,+50300,▲,+300
'105560,KB금융,-26,-324,124954,-153800,▼,-1900
'017800,현대엘리베이터,-34,-303,88779,+88400,▲,+1000
'499790,GS피앤엘,-72,-301,41572,-48450,▼,-1300
'002380,KCC,-7,-295,417854,+543000,▲,+9000
'002020,코오롱,-53,-262,49777,+54300,▲,+1000
'030000,제일기획,-125,-261,20897,+21300,▲,+350
'090460,비에이치,-161,-259,16101,+21950,▲,+2070
'004170,신세계,-10,-255,246929,+339500,▲,+4000
'007340,DN오토모티브,-104,-252,24126,+39650,▲,+50
'018470,조일알미늄,-1798,-235,1306,-1281,▼,-5
'267270,HD건설기계,-24,-233,98571,+133600,▲,+1900
'249420,일동제약,-58,-222,38426,-31200,▼,-200
'028050,삼성E&A,-92,-219,23875,+39800,▲,+7200
'006040,동원산업,-52,-218,41936,+40600,▲,+1550
'007070,GS리테일,-108,-217,20042,+20500,▲,+550
'138930,BNK금융지주,-134,-214,15909,+18800,▲,+320
'077970,STX엔진,-62,-210,34010,+34400,▲,+300
'483650,달바글로벌,-13,-191,146680,+159000,▲,+4100
'030200,KT,-35,-180,52086,+60000,▲,+700
'062040,산일전기,-14,-177,130071,+157200,▲,+5500
'005070,코스모신소재,-40,-174,43614,+49750,▲,+900
'006805,미래에셋증권우,-115,-171,14809,+22850,▲,+600
'100090,SK오션플랜트,-83,-168,20223,+25550,-,+5870
'161390,한국타이어앤테크놀로지,-29,-165,57919,+57500,▲,+500
