종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'005930,삼성전자,+1740,+34654,199179,-199800,▼,-700
'034020,두산에너빌리티,+927,+10222,110216,+109600,▲,+3300
'006400,삼성SDI,+206,+8287,401749,-399500,▼,-3000
'003230,삼양식품,+68,+7739,1146050,+1147000,▲,+47000
'131970,두산테스나,+651,+6439,98953,+99900,▲,+8000
'100840,SNT에너지,+1160,+6037,52025,+53800,▲,+12250
'257720,실리콘투,+1481,+5798,39141,+38600,▲,+2100
'028050,삼성E&A,+1343,+4748,35355,+39800,▲,+7200
'161890,한국콜마,+620,+4733,76303,+77100,▲,+7300
'192820,코스맥스,+215,+4267,198274,+197800,▲,+18600
'128940,한미약품,+66,+3676,555939,+555000,▲,+36000
'021240,코웨이,+479,+3578,74654,+74400,▲,+1400
'141080,리가켐바이오,+160,+3410,212656,+213000,▲,+13100
'047050,포스코인터내셔널,+416,+3227,77612,+77700,▲,+5900
'003490,대한항공,+1217,+3159,25972,+26150,▲,+1600
'023160,태광,+910,+3014,33120,+35200,▲,+6300
'009830,한화솔루션,+529,+2904,54867,+52200,▲,+2450
'053690,한미글로벌,+1084,+2897,26716,+27200,▲,+4050
'307950,현대오토에버,+63,+2732,430844,+429500,▲,+3500
'327260,RF머트리얼즈,+366,+2670,73028,+73900,▲,+13400
'222800,심텍,+417,+2586,62060,+62500,▲,+2400
'032350,롯데관광개발,+1140,+2478,21747,+21550,▲,+600
'034230,파라다이스,+1325,+2451,18505,-18270,▼,-620
'000155,두산우,+46,+2370,511968,+512000,▲,+11000
'015760,한국전력,+472,+2314,49035,+49050,▲,+750
'078600,대주전자재료,+177,+2253,127336,+127500,▲,+7800
'323410,카카오뱅크,+895,+2252,25157,+25000,▲,+350
'010950,S-Oil,+189,+2120,112264,+111800,▲,+600
'071050,한국금융지주,+89,+2092,234002,+233500,▲,+4500
'035900,JYP Ent.,+292,+1964,67273,-66800,▼,-100
'034730,SK,+53,+1908,361098,+358000,▲,+12000
'087010,펩트론,+51,+1898,373075,+343500,▲,+26000
'096770,SK이노베이션,+161,+1886,117044,+113600,▲,+3300
'005940,NH투자증권,+529,+1874,35432,+35300,▲,+1900
'090430,아모레퍼시픽,+119,+1688,141662,+140000,▲,+5300
'290550,디케이티,+768,+1683,21918,+21800,▲,+2310
'456160,지투지바이오,+188,+1678,89514,+88700,▲,+1800
'240810,원익IPS,+127,+1580,124710,+124000,▲,+3100
'041510,에스엠,+158,+1566,98892,+98000,▲,+900
'330860,네패스아크,+631,+1528,24224,+25000,-,+5750
'403870,HPSP,+292,+1473,50367,-51200,▼,-500
'322000,HD현대에너지솔루션,+94,+1314,140154,-131000,▼,-5300
'006360,GS건설,+400,+1248,31239,+33450,▲,+7500
'123330,제닉,+480,+1208,25172,+24950,▲,+1400
'030200,KT,+193,+1177,60885,+60000,▲,+700
'035720,카카오,+226,+1135,50238,+50300,▲,+300
'044490,태웅,+210,+1068,50950,+58600,▲,+13300
'032500,케이엠더블유,+331,+1059,31990,+32450,▲,+3250
'090460,비에이치,+478,+1027,21474,+21950,▲,+2070
'388210,씨엠티엑스,+69,+1023,149192,+150100,▲,+100
'106190,하이텍팜,+524,+1016,19382,+19340,▲,+3920
'204620,글로벌텍스프리,+2076,+1004,4835,+4830,▲,+370
'353200,대덕전자,+115,+980,85354,+82800,▲,+5500
'074600,원익QnC,+280,+963,34378,+34300,▲,+550
'097230,HJ중공업,+336,+950,28269,+28450,▲,+650
'007810,코리아써키트,+144,+927,64466,+64500,▲,+2400
'051900,LG생활건강,+36,+908,254641,+253500,▲,+10500
'064760,티씨케이,+36,+904,252921,+253500,▲,+11000
'009450,경동나비엔,+133,+886,66628,-66500,▼,-300
'036570,엔씨소프트,+39,+884,229459,+226000,▲,+5000
'140410,메지온,+95,+884,93393,+91600,▲,+100
'023530,롯데쇼핑,+75,+859,115207,+113100,▲,+5600
'105840,우진,+283,+843,29772,+31200,▲,+5050
'166090,하나머티리얼즈,+134,+839,62438,+62000,▲,+2900
'000150,두산,+7,+812,1192866,+1169000,▲,+20000
'120110,코오롱인더,+112,+798,70902,-69900,▼,-600
'226950,올릭스,+43,+792,186321,+185700,▲,+3900
'000500,가온전선,+69,+787,113249,+112700,▲,+1500
'229640,LS에코에너지,+171,+779,45459,+45400,▲,+1400
'010120,LS ELECTRIC,+8,+752,896545,+889000,▲,+16000
'017940,E1,+69,+735,105814,+109200,▲,+9500
'007070,GS리테일,+356,+732,20549,+20500,▲,+550
'006800,미래에셋증권,+102,+703,68863,+67900,▲,+1200
'394280,오픈엣지테크놀로지,+416,+695,16727,+16820,▲,+860
'000210,DL,+109,+694,63424,+65300,▲,+14000
'297090,씨에스베어링,+773,+667,8621,+8620,▲,+740
'033640,네패스,+315,+666,21152,+21050,▲,+3070
'051600,한전KPS,+95,+633,66375,+67400,▲,+6000
'051910,LG화학,+20,+625,309891,+308000,▲,+4500
'009540,HD한국조선해양,+15,+624,407308,-404500,▼,-9000
'062040,산일전기,+40,+614,155528,+157200,▲,+5500
'321550,티움바이오,+614,+611,9945,+10070,▲,+1520
'139480,이마트,+59,+598,101598,+100200,▲,+5800
'160980,싸이맥스,+245,+587,23949,-23650,▼,-300
