종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'214450,파마리서치,+104,+5952,574269,+327500,▲,+7000
'247540,에코프로비엠,+322,+4356,135082,+190100,▲,+400
'416180,신성에스티,+546,+2549,46698,-34500,▼,-400
'044490,태웅,+666,+2502,37566,+58600,▲,+13300
'089030,테크윙,+321,+1983,61792,-58000,▼,-500
'178320,서진시스템,+548,+1373,25075,+48000,▲,+2600
'098460,고영,+776,+1310,16875,-29050,▼,-650
'226590,엠디바이스,+719,+1253,17413,-36200,▼,-50
'473980,노머스,+383,+1129,29499,+19100,▲,+1240
'089970,브이엠,+474,+1065,22457,-47800,▼,-1000
'058470,리노공업,+176,+1019,57995,-112000,▼,-5100
'028300,HLB,+252,+999,39692,+51300,▲,+900
'031980,피에스케이홀딩스,+188,+988,52676,+111000,▲,+4200
'241710,코스메카코리아,+147,+979,66638,+77500,▲,+3700
'042520,한스바이오메드,+391,+856,21906,-52900,▼,-2800
'115180,큐리언트,+366,+805,21976,-44750,▼,-300
'458870,씨어스테크놀로지,+89,+647,72568,-184800,▼,-4200
'036810,에프에스티,+156,+590,37711,-42400,▼,-600
'259630,엠플러스,+369,+557,15089,+13500,▲,+440
'095340,ISC,+61,+506,83662,+245000,▲,+500
'089890,코세스,+218,+483,22167,-25550,▼,-1250
'058610,에스피지,+119,+403,33949,-120300,▼,-2900
'277810,레인보우로보틱스,+11,+385,351157,-668000,▼,-50000
'290650,엘앤씨바이오,+71,+377,53050,+75700,▲,+300
'036930,주성엔지니어링,+118,+376,31788,+72800,▲,+11800
'086520,에코프로,+67,+363,54614,-150900,▼,-200
'054210,이랜텍,+423,+340,8036,+10340,▲,+440
'095610,테스,+71,+329,46244,-65500,▼,-600
'033100,제룡전기,+89,+323,36460,+49950,▲,+1350
'403870,HPSP,+87,+316,36163,-51200,▼,-500
'445680,큐리옥스바이오시스템즈,+46,+310,67811,-122800,▼,-8900
'194700,노바렉스,+189,+309,16347,-13400,▼,-30
'204270,제이앤티씨,+104,+296,28623,+18010,▲,+80
'084110,휴온스글로벌,+50,+293,58632,-67300,▼,-900
'353810,이지바이오,+488,+286,5867,+7220,▲,+360
'355150,코스텍시스,+183,+277,15141,+24050,▲,+100
'327260,RF머트리얼즈,+146,+273,18737,+73900,▲,+13400
'309710,아이티켐,+79,+268,33783,-32550,▼,-2600
'356860,티엘비,+39,+262,66373,-77400,▼,-2400
'437730,삼현,+88,+249,28334,-55400,▼,-600
'083650,비에이치아이,+40,+234,59052,+109800,▲,+5500
'064760,티씨케이,+13,+234,181671,+253500,▲,+11000
'099190,아이센스,+120,+224,18616,+20550,▲,+250
'357780,솔브레인,+7,+215,286957,+430000,▲,+8000
'036830,솔브레인홀딩스,+48,+214,44667,+52300,▲,+600
'084370,유진테크,+27,+210,78903,-129200,▼,-2700
'440110,파두,+84,+193,23078,+59200,▲,+2200
'078350,한양디지텍,+88,+175,19889,+27400,▲,+400
'281740,레이크머티리얼즈,+122,+174,14200,+19980,▲,+160
'078600,대주전자재료,+24,+172,70703,+127500,▲,+7800
'168360,펨트론,+80,+171,21400,+23450,▲,+550
'035760,CJ ENM,+24,+159,67546,+62500,▲,+900
'950170,JTC,+239,+159,6628,+5310,▲,+200
'086390,유니테스트,+88,+156,17813,+19460,▲,+1140
'200470,에이팩트,+276,+152,5514,+8650,▲,+710
'211050,인카금융서비스,+114,+152,13378,+12660,▲,+40
'417200,LS머트리얼즈,+151,+149,9850,+25300,▲,+1550
'452430,사피엔반도체,+47,+146,31206,-34900,▼,-1150
'115310,인포바인,+22,+145,66599,+76000,▲,+1500
'039010,현대에이치티,+164,+128,7837,-8600,▼,-100
'285490,노바텍,+52,+122,23366,+23050,▲,+550
'445090,에이직랜드,+34,+113,33070,+28100,▲,+200
'140860,파크시스템스,+5,+112,245336,-272500,▼,-5000
'450950,아스테라시스,+88,+111,12623,+11780,▲,+50
'200670,휴메딕스,+21,+108,52339,+35700,▲,+550
'082920,비츠로셀,+37,+105,28342,-29100,▼,-1850
'214150,클래시스,+22,+103,47209,+53700,▲,+1200
'041190,우리기술투자,+100,+100,9963,-6770,▼,-30
'045100,한양이엔지,+50,+99,19924,+31000,▲,+1950
'059210,메타바이오메드,+170,+99,5804,+4540,▲,+30
'104830,원익머트리얼즈,+29,+97,33362,-42500,▼,-700
'236200,슈프리마,+29,+89,30999,-51100,▼,-400
'399720,가온칩스,+15,+87,58828,+66000,▲,+600
'114840,아이패밀리에스씨,+41,+76,18657,+11700,▲,+510
'199430,케이엔알시스템,+33,+74,22386,+24100,▲,+350
'039830,오로라,+31,+71,22691,+10320,▲,+90
'136540,윈스테크넷,+53,+66,12422,+11650,▲,+210
'052400,코나아이,+13,+66,50680,-57500,▼,-1000
'425420,티에프이,+15,+64,43803,+65900,▲,+5200
'037460,삼지전자,+50,+64,12835,+23150,▲,+200
'265520,AP시스템,+31,+64,20820,+22950,▲,+100
'481070,에이유브랜즈,+31,+63,20237,+18290,▲,+250
'455900,엔젤로보틱스,+20,+62,30999,+27700,▲,+150
'230240,에치에프알,+34,+62,18140,+27000,▲,+1500
'126340,비나텍,+11,+60,53783,+143700,▲,+4300
'475230,엔알비,+47,+58,12444,+24750,▲,+2700
'134060,이퓨쳐,+119,+57,4815,-3825,▼,-5
'475960,토모큐브,+12,+55,45521,+57900,▲,+3100
'397030,에이프릴바이오,+17,+54,31243,+64800,▲,+2300
'083450,GST,+19,+51,26075,30000,-,0
'064290,인텍플러스,+30,+50,16868,-17180,▼,-770
'489460,바이오비쥬,+30,+48,15931,+8860,▲,+230
'112290,와이씨켐,+18,+45,24363,-26650,▼,-150
'455310,한화플러스제4호스팩,+200,+41,2070,-2100,▼,-5
'372320,큐로셀,+10,+40,39303,+49650,▲,+3350
'457370,한켐,+40,+40,9951,-8870,▼,-90
'083660,CSA 코스믹,+352,+38,1076,+298,▲,+14
'095660,네오위즈,+15,+37,24846,25250,-,0
'322310,오로스테크놀로지,+12,+36,30436,+33050,▲,+50
'475660,에스켐,+47,+33,7120,+5590,▲,+160
