종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'034020,두산에너빌리티,+2790,+18314,65644,-94300,[v],-3800
'035720,카카오,+2176,+13951,64110,-47150,[v],-1650
'042660,한화오션,+1099,+12914,117516,-119100,[v],-4100
'352820,하이브,+339,+9737,287563,-303000,[v],-4000
'003230,삼양식품,+44,+6412,1449456,-1169000,[v],-14000
'009150,삼성전기,+357,+5725,160552,-429000,[v],-5000
'005930,삼성전자,+518,+3723,71825,-177000,[v],-2700
'001040,CJ,+193,+3126,162233,-199000,[v],-7500
'033780,KT&G,+203,+2961,145640,-157200,[v],-800
'034230,파라다이스,+1193,+2639,22126,-16650,[v],-1180
'285130,SK케미칼,+399,+2576,64559,-52600,[v],-2400
'249420,일동제약,+1027,+2188,21297,-29050,[v],-1200
'450080,에코프로머티,+405,+2125,52426,-72100,[v],-1300
'066970,엘앤에프,+259,+1961,75693,+156800,[^],+1500
'071970,HD현대마린엔진,+200,+1681,83973,-71600,[v],-5100
'055550,신한지주,+240,+1656,69056,-90900,[v],-2600
'012330,현대모비스,+56,+1645,295412,-397500,[v],-11000
'180640,한진칼,+123,+1512,123163,-112100,[v],-5100
'000150,두산,+21,+1297,610441,-1116000,[v],-87000
'353200,대덕전자,+529,+1240,23458,-82700,[v],-2700
'078520,에이블씨엔씨,+1097,+1221,11128,-12540,[v],-800
'086790,하나금융지주,+138,+1174,84847,-107500,[v],-2900
'047810,한국항공우주,+114,+1039,91186,-173600,[v],-12900
'097950,CJ제일제당,+39,+971,250730,+218000,[^],+3500
'139130,iM금융지주,+632,+879,13904,-16950,[v],-720
'011790,SKC,+85,+854,100269,-96000,[v],-2700
'007660,이수페타시스,+124,+827,66619,-105200,[v],-5300
'267270,HD건설기계,+74,+792,106912,-126200,[v],-3900
'000155,두산우,+19,+745,387568,-464500,[v],-33000
'004800,효성,+83,+729,87634,-133100,[v],-6500
'011070,LG이노텍,+46,+728,158679,-309500,[v],-11000
'006260,LS,+41,+687,168360,-263000,[v],-5000
'138930,BNK금융지주,+455,+672,14778,-18260,[v],-420
'267250,HD현대,+49,+653,134512,-247000,[v],-10500
'052690,한전기술,+65,+616,95355,-154900,[v],-2100
'002380,KCC,+16,+607,385743,-503000,[v],-22000
'017800,현대엘리베이터,+64,+548,85471,-86000,[v],-1100
'077970,STX엔진,+180,+526,29143,-31900,[v],-1600
'071055,한국금융지주우,+52,+481,93294,-154800,[v],-8600
'093050,LF,+246,+464,18860,+24400,[^],+750
'013890,지누스,+223,+444,19926,-10430,[v],-390
'030000,제일기획,+213,+426,20063,-19430,[v],-400
'035250,강원랜드,+213,+402,18832,-17900,[v],-360
'259960,크래프톤,+11,+367,321185,-251500,[v],-3000
'003540,대신증권,+132,+329,25004,-36000,[v],-1850
'036570,엔씨소프트,+15,+313,202477,-222000,[v],-8000
'229640,LS에코에너지,+69,+303,43677,-42300,[v],-2000
'00680K,미래에셋증권2우B,+333,+280,8394,-19340,[v],-1160
'281820,케이씨텍,+80,+266,33187,-48100,[v],-700
'010060,OCI홀딩스,+25,+248,99006,+193100,[^],+14300
'079900,전진건설로봇,+39,+208,53142,+54100,[^],+500
'088980,맥쿼리인프라,+179,+208,11646,-11340,[v],-70
'028260,삼성물산,+13,+206,161946,-260500,[v],-8500
'005940,NH투자증권,+105,+204,19413,-31150,[v],-3100
'028050,삼성E&A,+74,+198,26863,+33350,[^],+250
'006040,동원산업,+43,+198,45651,-38850,[v],-1150
'008730,율촌화학,+53,+188,35264,-23850,[v],-100
'00088K,한화3우B,+49,+186,37594,-44150,[v],-1450
'005850,에스엘,+55,+183,33615,-56900,[v],-2900
'086280,현대글로비스,+11,+177,167735,-216000,[v],-15500
'002170,삼양통상,+27,+161,60169,+60000,[^],+100
'005935,삼성전자우,+26,+153,58562,-121100,[v],-5100
'120110,코오롱인더,+36,+145,40399,-77700,[v],-2300
'004170,신세계,+8,+143,172755,-308000,[v],-29000
'005380,현대차,+7,+142,213165,-471000,[v],-24000
'194370,제이에스코퍼레이션,+110,+118,10733,-11480,[v],-220
'128940,한미약품,+4,+118,279626,-522000,[v],-27000
'090435,아모레퍼시픽우,+27,+118,43592,-46800,[v],-2050
'003490,대한항공,+46,+111,24237,-24450,[v],-850
'000670,영풍,+24,+103,42100,-55900,[v],-3800
'020150,롯데에너지머티리얼즈,+38,+99,26269,+42250,[^],+150
'089860,롯데렌탈,+33,+98,29960,-31100,[v],-1500
'003090,대웅,+44,+97,22169,-24100,[v],-750
'032640,LG유플러스,+67,+97,14527,-15390,[v],-710
'294870,HDC현대산업개발,+39,+94,24079,-21500,[v],-750
'336260,두산퓨얼셀,+37,+87,23792,-36150,[v],-2000
