종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'277810,레인보우로보틱스,-293,-19453,663823,-668000,▼,-50000
'035420,NAVER,-867,-19139,220772,+221000,▲,+500
'131970,두산테스나,-1123,-11402,101501,+99900,▲,+8000
'064350,현대로템,-583,-10542,180722,-180700,▼,-5600
'005930,삼성전자,-514,-10369,201742,-199800,▼,-700
'058470,리노공업,-897,-10041,111976,-112000,▼,-5100
'012450,한화에어로스페이스,-70,-9225,1316095,-1315000,▼,-60000
'009150,삼성전기,-186,-8734,469185,-462000,▼,-17500
'032830,삼성생명,-382,-8625,226078,-226500,▼,-4000
'352820,하이브,-215,-7439,345652,-347000,▼,-7500
'329180,HD현대중공업,-127,-7194,565190,-561000,▼,-6000
'000720,현대건설,-408,-6873,168655,-167200,▼,-2300
'086520,에코프로,-414,-6265,151290,-150900,▼,-200
'009540,HD한국조선해양,-146,-5965,408435,-404500,▼,-9000
'018260,삼성에스디에스,-351,-5708,162509,+162000,▲,+500
'475150,SK이터닉스,-934,-5678,60771,+58600,▲,+4900
'005380,현대차,-103,-5389,523520,522000,-,0
'005387,현대차2우B,-194,-5187,267388,-264500,▼,-6000
'066570,LG전자,-419,-4955,118152,+117300,▲,+1100
'012330,현대모비스,-118,-4751,402085,-403500,▼,-9500
'196170,알테오젠,-132,-4691,354596,-354000,▼,-6000
'047810,한국항공우주,-214,-4026,188193,-186200,▼,-4200
'259960,크래프톤,-171,-3996,233835,+236000,▲,+4000
'000660,SK하이닉스,-40,-3619,914958,-1006000,▼,-7000
'079550,LIG넥스원,-50,-3426,678746,-664000,▼,-38000
'095610,테스,-493,-3215,65214,-65500,▼,-600
'010170,대한광통신,-3631,-2673,7360,+7440,▲,+50
'071050,한국금융지주,-110,-2571,233563,+233500,▲,+4500
'033780,KT&G,-161,-2536,157595,-156200,▼,-800
'000100,유한양행,-253,-2511,99168,+99700,▲,+1000
'010130,고려아연,-16,-2475,1572174,-1605000,▼,-7000
'298040,효성중공업,-9,-2466,2724401,+2719000,▲,+26000
'012510,더존비즈온,-204,-2429,119320,+119300,▲,+200
'353200,대덕전자,-278,-2317,83251,+82800,▲,+5500
'950160,코오롱티슈진,-200,-1963,98134,+98200,▲,+1000
'122870,와이지엔터테인먼트,-315,-1901,60309,+60200,▲,+100
'047040,대우건설,-851,-1894,22250,+19110,▲,+2940
'086280,현대글로비스,-78,-1809,231120,-230000,▼,-500
'021240,코웨이,-239,-1777,74367,+74400,▲,+1400
'058610,에스피지,-144,-1717,119514,-120300,▼,-2900
'271560,오리온,-128,-1715,134321,+135200,▲,+4600
'214150,클래시스,-315,-1691,53703,+53700,▲,+1200
'140410,메지온,-179,-1657,92610,+91600,▲,+100
'035250,강원랜드,-904,-1645,18189,+18180,▲,+330
'022100,포스코DX,-495,-1579,31923,+32200,▲,+450
'082740,한화엔진,-306,-1519,49638,+49000,▲,+450
'005490,POSCO홀딩스,-44,-1497,341979,+343000,▲,+5000
'081660,미스토홀딩스,-337,-1483,43959,-44400,▼,-50
'388210,씨엠티엑스,-100,-1460,145786,+150100,▲,+100
'003550,LG,-155,-1446,93136,+94500,▲,+4000
'006260,LS,-46,-1406,304558,+305000,▲,+14500
'383220,F&F,-223,-1380,61960,+62100,▲,+2000
'295310,에이치브이엠,-147,-1357,92073,92200,-,0
'036930,주성엔지니어링,-186,-1356,73057,+72800,▲,+11800
'204320,HL만도,-248,-1333,53864,+54000,▲,+1000
'001800,오리온홀딩스,-472,-1174,24879,+24850,▲,+100
'082270,젬백스,-300,-1139,37953,-38100,▼,-100
'115180,큐리언트,-232,-1041,44800,-44750,▼,-300
'376300,디어유,-286,-1025,35848,+35950,▲,+200
'086390,유니테스트,-518,-1017,19631,+19460,▲,+1140
'348210,넥스틴,-126,-1003,79432,-79800,▼,-200
'003570,SNT다이내믹스,-195,-925,47534,-47700,▼,-350
'103140,풍산,-93,-924,99011,-99300,▼,-600
'373220,LG에너지솔루션,-24,-877,371165,+373000,▲,+2000
'456160,지투지바이오,-91,-804,88701,+88700,▲,+1800
'326030,SK바이오팜,-80,-782,97903,+98300,▲,+800
'082920,비츠로셀,-268,-775,28946,-29100,▼,-1850
'000640,동아쏘시오홀딩스,-73,-749,102049,+102200,▲,+100
'007310,오뚜기,-20,-737,370185,+371000,▲,+2500
'078160,메디포스트,-321,-712,22189,-22200,▼,-1000
'018880,한온시스템,-1743,-711,4080,+4140,▲,+30
'005850,에스엘,-107,-684,63604,-63500,▼,-1000
'069620,대웅제약,-41,-656,159320,+160400,▲,+400
'039030,이오테크닉스,-15,-656,429672,+425000,▲,+12500
'000120,CJ대한통운,-56,-643,114802,+113300,▲,+500
'263750,펄어비스,-146,-627,42880,-41100,▼,-4900
'006280,녹십자,-41,-602,147633,+147100,▲,+1900
'050890,쏠리드,-451,-601,13319,+13120,▲,+220
'031210,서울보증보험,-98,-551,56001,-56300,▼,-200
'011210,현대위아,-64,-544,85500,+84700,▲,+500
'267260,HD현대일렉트릭,-6,-529,940229,-957000,▼,-1000
'010780,아이에스동서,-170,-522,30773,+31750,▲,+850
'302440,SK바이오사이언스,-117,-502,42891,+42650,▲,+700
'028300,HLB,-97,-499,51166,+51300,▲,+900
'272210,한화시스템,-36,-495,135753,-135800,▼,-5200
'00088K,한화3우B,-100,-491,49301,+48150,▲,+300
'085620,미래에셋생명,-286,-489,17108,-17030,▼,-850
'006650,대한유화,-35,-463,133577,+135200,▲,+1200
'039130,하나투어,-109,-461,42434,+42550,▲,+1000
'001740,SK네트웍스,-808,-438,5418,-5340,▼,-150
'004370,농심,-11,-430,378185,+377500,▲,+6500
'298380,에이비엘바이오,-22,-417,190919,+190200,▲,+200
'204270,제이앤티씨,-231,-413,17928,+18010,▲,+80
'009410,태영건설,-2000,-400,2001,+2010,▲,+165
'073240,금호타이어,-641,-395,6164,+6190,▲,+160
'185750,종근당,-45,-394,88009,+88100,▲,+1400
'02826K,삼성물산우B,-19,-362,190958,+191000,▲,+3000
'033500,동성화인텍,-132,-355,26854,+26650,▲,+400
'322310,오로스테크놀로지,-108,-355,32786,+33050,▲,+50
'028670,팬오션,-665,-352,5291,+5330,▲,+280
