종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'196170,알테오젠,-145,-6934,478426,-354000,[v],-27000
'119850,지엔씨에너지,-688,-2308,33532,-31900,[v],-1300
'195940,HK이노엔,-488,-2109,43184,-50300,[v],-2800
'087010,펩트론,-60,-1797,297421,-295500,[v],-7500
'122870,와이지엔터테인먼트,-170,-1533,90098,-53900,[v],-2300
'089030,테크윙,-527,-1521,28882,-48900,[v],-3100
'141080,리가켐바이오,-104,-1472,141671,-198700,[v],-14800
'058470,리노공업,-288,-1428,49575,-99700,[v],-5200
'376300,디어유,-226,-1226,54164,-30900,[v],-1550
'298380,에이비엘바이오,-146,-1030,70744,-171600,[v],-8500
'083650,비에이치아이,-247,-957,38693,+95100,[^],+300
'082920,비츠로셀,-311,-936,30144,+38050,[^],+3300
'257720,실리콘투,-168,-843,50255,-37800,[v],-1000
'148150,세경하이테크,-1029,-791,7682,-4310,[v],-140
'214150,클래시스,-135,-788,58385,-52900,[v],-1100
'039030,이오테크닉스,-34,-742,220522,-391000,[v],-26000
'145020,휴젤,-21,-738,350178,-247000,[v],-12500
'015750,성우하이텍,-958,-580,6049,-8630,[v],-330
'214450,파마리서치,-9,-535,567124,-304500,[v],-9000
'211050,인카금융서비스,-455,-527,11579,-11940,[v],-310
'036810,에프에스티,-188,-388,20629,-38100,[v],-850
'263750,펄어비스,-91,-357,39463,+69200,[^],+10400
'347850,디앤디파마텍,-25,-354,142753,-71300,[v],-6300
'475400,씨메스,-141,-322,22798,-29900,[v],-1500
'064760,티씨케이,-31,-302,96746,-225000,[v],-14000
'310210,보로노이,-19,-267,137420,+318500,[^],+5000
'028300,HLB,-49,-240,48940,+53500,[^],+200
'263600,덕우전자,-433,-232,5359,-5030,[v],-200
'204270,제이앤티씨,-130,-222,17055,-16500,[v],-470
'460870,에스엠씨지,-259,-209,8078,+4470,[^],+630
'060250,NHN KCP,-128,-207,16129,-16310,[v],-740
'140860,파크시스템스,-7,-193,277488,-243500,[v],-12000
'041510,에스엠,-13,-178,133946,-89200,[v],-1800
'403870,HPSP,-63,-162,25636,-42900,[v],-2250
'033500,동성화인텍,-68,-157,23227,-22050,[v],-1250
'215000,골프존,-21,-153,71342,+48800,[^],+200
'357780,솔브레인,-7,-153,215000,-385500,[v],-10500
'397030,에이프릴바이오,-65,-145,22424,-58600,[v],-5000
'005290,동진쎄미켐,-37,-119,31814,-44500,[v],-2000
'114840,아이패밀리에스씨,-66,-114,17174,-11040,[v],-490
'086900,메디톡스,-7,-100,153505,-101200,[v],-2400
'042000,카페24,-22,-99,45566,-26950,[v],-850
'098460,고영,-65,-98,15135,-26050,[v],-1250
'080160,모두투어,-72,-91,12678,-10860,[v],-350
'251970,펌텍코리아,-15,-91,59879,-46200,[v],-1400
'441270,파인엠텍,-69,-83,11967,-10030,[v],-430
'083310,엘오티베큠,-70,-80,11486,-12570,[v],-610
'183300,코미코,-11,-73,63935,-103400,[v],-4100
'200670,휴메딕스,-13,-71,55689,-34700,[v],-1100
'336570,원텍,-43,-57,13257,-6930,[v],-250
'237690,에스티팜,-5,-42,92808,-150100,[v],-9200
'036890,진성티이씨,-15,-17,11300,-15790,[v],-220
'078130,국일제지,-332,-16,472,319,-,0
'054950,제이브이엠,-5,-13,26228,-24200,[v],-650
'060720,KH바텍,-20,-13,6245,-12960,[v],-760
'123860,아나패스,-4,-8,18274,-17210,[v],-210
'045100,한양이엔지,-4,-7,19192,-31250,[v],-1650
'278280,천보,-1,-6,49450,-51800,[v],-200
'051370,인터플렉스,-5,-5,9070,-12560,[v],-740
'023160,태광,-2,-4,19769,-34500,[v],-150
'241710,코스메카코리아,-1,-4,67564,-81900,[v],-2700
'095340,ISC,-0,-3,61125,-247000,[v],-3000
'083450,GST,-1,-3,19282,-25900,[v],-1150
'101160,월덱스,-1,-2,24253,-29850,[v],-150
'277810,레인보우로보틱스,-0,-2,275857,-544000,[v],-23000
'086390,유니테스트,-1,-2,11825,-16400,[v],-790
'064260,다날,-2,-2,8693,-6180,[v],-250
'036620,감성코퍼레이션,-3,-2,5918,-5340,[v],-440
'450950,아스테라시스,-1,-2,11336,-11010,[v],-230
'158430,아톤,-2,-1,9179,-6180,[v],-220
'166090,하나머티리얼즈,-1,-1,25189,-60700,[v],-2700
'058610,에스피지,-0,-1,26717,-106900,[v],-4400
'031980,피에스케이홀딩스,-0,-1,34886,-98800,[v],-900
'006730,서부T&D,-1,-1,8976,-13100,[v],-630
'039440,에스티아이,-1,-1,19246,-29600,[v],-1150
'074600,원익QnC,-1,-1,18508,-30700,[v],-1150
'295310,에이치브이엠,-0,-1,31324,-87700,[v],-7500
'060370,LS마린솔루션,-0,-1,27889,+29150,[^],+750
'348210,넥스틴,-0,-1,48000,-69200,[v],-3800
'194480,데브시스터즈,-0,-1,42100,-29250,[v],-3350
'305090,마이크로디지탈,-1,-1,9958,-6150,[v],-300
'420770,기가비스,-0,-1,25885,-75200,[v],-2800
'083930,아바코,-1,-1,13060,-12890,[v],-470
'102710,이엔에프테크놀로지,-0,-1,38412,-48900,[v],-1700
'399720,가온칩스,-0,-0,44364,-61200,[v],-2800
'464080,에스오에스랩,-0,-0,10953,-14960,[v],-640
'319660,피에스케이,-0,-0,20136,-80300,[v],-1800
'067310,하나마이크론,-0,-0,10925,-29300,[v],-1800
'073110,엘엠에스,-1,-0,6841,5190,-,0
'143160,아이디스,-0,-0,16762,-17790,[v],-140
'092070,디엔에프,-0,-0,13952,-19120,[v],-1280
'089980,상아프론테크,-0,-0,17875,-23600,[v],-1700
'310200,애니플러스,-0,-0,5844,-2745,[v],-45
'217190,제너셈,-0,-0,7129,-5500,[v],-340
'322310,오로스테크놀로지,-0,-0,19500,-29400,[v],-1850
'064290,인텍플러스,-0,-0,8714,-17280,[v],-1790
'105740,디케이락,-0,-0,8222,-9370,[v],-280
'095500,미래나노텍,-0,-0,10800,+9100,[^],+60
