종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'000660,SK하이닉스,-484,-9665,199769,-878000,[v],-44000
'272210,한화시스템,-1758,-8166,46462,-119500,[v],-4600
'000150,두산,-196,-7623,389734,-1116000,[v],-87000
'105560,KB금융,-775,-7358,94905,-146700,[v],-5500
'267260,HD현대일렉트릭,-197,-6900,350628,-878000,[v],-37000
'005380,현대차,-312,-5958,190830,-470500,[v],-24500
'010120,LS ELECTRIC,-226,-5249,232034,-774000,[v],-27000
'042660,한화오션,-575,-4587,79733,-119100,[v],-4100
'003670,포스코퓨처엠,-380,-4340,114130,+217000,[^],+8000
'034020,두산에너빌리티,-1036,-3582,34565,-94300,[v],-3800
'450080,에코프로머티,-757,-3450,45568,-72100,[v],-1300
'012330,현대모비스,-137,-3407,249029,-397500,[v],-11000
'097950,CJ제일제당,-143,-3250,226734,+217500,[^],+3000
'010140,삼성중공업,-2063,-2966,14380,-24650,[v],-1350
'035720,카카오,-707,-2589,36611,-47200,[v],-1600
'001040,CJ,-157,-1881,120006,-199000,[v],-7500
'000270,기아,-203,-1851,91080,-151300,[v],-4500
'204320,HL만도,-523,-1832,35059,-49900,[v],-1300
'066970,엘앤에프,-272,-1634,60074,+156600,[^],+1300
'009150,삼성전기,-136,-1630,120281,-429000,[v],-5000
'003230,삼양식품,-14,-1611,1157537,-1173000,[v],-10000
'000810,삼성화재,-43,-1599,370520,443000,-,0
'454910,두산로보틱스,-317,-1553,49000,-81100,[v],-3800
'096770,SK이노베이션,-172,-1521,88220,+112600,[^],+1200
'241560,두산밥캣,-306,-1424,46524,-58200,[v],-1400
'047810,한국항공우주,-156,-1379,88270,-174600,[v],-11900
'298040,효성중공업,-23,-1341,575356,-2502000,[v],-174000
'443060,HD현대마린솔루션,-76,-1249,164561,-178100,[v],-5800
'086790,하나금융지주,-180,-1196,66360,-107400,[v],-3000
'462870,시프트업,-213,-1174,55234,-31750,[v],-550
'005940,NH투자증권,-723,-1127,15585,-31150,[v],-3100
'489790,한화비전,-179,-1067,59428,-76300,[v],-4200
'373220,LG에너지솔루션,-35,-1030,290644,+410000,[^],+15500
'073240,금호타이어,-2220,-986,4442,-6030,[v],-220
'066570,LG전자,-134,-941,70391,-108400,[v],-3600
'322000,HD현대에너지솔루션,-163,-829,50848,+135100,[^],+11900
'011210,현대위아,-196,-804,40996,-79800,[v],-1900
'207940,삼성바이오로직스,-8,-757,1001197,-1533000,[v],-73000
'000100,유한양행,-71,-753,106106,-98200,[v],-2200
'011170,롯데케미칼,-127,-731,57370,-81800,[v],-900
'055550,신한지주,-122,-634,52056,-90700,[v],-2800
'017960,한국카본,-306,-626,20484,-39300,[v],-1200
'011790,SKC,-58,-560,95888,-96100,[v],-2600
'006650,대한유화,-62,-509,82157,-127500,[v],-5900
'007310,오뚜기,-12,-488,393596,-356500,[v],-3000
'000370,한화손해보험,-1088,-481,4421,-6690,[v],-80
'028260,삼성물산,-39,-477,121661,-261000,[v],-8000
'353200,대덕전자,-307,-447,14537,-82700,[v],-2700
'009450,경동나비엔,-58,-441,76022,-60300,[v],-1800
'082740,한화엔진,-155,-436,28156,-44600,[v],-2050
'161390,한국타이어앤테크놀로지,-106,-424,40146,-54900,[v],-3100
'361610,SK아이이테크놀로지,-190,-423,22280,+22150,[^],+500
'035420,NAVER,-22,-411,185362,-207000,[v],-5500
'195870,해성디에스,-208,-396,19028,-51000,[v],-3200
'002710,TCC스틸,-211,-388,18414,+13600,[^],+40
'009420,한올바이오파마,-146,-373,25640,-58300,[v],-5000
'000120,CJ대한통운,-45,-353,79096,-104900,[v],-3300
'000815,삼성화재우,-12,-342,276669,-367000,[v],-12500
'001680,대상,-157,-339,21608,-20100,[v],-900
'192080,더블유게임즈,-67,-337,49943,-49850,[v],-650
