종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'000270,기아,+2109,+34028,161351,-161600,▼,-6900
'047050,포스코인터내셔널,+1893,+14869,78541,-75600,▼,-1400
'011070,LG이노텍,+307,+9073,295448,-283500,▼,-12500
'000250,삼천당제약,+91,+8609,944054,+923000,▲,+16000
'128940,한미약품,+145,+7357,508890,-495500,▼,-64500
'100840,SNT에너지,+1182,+6498,54952,-52600,▼,-700
'247540,에코프로비엠,+335,+6037,179993,-175800,▼,-16100
'161890,한국콜마,+698,+5494,78720,-76000,▼,-700
'003230,삼양식품,+44,+5127,1158109,-1127000,▼,-24000
'100090,SK오션플랜트,+1809,+5025,27774,+26150,▲,+600
'006360,GS건설,+1382,+4359,31531,-30050,▼,-1750
'078600,대주전자재료,+347,+4357,125652,-121600,▼,-4600
'377300,카카오페이,+662,+4010,60559,-58000,▼,-6300
'402340,SK스퀘어,+70,+4001,573868,-550000,▼,-58000
'0120G0,삼양바이오팜,+384,+3976,103601,-99900,▼,-1800
'006650,대한유화,+288,+3931,136729,-132000,▼,-2600
'171090,선익시스템,+366,+3549,96991,-95100,▼,-8100
'096770,SK이노베이션,+323,+3480,107663,-104800,▼,-9100
'141080,리가켐바이오,+169,+3439,203181,-188500,▼,-24500
'373220,LG에너지솔루션,+96,+3390,353521,-355500,▼,-20000
'103140,풍산,+336,+3112,92687,-90500,▼,-8300
'298040,효성중공업,+11,+2855,2609720,-2570000,▼,-165000
'032640,LG유플러스,+1850,+2816,15220,-15170,▼,-650
'090460,비에이치,+1193,+2775,23269,+23450,▲,+1300
'241710,코스메카코리아,+353,+2769,78419,+77400,▲,+600
'023160,태광,+754,+2744,36409,-34000,▼,-1700
'298020,효성티앤씨,+71,+2724,383784,+372000,▲,+5000
'031980,피에스케이홀딩스,+236,+2481,105252,-102100,▼,-9300
'192820,코스맥스,+119,+2417,202408,-192400,▼,-3700
'051600,한전KPS,+372,+2406,64625,-62800,▼,-4700
'108490,로보티즈,+97,+2352,241267,-233500,▼,-27500
'010060,OCI홀딩스,+114,+2230,195573,-187500,▼,-15500
'024110,기업은행,+961,+2223,23131,-23050,▼,-1050
'001040,CJ,+111,+2203,199156,-191000,▼,-16000
'001820,삼화콘덴서,+402,+2187,54460,-51800,▼,-6600
'009830,한화솔루션,+477,+2145,44955,-45000,▼,-6700
'000150,두산,+19,+2079,1087454,-1062000,▼,-124000
'053690,한미글로벌,+686,+1944,28321,-27050,▼,-150
'064760,티씨케이,+81,+1937,240287,-232500,▼,-20500
'178320,서진시스템,+417,+1869,44855,-44250,▼,-3750
'295310,에이치브이엠,+207,+1852,89537,-84800,▼,-7500
'014620,성광벤드,+488,+1832,37551,-35400,▼,-1800
'456040,OCI,+189,+1825,96719,-93400,▼,-4400
'036930,주성엔지니어링,+240,+1784,74260,-71500,▼,-1300
'087010,펩트론,+50,+1726,345181,-338500,▼,-7500
'272210,한화시스템,+138,+1725,124574,-120000,▼,-16000
'226950,올릭스,+94,+1663,176936,-173200,▼,-13700
'0126Z0,삼성에피스홀딩스,+31,+1627,518276,-505000,▼,-47000
'336260,두산퓨얼셀,+387,+1574,40698,-38950,▼,-2950
'388210,씨엠티엑스,+103,+1529,148518,-140600,▼,-10600
'066970,엘앤에프,+137,+1490,108403,-110500,▼,-1600
'353200,대덕전자,+182,+1483,81411,-79200,▼,-3600
'425420,티에프이,+234,+1435,61433,-59200,▼,-8300
'001120,LX인터내셔널,+300,+1426,47548,-46000,▼,-1150
'499790,GS피앤엘,+303,+1424,46918,-45550,▼,-2650
'052400,코나아이,+257,+1396,54213,-53200,▼,-4400
'079550,LIG넥스원,+21,+1391,655922,-623000,▼,-38000
'023530,롯데쇼핑,+125,+1285,103090,-101400,▼,-12100
'493280,아이엠바이오로직스,+150,+1264,84405,-76100,▼,-27900
'003570,SNT다이내믹스,+253,+1220,48199,+47900,▲,+450
'105560,KB금융,+86,+1203,139934,-144600,▼,-10600
'095340,ISC,+48,+1182,246308,-230500,▼,-16500
'439260,대한조선,+129,+1164,89890,-87800,▼,-3400
'097230,HJ중공업,+418,+1123,26847,-26400,▼,-2050
'007070,GS리테일,+529,+1077,20380,-19980,▼,-470
'267270,HD건설기계,+83,+1073,129246,-126400,▼,-6600
'018670,SK가스,+42,+1073,257627,-250500,▼,-9500
'322000,HD현대에너지솔루션,+77,+1059,137649,+135300,▲,+4300
'039200,오스코텍,+198,+1040,52454,-50800,▼,-5200
'213420,덕산네오룩스,+201,+1000,49666,+48500,▲,+550
'445680,큐리옥스바이오시스템즈,+87,+992,113872,-110000,▼,-11700
'007810,코리아써키트,+161,+987,61287,-59900,▼,-4700
'140860,파크시스템스,+38,+982,259867,-256000,▼,-17000
'000990,DB하이텍,+114,+957,83739,-82300,▼,-5800
'000210,DL,+139,+908,65550,-61800,▼,-3100
'097950,CJ제일제당,+43,+898,209286,-205500,▼,-6500
'005090,SGC에너지,+152,+895,58936,-58300,▼,-4200
'483650,달바글로벌,+58,+877,150139,-146800,▼,-12100
'230240,에치에프알,+318,+848,26657,-26050,▼,-950
'460930,현대힘스,+418,+839,20064,+21200,▲,+3180
'009970,영원무역홀딩스,+39,+836,216450,-211500,▼,-15500
'035510,신세계 I&C,+379,+807,21277,-21000,▼,-200
'383220,F&F,+133,+803,60629,-60200,▼,-2500
'003240,태광산업,+6,+769,1199103,-1160000,▼,-129000
'297090,씨에스베어링,+946,+765,8090,-8030,▼,-590
'003000,부광약품,+1226,+753,6139,+6040,▲,+50
'009420,한올바이오파마,+142,+748,52668,-50800,▼,-5700
'031210,서울보증보험,+135,+722,53520,-53300,▼,-2400
'025540,한국단자,+96,+722,75031,-72800,▼,-3700
'214320,이노션,+366,+711,19408,-19150,▼,-420
'034230,파라다이스,+378,+633,16764,-16640,▼,-1550
'490470,세미파이브,+200,+614,30679,-30100,▼,-800
'281740,레이크머티리얼즈,+325,+613,18845,-18550,▼,-1430
'078930,GS,+90,+611,67787,-64800,▼,-4200
'139480,이마트,+63,+606,96659,-94600,▼,-6100
'047040,대우건설,+533,+596,11178,-17060,▼,-2050
'034830,한국토지신탁,+3500,+572,1634,-1626,▼,-114
'064400,LG씨엔에스,+90,+570,63590,-61800,▼,-5800
'161390,한국타이어앤테크놀로지,+103,+568,55021,-54100,▼,-3300
'083650,비에이치아이,+53,+553,104979,-100700,▼,-8800
