종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'031980,피에스케이홀딩스,+581,+2767,47589,+111000,▲,+4200
'204270,제이앤티씨,+805,+1784,22168,+18010,▲,+80
'141080,리가켐바이오,+108,+1735,160341,+213000,▲,+13100
'108490,로보티즈,+100,+1502,150226,-260500,▼,-6500
'456160,지투지바이오,+63,+1479,235415,+88700,▲,+1800
'039200,오스코텍,+319,+1465,45871,-56400,▼,-1100
'089030,테크윙,+191,+1131,59269,-58000,▼,-500
'092870,엑시콘,+728,+1113,15289,-31250,▼,-500
'347850,디앤디파마텍,+48,+1103,231824,78900,-,0
'005290,동진쎄미켐,+228,+942,41224,+49850,▲,+1300
'064760,티씨케이,+56,+908,161040,+253500,▲,+11000
'095340,ISC,+111,+897,80634,+245000,▲,+500
'183300,코미코,+87,+867,99910,+119900,▲,+1000
'170920,엘티씨,+434,+864,19891,-34000,▼,-100
'215000,골프존,+136,+842,61755,+49100,▲,+900
'476040,오가노이드사이언스,+220,+812,36918,+27200,▲,+950
'068760,셀트리온제약,+137,+790,57547,+60800,▲,+600
'257720,실리콘투,+166,+763,46030,+38600,▲,+2100
'247540,에코프로비엠,+60,+708,117025,+190100,▲,+400
'403870,HPSP,+205,+706,34394,-51200,▼,-500
'102710,이엔에프테크놀로지,+127,+689,54270,-55400,▼,-1200
'476060,온코닉테라퓨틱스,+143,+666,46420,-23900,▼,-1200
'030520,한글과컴퓨터,+223,+605,27190,+20700,▲,+200
'420770,기가비스,+158,+605,38389,+78700,▲,+300
'036890,진성티이씨,+428,+550,12838,+16910,▲,+790
'140860,파크시스템스,+19,+530,279038,-272500,▼,-5000
'126340,비나텍,+83,+502,60812,+143700,▲,+4300
'014940,오리엔탈정공,+420,+438,10434,+7160,▲,+70
'237690,에스티팜,+46,+428,93290,+150100,▲,+600
'254490,미래반도체,+208,+388,18660,+18870,▲,+120
'310210,보로노이,+22,+369,166068,+324500,▲,+4500
'089970,브이엠,+192,+334,17363,-47800,▼,-1000
'039440,에스티아이,+135,+313,23225,+33700,▲,+550
'036620,감성코퍼레이션,+458,+301,6577,-5430,▼,-50
'083650,비에이치아이,+60,+297,49133,+109800,▲,+5500
'041190,우리기술투자,+268,+294,10972,-6770,▼,-30
'078160,메디포스트,+200,+290,14523,-22200,▼,-1000
'290650,엘앤씨바이오,+45,+253,56588,+75700,▲,+300
'098460,고영,+160,+250,15610,-29050,▼,-650
'484590,삼양컴텍,+124,+243,19586,-12490,▼,-230
'013030,하이록코리아,+69,+243,35339,+37700,▲,+2400
'160190,하이젠알앤엠,+48,+221,45926,-43600,▼,-10100
'232140,와이씨,+147,+203,13776,+21150,▲,+450
'178320,서진시스템,+90,+200,22256,+48000,▲,+2600
'099190,아이센스,+99,+198,19928,+20550,▲,+250
'214370,케어젠,+29,+196,67943,+111700,▲,+1700
'189300,인텔리안테크,+38,+191,49496,-121800,▼,-1600
'064290,인텍플러스,+103,+186,18126,-17180,▼,-770
'253590,네오셈,+180,+181,10042,+19100,▲,+350
'077360,덕산하이메탈,+291,+180,6175,-11860,▼,-470
'305090,마이크로디지탈,+168,+179,10640,+6800,▲,+50
'281740,레이크머티리얼즈,+130,+179,13762,+19980,▲,+160
'226950,올릭스,+16,+166,102916,+185700,▲,+3900
'058470,리노공업,+28,+147,52724,-112000,▼,-5100
'058970,엠로,+35,+146,42040,-30550,▼,-200
'036930,주성엔지니어링,+43,+139,32611,+72800,▲,+11800
'251970,펌텍코리아,+22,+137,62645,+47350,▲,+1750
'060250,NHN KCP,+94,+137,14603,+20300,▲,+880
'086450,동국제약,+69,+135,19490,+18800,▲,+900
'098070,한텍,+30,+134,44645,+47550,▲,+2950
'039030,이오테크닉스,+5,+122,247702,+425000,▲,+12500
'053030,바이넥스,+66,+118,17868,+12640,▲,+240
'131970,두산테스나,+27,+113,41316,+99900,▲,+8000
'425420,티에프이,+26,+112,42921,+65900,▲,+5200
'482630,삼양엔씨켐,+52,+110,21065,+18440,▲,+490
'425040,티이엠씨,+119,+109,9192,-10880,▼,-1010
'241710,코스메카코리아,+16,+108,69139,+77500,▲,+3700
'200710,에이디테크놀로지,+40,+107,26539,+47250,▲,+650
'100790,미래에셋벤처투자,+134,+106,7906,-22300,▼,-550
'108860,셀바스AI,+71,+101,14222,+11040,▲,+340
'078350,한양디지텍,+64,+99,15365,+27400,▲,+400
'025980,아난티,+98,+94,9570,+7450,▲,+80
'036540,SFA반도체,+214,+91,4278,+7100,▲,+30
'218410,RFHIC,+26,+84,31892,+81600,▲,+2900
'358570,지아이이노베이션,+38,+77,20284,-14590,▼,-30
'127120,제이에스링크,+30,+74,25177,+39700,▲,+450
'095610,테스,+16,+72,44358,-65500,▼,-600
'252990,샘씨엔에스,+85,+62,7342,+10470,▲,+30
'074600,원익QnC,+25,+60,23814,+34300,▲,+550
'059090,미코,+27,+43,16080,+15080,▲,+510
'031330,에스에이엠티,+126,+42,3356,-5310,▼,-10
'065680,우주일렉트로,+10,+42,41950,-29250,▼,-750
'194480,데브시스터즈,+6,+36,57535,-40250,▼,-250
'049470,비트플래닛,+100,+32,3245,+765,▲,+85
'148150,세경하이테크,+50,+31,6214,+4620,▲,+85
'331740,아우토크립트,+20,+29,14600,-17000,▼,-420
'025880,케이씨피드,+5,+1,2790,+3015,▲,+60
