종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'035420,NAVER,+2032,+50436,248178,+221000,▲,+500
'373220,LG에너지솔루션,+450,+16129,358126,+373000,▲,+2000
'005935,삼성전자우,+2190,+14725,67239,-139200,▼,-5000
'329180,HD현대중공업,+181,+9443,523093,-561000,▼,-6000
'278470,에이피알,+345,+7790,225962,-361500,▼,-7500
'003670,포스코퓨처엠,+425,+6156,144759,+198900,▲,+900
'006400,삼성SDI,+247,+5172,209015,-399500,▼,-3000
'009540,HD한국조선해양,+126,+5168,410150,-404500,▼,-9000
'402340,SK스퀘어,+230,+4855,211459,-604000,▼,-7000
'088980,맥쿼리인프라,+3567,+4100,11493,+11510,▲,+70
'047050,포스코인터내셔널,+689,+3502,50821,+77700,▲,+5900
'003570,SNT다이내믹스,+417,+3086,74089,-47700,▼,-350
'034220,LG디스플레이,+2147,+3065,14275,+12030,▲,+310
'010950,S-Oil,+499,+3039,60857,+111800,▲,+600
'010140,삼성중공업,+1229,+2722,22149,+28650,▲,+150
'103140,풍산,+181,+2348,129374,-99300,▼,-600
'066970,엘앤에프,+303,+2344,77436,+110700,▲,+2400
'443060,HD현대마린솔루션,+97,+2101,216715,+181500,▲,+3300
'047810,한국항공우주,+180,+1967,109499,-186200,▼,-4200
'077970,STX엔진,+527,+1958,37138,+34400,▲,+300
'005385,현대차우,+107,+1773,165478,-265000,▼,-4000
'000990,DB하이텍,+308,+1760,57227,-87400,▼,-500
'272210,한화시스템,+215,+1288,60038,-135800,▼,-5200
'051910,LG화학,+42,+1206,290253,+308000,▲,+4500
'017800,현대엘리베이터,+134,+1128,84182,+88400,▲,+1000
'353200,대덕전자,+388,+1122,28913,+82800,▲,+5500
'192820,코스맥스,+46,+1047,228312,+197800,▲,+18600
'001450,현대해상,+320,+923,28843,+31300,▲,+1000
'010130,고려아연,+9,+874,945068,-1605000,▼,-7000
'051915,LG화학우,+60,+862,143737,+156800,▲,+3500
'105840,우진,+536,+835,15590,+31200,▲,+5050
'007660,이수페타시스,+90,+729,80857,-126900,▼,-2600
'000150,두산,+13,+726,574384,+1169000,▲,+20000
'017960,한국카본,+196,+648,33135,+49300,▲,+950
'377300,카카오페이,+117,+645,55059,+63700,▲,+3500
'454910,두산로보틱스,+92,+634,68841,+89800,▲,+600
'090460,비에이치,+335,+627,18697,+21950,▲,+2070
'009470,삼화전기,+132,+540,40863,-39150,▼,-150
'082740,한화엔진,+118,+529,44753,+49000,▲,+450
'012630,HDC,+248,+451,18218,+28350,▲,+3300
'180640,한진칼,+42,+427,101422,128000,-,0
'053690,한미글로벌,+170,+421,24761,+27200,▲,+4050
'014680,한솔케미칼,+20,+420,211560,+290000,▲,+6500
'066570,LG전자,+53,+407,77437,+117300,▲,+1100
'280360,롯데웰푸드,+34,+393,114214,+112800,▲,+1600
'026960,동서,+135,+372,27611,+26300,▲,+650
'007810,코리아써키트,+205,+368,17982,+64500,▲,+2400
'281820,케이씨텍,+85,+333,39015,-49600,▼,-1200
'023530,롯데쇼핑,+45,+324,71198,+113100,▲,+5600
'042660,한화오션,+26,+314,120198,-129500,▼,-500
'042700,한미반도체,+32,+311,98238,+309500,▲,+2500
'450080,에코프로머티,+60,+303,50632,+62500,▲,+1800
'018260,삼성에스디에스,+17,+291,169306,+162000,▲,+500
'006650,대한유화,+23,+277,119230,+135200,▲,+1200
'031210,서울보증보험,+48,+258,53751,-56300,▼,-200
'073240,금호타이어,+510,+246,4819,+6190,▲,+160
'029780,삼성카드,+47,+245,51606,+60200,▲,+400
'462870,시프트업,+58,+237,40755,+30350,▲,+200
'100090,SK오션플랜트,+83,+210,25277,+25550,-,+5870
'017940,E1,+26,+201,76794,+109200,▲,+9500
'194370,제이에스코퍼레이션,+182,+191,10458,+12140,▲,+280
'105630,한세실업,+173,+190,10971,+12340,▲,+200
'028670,팬오션,+471,+187,3968,+5330,▲,+280
'000320,노루홀딩스,+69,+187,26957,+24250,▲,+1000
'090430,아모레퍼시픽,+14,+172,125054,+140000,▲,+5300
'006120,SK디스커버리,+31,+165,53502,+62300,▲,+2000
'009155,삼성전기우,+18,+163,89218,-183800,▼,-6600
'082640,동양생명,+196,+160,8145,+9100,▲,+290
'001800,오리온홀딩스,+75,+157,20756,+24850,▲,+100
'114090,GKL,+97,+155,15951,+12280,▲,+270
'071320,지역난방공사,+17,+149,90028,+92600,▲,+2900
'000670,영풍,+33,+141,42522,+60300,▲,+4800
'451800,한화리츠,+327,+131,4012,+5190,▲,+50
'192400,쿠쿠홀딩스,+42,+130,30826,+28950,▲,+450
'381970,케이카,+81,+130,15985,14330,-,0
'003160,디아이,+80,+129,15982,-38300,▼,-150
'293940,신한알파리츠,+228,+127,5575,-5830,▼,-80
'005180,빙그레,+17,+127,76729,+75400,▲,+600
'484870,엠앤씨솔루션,+5,+110,219546,-113600,▼,-3500
'005490,POSCO홀딩스,+4,+108,292068,+343000,▲,+5000
'0098Z0,FOCUS 200,+25,+105,41118,+74570,▲,+500
'029460,케이씨,+34,+90,26539,+33200,▲,+650
'395400,SK리츠,+173,+87,5036,+6310,▲,+200
