종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'000660,SK하이닉스,-7552,-764258,1012035,-1006000,▼,-7000
'005930,삼성전자,-15514,-350312,225800,-199800,▼,-700
'005935,삼성전자우,-24649,-348394,141341,-139200,▼,-5000
'005380,현대차,-3738,-194786,521118,522000,-,0
'000270,기아,-7200,-122237,169778,-170200,▼,-300
'032820,우리기술,-37906,-108871,28721,-28400,▼,-550
'009150,삼성전기,-1945,-91300,469407,-462000,▼,-17500
'402340,SK스퀘어,-1097,-66284,604379,-604000,▼,-7000
'058470,리노공업,-4830,-54333,112490,-112000,▼,-5100
'028050,삼성E&A,-13779,-48850,35451,+39800,▲,+7200
'000720,현대건설,-2856,-47960,167947,-167200,▼,-2300
'028260,삼성물산,-1567,-46951,299651,+299000,▲,+8000
'079550,LIG넥스원,-643,-42333,658176,-664000,▼,-38000
'277810,레인보우로보틱스,-612,-41662,680660,-668000,▼,-50000
'064350,현대로템,-2123,-38549,181617,-180700,▼,-5600
'012330,현대모비스,-936,-38013,405934,-403500,▼,-9500
'006400,삼성SDI,-932,-37380,401140,-399500,▼,-3000
'105560,KB금융,-2231,-34807,156007,-153800,▼,-1900
'403870,HPSP,-5827,-29400,50457,-51200,▼,-500
'012510,더존비즈온,-2382,-28392,119204,+119300,▲,+200
'352820,하이브,-692,-24130,348684,-347000,▼,-7500
'267260,HD현대일렉트릭,-224,-21549,961811,-957000,▼,-1000
'007660,이수페타시스,-1574,-20634,131116,-126900,▼,-2600
'476830,알지노믹스,-862,-18197,211114,+215000,▲,+1000
'010140,삼성중공업,-6232,-17854,28649,+28650,▲,+150
'475150,SK이터닉스,-2367,-16008,67619,+58600,▲,+4900
'000810,삼성화재,-323,-15444,477896,-476000,▼,-2500
'009540,HD한국조선해양,-326,-13266,406811,-404500,▼,-9000
'010120,LS ELECTRIC,-144,-12822,889265,+889000,▲,+16000
'489790,한화비전,-1427,-12620,88468,-86700,▼,-500
'050890,쏠리드,-7884,-11414,14477,+13120,▲,+220
'000990,DB하이텍,-1280,-11260,87995,-87400,▼,-500
'015760,한국전력,-2278,-11150,48937,+49050,▲,+750
'047810,한국항공우주,-592,-11048,186721,-186200,▼,-4200
'267270,HD건설기계,-829,-11044,133235,+133600,▲,+1900
'108490,로보티즈,-416,-10930,262466,-260500,▼,-6500
'010170,대한광통신,-13035,-9743,7474,+7440,▲,+50
'095340,ISC,-369,-9058,245155,+245000,▲,+500
'010130,고려아연,-56,-9009,1599923,-1605000,▼,-7000
'003230,삼양식품,-79,-8946,1138845,+1147000,▲,+47000
'051910,LG화학,-287,-8858,308515,+308000,▲,+4500
'086790,하나금융지주,-775,-8794,113437,-112400,▼,-800
'347850,디앤디파마텍,-1103,-8717,79065,78900,-,0
'388210,씨엠티엑스,-585,-8620,147457,+150100,▲,+100
'140410,메지온,-895,-8356,93353,+91600,▲,+100
'005387,현대차2우B,-299,-7954,266079,-264500,▼,-6000
'042660,한화오션,-595,-7626,128096,-129500,▼,-500
'012450,한화에어로스페이스,-55,-7395,1333710,-1315000,▼,-60000
'090710,휴림로봇,-5418,-7356,13578,-14020,▼,-310
'103590,일진전기,-836,-6861,82060,+82300,▲,+200
'196170,알테오젠,-179,-6348,354387,-354000,▼,-6000
'048410,현대바이오,-3970,-5953,14995,-14700,▼,-540
'099320,쎄트렉아이,-332,-5909,177736,-177800,▼,-8400
'024110,기업은행,-2386,-5755,24120,+24100,▲,+400
'141080,리가켐바이오,-261,-5685,217626,+213000,▲,+13100
'039860,나노엔텍,-8511,-5605,6585,+6190,▲,+230
'098460,고영,-1786,-5128,28711,-29050,▼,-650
'124500,아이티센글로벌,-748,-4600,61522,-61600,▼,-3600
'307950,현대오토에버,-107,-4593,429023,+429500,▲,+3500
'298020,효성티앤씨,-123,-4586,374121,-369500,▼,-19000
'425420,티에프이,-739,-4556,61688,+65900,▲,+5200
'068270,셀트리온,-222,-4443,200160,-201000,▼,-1000
'373220,LG에너지솔루션,-116,-4366,376580,+373000,▲,+2000
'005385,현대차우,-162,-4294,265345,-265000,▼,-4000
'003670,포스코퓨처엠,-208,-4134,198698,+198900,▲,+900
'458870,씨어스테크놀로지,-223,-4081,183303,-184800,▼,-4200
'064760,티씨케이,-162,-4018,248520,+253500,▲,+11000
'005830,DB손해보험,-210,-3935,187525,+185300,▲,+800
'036810,에프에스티,-877,-3802,43356,-42400,▼,-600
'009155,삼성전기우,-203,-3756,185107,-183800,▼,-6600
'000880,한화,-308,-3719,120783,-121000,▼,-600
'171090,선익시스템,-354,-3672,103743,-102400,▼,-1100
'425040,티이엠씨,-3248,-3660,11270,-10880,▼,-1010
'034230,파라다이스,-1970,-3635,18455,-18270,▼,-620
'003160,디아이,-919,-3517,38256,-38300,▼,-150
'103140,풍산,-350,-3476,99186,-99300,▼,-600
'328130,루닛,-918,-3421,37254,-36800,▼,-2100
'007340,DN오토모티브,-872,-3415,39155,+39650,▲,+50
'064290,인텍플러스,-1949,-3405,17471,-17180,▼,-770
'490470,세미파이브,-1140,-3399,29806,-30900,▼,-350
'272210,한화시스템,-255,-3364,132075,-135800,▼,-5200
'100090,SK오션플랜트,-1472,-3322,22576,+25550,-,+5870
'316140,우리금융지주,-977,-3306,33844,+33800,▲,+200
'008830,대동기어,-1498,-3304,22062,+21750,▲,+1450
'021240,코웨이,-442,-3292,74453,+74400,▲,+1400
'001040,CJ,-155,-3198,206167,+207000,▲,+10000
'027360,아주IB투자,-4317,-3181,7370,-7290,▼,-370
'071050,한국금융지주,-136,-3149,231540,+233500,▲,+4500
'393890,더블유씨피,-2241,-3090,13790,-13230,▼,-1870
'112610,씨에스윈드,-386,-2806,72665,+65900,▲,+1000
'476060,온코닉테라퓨틱스,-1123,-2763,24596,-23900,▼,-1200
'336260,두산퓨얼셀,-529,-2716,51342,-42900,▼,-3000
'046970,우리로,-10367,-2693,2598,+2710,-,+625
'102710,이엔에프테크놀로지,-478,-2659,55608,-55400,▼,-1200
'114810,한솔아이원스,-1728,-2627,15203,-15260,▼,-340
'006340,대원전선,-4018,-2583,6430,-6410,▼,-110
'128940,한미약품,-45,-2574,568977,+555000,▲,+36000
'039030,이오테크닉스,-60,-2549,424623,+425000,▲,+12500
'080580,오킨스전자,-1214,-2529,20840,-20350,▼,-500
'046890,서울반도체,-2350,-2519,10722,-10540,▼,-610
