종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'257720,실리콘투,-2954,-16995,57532,-37800,[v],-1000
'014620,성광벤드,-4824,-16537,34282,+34450,[^],+1300
'161580,필옵틱스,-4319,-16369,37902,-38200,[v],-1300
'323280,태성,-4571,-12477,27300,-54800,[v],-3200
'065350,신성델타테크,-1709,-12201,71382,-55600,[v],-2400
'347850,디앤디파마텍,-946,-9111,96340,-71300,[v],-6300
'050890,쏠리드,-11920,-8795,7378,-13440,[v],-630
'328130,루닛,-1854,-8669,46752,-34100,[v],-500
'214150,클래시스,-1382,-8382,60661,-52900,[v],-1100
'041510,에스엠,-557,-7672,137689,-89200,[v],-1800
'018290,브이티,-1566,-6745,43067,-15210,[v],-520
'083650,비에이치아이,-1443,-6250,43324,+95100,[^],+300
'358570,지아이이노베이션,-2835,-6214,21920,-13890,[v],-790
'098070,한텍,-1517,-6101,40226,+48500,[^],+2600
'304100,솔트룩스,-1070,-5600,52336,-22050,[v],-950
'160190,하이젠알앤엠,-1516,-5598,36915,-35800,[v],-2000
'060370,LS마린솔루션,-1525,-5037,33026,+29150,[^],+750
'079370,제우스,-3329,-4653,13980,-15000,[v],-900
'033100,제룡전기,-1184,-4290,36228,-45600,[v],-1450
'058970,엠로,-764,-4060,53132,-27800,[v],-800
'389470,인벤티지랩,-904,-3869,42811,-71600,[v],-5200
'101730,위메이드맥스,-3841,-3360,8748,-4965,[v],-85
'089030,테크윙,-871,-3082,35402,-48900,[v],-3100
'087010,펩트론,-150,-2875,191613,-295500,[v],-7500
'058470,리노공업,-555,-2758,49659,-99700,[v],-5200
'023160,태광,-1183,-2718,22968,-34500,[v],-150
'460930,현대힘스,-1307,-2651,20275,-17860,[v],-1000
'064760,티씨케이,-264,-2620,99327,-225000,[v],-14000
'298380,에이비엘바이오,-329,-2604,79276,-171600,[v],-8500
'031980,피에스케이홀딩스,-702,-2558,36456,-98800,[v],-900
'290650,엘앤씨바이오,-818,-2497,30533,-68700,[v],-4700
'024060,흥구석유,-1991,-2449,12304,+20550,[^],+620
'352480,씨앤씨인터내셔널,-689,-2417,35101,-26300,[v],-600
'108490,로보티즈,-388,-2341,60351,-242500,[v],-12500
'064260,다날,-3575,-2137,5977,-6180,[v],-250
'034950,한국기업평가,-195,-2061,105789,-99700,[v],-600
'036620,감성코퍼레이션,-3595,-2041,5678,-5340,[v],-440
'476040,오가노이드사이언스,-550,-1956,35576,-23800,[v],-1700
'100790,미래에셋벤처투자,-2460,-1764,7173,-29900,[v],-2650
'298830,슈어소프트테크,-2999,-1750,5836,-6820,[v],-310
'051360,토비스,-1054,-1617,15340,-15360,[v],-440
'240550,동방메디컬,-1173,-1557,13278,-6600,[v],-250
'489460,바이오비쥬,-853,-1520,17822,-8230,[v],-360
'228760,지노믹트리,-1053,-1513,14368,-18390,[v],-700
'094940,푸른기술,-1416,-1424,10051,-9270,[v],-260
'251970,펌텍코리아,-235,-1343,57206,-46200,[v],-1400
