종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'042660,한화오션,-36754,-414911,112888,-119100,[v],-4100
'005930,삼성전자,-18360,-127810,69614,-177000,[v],-2700
'034020,두산에너빌리티,-5580,-34664,62126,-94300,[v],-3800
'079550,LIG넥스원,-582,-28061,481953,-669000,[v],-66000
'011200,HMM,-10991,-25953,23613,-19570,[v],-90
'035720,카카오,-3470,-20587,59327,-47150,[v],-1650
'006400,삼성SDI,-845,-16884,199924,+416000,[^],+10500
'007660,이수페타시스,-2402,-15534,64669,-105200,[v],-5300
'005490,POSCO홀딩스,-548,-15111,275871,-342500,[v],-500
'033780,KT&G,-1028,-13989,136031,-157200,[v],-800
'402340,SK스퀘어,-884,-13597,153829,-513000,[v],-31000
'377300,카카오페이,-2233,-11477,51395,-50800,[v],-2700
'000270,기아,-940,-9992,106351,-151100,[v],-4700
'483650,달바글로벌,-519,-8515,164140,-148300,[v],-6200
'062040,산일전기,-794,-8491,106958,-143500,[v],-5800
'003670,포스코퓨처엠,-601,-7939,132143,+218000,[^],+9000
'259960,크래프톤,-234,-7686,327782,-251500,[v],-3000
'086790,하나금융지주,-886,-7199,81269,-107500,[v],-2900
'005387,현대차2우B,-416,-7129,171388,-246000,[v],-11000
'015760,한국전력,-1815,-6705,36938,-42050,[v],-1850
'006800,미래에셋증권,-2797,-5294,18929,-62900,[v],-4200
'105560,KB금융,-470,-5090,108294,-146700,[v],-5500
'018260,삼성에스디에스,-327,-4963,151978,-153800,[v],-2500
'373220,LG에너지솔루션,-142,-4901,345975,+409500,[^],+15000
'267270,HD건설기계,-519,-4854,93514,-126200,[v],-3900
'005385,현대차우,-277,-4650,168110,-243500,[v],-13500
'010130,고려아연,-51,-4553,897096,-1463000,[v],-20000
'005380,현대차,-206,-4518,219185,-471000,[v],-24000
'012450,한화에어로스페이스,-51,-4471,884375,-1298000,[v],-37000
'161890,한국콜마,-520,-3947,75869,-77000,[v],-3200
'003230,삼양식품,-25,-3799,1547314,-1169000,[v],-14000
'055550,신한지주,-589,-3795,64418,-90900,[v],-2600
'017670,SK텔레콤,-669,-3660,54736,-78100,[v],-1800
'323410,카카오뱅크,-1521,-3598,23664,-24350,[v],-300
'006260,LS,-176,-3150,178674,-263000,[v],-5000
'034230,파라다이스,-1427,-2982,20892,-16650,[v],-1180
'009420,한올바이오파마,-865,-2752,31822,-58200,[v],-5100
'489790,한화비전,-471,-2752,58432,-75500,[v],-5000
'090460,비에이치,-1419,-2694,18978,-21200,[v],-500
'009070,KCTC,-4292,-2431,5665,-5720,[v],-150
'077970,STX엔진,-467,-2335,50044,-31900,[v],-1600
'052690,한전기술,-249,-2290,92008,-154900,[v],-2100
'009830,한화솔루션,-748,-2143,28656,+35800,[^],+150
'090430,아모레퍼시픽,-175,-2071,118512,-140600,[v],-3800
'017960,한국카본,-616,-2069,33572,-39400,[v],-1100
'248070,솔루엠,-935,-1972,21093,-16690,[v],-320
'450080,에코프로머티,-387,-1931,49855,-72100,[v],-1300
'012510,더존비즈온,-215,-1830,85205,-119100,[v],-200
'138930,BNK금융지주,-1170,-1694,14472,-18260,[v],-420
'024110,기업은행,-865,-1638,18942,-22100,[v],-1450
'002020,코오롱,-354,-1616,45654,-66500,[v],-3300
'001820,삼화콘덴서,-468,-1476,31567,-54100,[v],-2000
'047050,포스코인터내셔널,-299,-1452,48610,+75700,[^],+1200
'073240,금호타이어,-2938,-1444,4914,-6030,[v],-220
'010060,OCI홀딩스,-131,-1200,91933,+193100,[^],+14300
'249420,일동제약,-516,-1198,23227,-29050,[v],-1200
'180640,한진칼,-107,-1167,109104,-112100,[v],-5100
'006360,GS건설,-602,-1127,18727,-26050,[v],-300
'475150,SK이터닉스,-525,-1087,20680,+58300,[^],+5900
'021240,코웨이,-103,-1057,102117,-72000,[v],-1500
'003490,대한항공,-441,-1046,23710,-24450,[v],-850
'036460,한국가스공사,-263,-1035,39323,-34950,[v],-450
'001720,신영증권,-74,-1010,136382,-192900,[v],-13100
'031210,서울보증보험,-213,-951,44623,-53500,[v],-300
'053690,한미글로벌,-437,-938,21459,+30500,[^],+4400
'035250,강원랜드,-514,-915,17802,-17900,[v],-360
'000100,유한양행,-76,-901,118438,-98200,[v],-2200
'006650,대한유화,-73,-899,122391,-127200,[v],-6200
'161390,한국타이어앤테크놀로지,-222,-873,39290,-55100,[v],-2900
'005389,현대차3우B,-49,-814,167698,-235000,[v],-10000
'096770,SK이노베이션,-74,-773,104723,+113100,[^],+1700
'018670,SK가스,-31,-765,249379,+261500,[^],+15000
'051600,한전KPS,-147,-749,51100,-57700,[v],-1300
'457190,이수스페셜티케미컬,-166,-731,44112,-92200,[v],-2200
'353200,대덕전자,-303,-712,23502,-82700,[v],-2700
'000320,노루홀딩스,-201,-689,34277,-21250,[v],-650
'204320,HL만도,-195,-689,35308,-50300,[v],-900
'120110,코오롱인더,-178,-683,38361,-77700,[v],-2300
'030000,제일기획,-344,-678,19700,-19430,[v],-400
'439260,대한조선,-83,-674,81158,-82100,[v],-3600
'004000,롯데정밀화학,-146,-651,44590,-49950,[v],-1850
