종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'007660,이수페타시스,+3396,+43777,128891,-127600,▼,-1900
'034020,두산에너빌리티,+3759,+40362,107360,+110200,▲,+3900
'445680,큐리옥스바이오시스템즈,+2486,+34730,139729,-123400,▼,-8300
'140410,메지온,+3663,+30344,82843,+91600,▲,+100
'009150,삼성전기,+553,+26141,473139,-463500,▼,-16000
'105560,KB금융,+1675,+26039,155431,+156000,▲,+300
'440110,파두,+3270,+18693,57158,+59200,▲,+2200
'055550,신한지주,+1937,+18415,95084,+97400,▲,+900
'403870,HPSP,+3339,+17258,51688,-51200,▼,-500
'011070,LG이노텍,+519,+14751,283989,+296500,▲,+10500
'034730,SK,+394,+13663,346662,+360500,▲,+14500
'316140,우리금융지주,+4012,+13375,33335,+34000,▲,+400
'277810,레인보우로보틱스,+180,+12996,721207,-667000,▼,-51000
'388210,씨엠티엑스,+870,+12618,145013,+150100,▲,+100
'089030,테크윙,+2132,+12547,58849,-58000,▼,-500
'112610,씨에스윈드,+1972,+12293,62331,+66200,▲,+1300
'196170,알테오젠,+334,+11981,358661,-354000,▼,-6000
'001510,SK증권,+62848,+11749,1869,+2585,▲,+405
'042700,한미반도체,+375,+11722,312957,+309500,▲,+2500
'307950,현대오토에버,+268,+11660,434686,+428500,▲,+2500
'310210,보로노이,+280,+8978,320373,+325500,▲,+5500
'476830,알지노믹스,+418,+8707,208145,+216000,▲,+2000
'329180,HD현대중공업,+147,+8344,568592,-562000,▼,-5000
'178320,서진시스템,+1791,+8173,45647,+48000,▲,+2600
'241560,두산밥캣,+1239,+7661,61820,+63600,▲,+1800
'088980,맥쿼리인프라,+6394,+7302,11421,+11510,▲,+70
'323410,카카오뱅크,+2839,+6951,24488,+25050,▲,+400
'011790,SKC,+693,+6933,99969,+99500,▲,+400
'009540,HD한국조선해양,+162,+6734,415713,-405500,▼,-8000
'086520,에코프로,+435,+6688,153709,+151400,▲,+300
'140860,파크시스템스,+238,+6617,278227,-273000,▼,-4500
