종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'222800,심텍,+4906,+27119,55272,+62500,▲,+2400
'098460,고영,+7562,+24888,32910,-29050,▼,-650
'456160,지투지바이오,+1824,+17561,96293,+88700,▲,+1800
'253590,네오셈,+8834,+15738,17815,+19100,▲,+350
'491000,리브스메드,+1559,+13597,87236,-81500,▼,-200
'222080,씨아이에스,+8086,+11721,14494,-12510,▼,-60
'950160,코오롱티슈진,+993,+10855,109357,+98200,▲,+1000
'083450,GST,+3364,+10750,31958,30000,-,0
'074600,원익QnC,+2586,+8506,32890,+34300,▲,+550
'263750,펄어비스,+1347,+7627,56641,-41100,▼,-4900
'115180,큐리언트,+1899,+7561,39812,-44750,▼,-300
'403870,HPSP,+1468,+7132,48597,-51200,▼,-500
'417200,LS머트리얼즈,+4247,+6949,16361,+25300,▲,+1550
'440110,파두,+935,+6228,66631,+59200,▲,+2200
'448900,한국피아이엠,+421,+5995,142228,+120700,▲,+2200
'232140,와이씨,+2668,+5783,21673,+21150,▲,+450
'052020,에스티큐브,+4955,+5287,10671,-14150,▼,-1550
'083650,비에이치아이,+586,+4782,81607,+109800,▲,+5500
'036200,유니셈,+4145,+4348,10490,+10180,▲,+130
'122870,와이지엔터테인먼트,+595,+3964,66638,+60200,▲,+100
'005290,동진쎄미켐,+694,+3745,53945,+49850,▲,+1300
'183300,코미코,+312,+3316,106386,+119900,▲,+1000
'171090,선익시스템,+255,+3284,128723,-102400,▼,-1100
'080580,오킨스전자,+1938,+3204,16530,-20350,▼,-500
'234340,헥토파이낸셜,+932,+3014,32357,+40000,▲,+1450
'356860,티엘비,+502,+2998,59770,-77400,▼,-2400
'476830,알지노믹스,+199,+2963,148835,+215000,▲,+1000
'024740,한일단조,+7919,+2684,3389,-3030,▼,-130
'110990,디아이티,+1173,+2683,22883,21750,-,0
'035900,JYP Ent.,+422,+2669,63300,-66800,▼,-100
'102710,이엔에프테크놀로지,+456,+2652,58164,-55400,▼,-1200
'089890,코세스,+1000,+2500,24998,-25550,▼,-1250
'348370,엔켐,+395,+2477,62704,-48950,▼,-4150
'036540,SFA반도체,+3349,+2419,7223,+7100,▲,+30
'389020,자람테크놀로지,+546,+2378,43566,-52900,▼,-1200
'095660,네오위즈,+899,+2378,26446,25250,-,0
'041510,에스엠,+225,+2301,102059,+98000,▲,+900
'121600,나노신소재,+326,+2164,66353,+61800,▲,+1200
'107640,한중엔시에스,+452,+2155,47706,+52000,▲,+300
'044490,태웅,+624,+2153,34519,+58600,▲,+13300
'127120,제이에스링크,+526,+2068,39296,+39700,▲,+450
'145020,휴젤,+77,+2009,260008,+263500,▲,+1500
'042520,한스바이오메드,+420,+1992,47428,-52900,▼,-2800
'383310,에코프로에이치엔,+552,+1934,35050,29850,-,0
'137400,피엔티,+387,+1926,49714,+47750,▲,+1000
'161580,필옵틱스,+405,+1860,45922,-39050,▼,-1050
'027360,아주IB투자,+3377,+1770,5242,-7290,▼,-370
'078150,HB테크놀러지,+8420,+1721,2044,-2195,▼,-5
'078600,대주전자재료,+155,+1656,107111,+127500,▲,+7800
'425420,티에프이,+360,+1597,44359,+65900,▲,+5200
'174900,앱클론,+254,+1596,62842,-78300,▼,-1500
'214150,클래시스,+283,+1584,55899,+53700,▲,+1200
'003380,하림지주,+1124,+1421,12643,+17700,▲,+2600
'140860,파크시스템스,+52,+1387,269182,-272500,▼,-5000
'281740,레이크머티리얼즈,+615,+1321,21493,+19980,▲,+160
'131970,두산테스나,+194,+1318,67806,+99900,▲,+8000
'050890,쏠리드,+1610,+1310,8137,+13120,▲,+220
'272110,케이엔제이,+380,+1238,32572,-36400,▼,-1650
'290740,액트로,+529,+1237,23370,-22100,▼,-600
'086820,바이오솔루션,+1081,+1202,11128,+12950,▲,+210
'101360,에코앤드림,+628,+1188,18917,+17340,▲,+40
'389470,인벤티지랩,+125,+1139,90972,+80900,▲,+2100
'082920,비츠로셀,+530,+1134,21388,-29100,▼,-1850
'086900,메디톡스,+91,+1116,122881,+107500,▲,+1800
'372320,큐로셀,+209,+1088,52188,+49650,▲,+3350
'025900,동화기업,+1051,+1052,10011,+10060,▲,+80
'144510,지씨셀,+415,+1050,25305,-25350,▼,-100
'389030,지니너스,+2682,+1036,3861,+6270,▲,+140
'036830,솔브레인홀딩스,+192,+1018,53075,+52300,▲,+600
'425040,티이엠씨,+1078,+1007,9339,-10880,▼,-1010
'376300,디어유,+260,+922,35500,+35950,▲,+200
'950250,테라뷰,+1418,+921,6498,-8080,▼,-480
'095700,제넥신,+1819,+902,4958,+4660,▲,+85
'119830,아이텍,+1074,+882,8211,-6920,▼,-40
'170920,엘티씨,+389,+853,21897,-34000,▼,-100
'043260,성호전자,+327,+842,25757,+45000,▲,+5000
'389650,넥스트바이오메디컬,+112,+834,74297,+79100,▲,+3100
'265520,AP시스템,+365,+813,22266,+22950,▲,+100
'025980,아난티,+963,+790,8207,+7450,▲,+80
'112290,와이씨켐,+322,+789,24525,-26650,▼,-150
'405100,큐알티,+474,+786,16601,-17960,▼,-340
'088130,동아엘텍,+826,+783,9477,+8670,▲,+220
'033640,네패스,+459,+781,17004,+21050,▲,+3070
'017890,한국알콜,+666,+770,11566,+11640,▲,+320
'067160,SOOP,+117,+755,64325,+63100,▲,+500
'123330,제닉,+358,+748,20902,+24950,▲,+1400
'393890,더블유씨피,+777,+736,9472,-13230,▼,-1870
'102120,어보브반도체,+635,+731,11512,+11840,▲,+130
'126340,비나텍,+62,+702,113224,+143700,▲,+4300
'053800,안랩,+108,+665,61490,+61800,▲,+500
'416180,신성에스티,+191,+655,34230,-34500,▼,-400
'282720,금양그린파워,+488,+644,13195,+16570,▲,+270
'299030,하나기술,+226,+640,28297,+26650,▲,+500
'065350,신성델타테크,+100,+613,61148,+63000,▲,+1200
'317330,덕산테코피아,+347,+601,17330,+15950,▲,+30
'085660,차바이오텍,+302,+585,19365,+19020,▲,+270
'357880,SKAI,+2362,+578,2448,-4650,▼,-360
'307180,아이엘,+1069,+570,5330,-5580,▼,-230
'051160,지어소프트,+773,+563,7284,+8120,▲,+50
'032500,케이엠더블유,+315,+562,17851,+32450,▲,+3250
