종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'005930,삼성전자,+9892,+60587,61249,-177000,[v],-2700
'034020,두산에너빌리티,+6091,+39698,65171,-94300,[v],-3800
'103590,일진전기,+6887,+24694,35856,-71400,[v],-3700
'052690,한전기술,+1654,+17513,105885,-154900,[v],-2100
'105560,KB금융,+1308,+14515,111001,-146700,[v],-5500
'055550,신한지주,+2197,+13482,61354,-90900,[v],-2600
'000100,유한양행,+1206,+12541,103983,-98200,[v],-2200
'032830,삼성생명,+822,+10536,128171,-220000,[v],-3000
'064400,LG씨엔에스,+1145,+9771,85327,-59000,[v],-2100
'161890,한국콜마,+981,+8911,90809,-77000,[v],-3200
'103140,풍산,+640,+8718,136274,-89200,[v],-2500
'352820,하이브,+275,+8323,302739,-303000,[v],-4000
'042700,한미반도체,+809,+8287,102400,-262500,[v],-13000
'267260,HD현대일렉트릭,+157,+7672,490078,-879000,[v],-36000
'010130,고려아연,+70,+5649,808924,-1463000,[v],-20000
'000720,현대건설,+640,+5025,78510,-147600,[v],-2200
'028260,삼성물산,+294,+4771,162532,-260500,[v],-8500
'005935,삼성전자우,+740,+3757,50771,-121100,[v],-5100
'086790,하나금융지주,+426,+3601,84462,-107500,[v],-2900
'062040,산일전기,+418,+3520,84164,-143500,[v],-5800
'443060,HD현대마린솔루션,+156,+3145,202161,-178300,[v],-5600
'004800,효성,+333,+2492,74723,-133100,[v],-6500
'079550,LIG넥스원,+41,+2104,513645,-669000,[v],-66000
'035720,카카오,+332,+2068,62284,-47150,[v],-1650
'003230,삼양식품,+13,+1760,1377216,-1169000,[v],-14000
'00680K,미래에셋증권2우B,+2064,+1720,8332,-19340,[v],-1160
'298040,효성중공업,+20,+1688,827673,-2509000,[v],-167000
'282330,BGF리테일,+141,+1661,117476,+137500,[^],+7200
'003540,대신증권,+602,+1471,24429,-36000,[v],-1850
'006040,동원산업,+318,+1460,45895,-38850,[v],-1150
'032350,롯데관광개발,+821,+1390,16939,-18340,[v],-1510
'009450,경동나비엔,+186,+1382,74283,-60400,[v],-1700
'009970,영원무역홀딩스,+92,+1233,133453,+224500,[^],+2000
'175330,JB금융지주,+543,+1112,20461,-30500,[v],-600
'139480,이마트,+128,+1095,85770,-97500,[v],-2500
'014680,한솔케미칼,+63,+1086,172582,-266500,[v],-6500
'114090,GKL,+725,+1065,14702,-11570,[v],-310
'024720,콜마홀딩스,+606,+894,14741,-8920,[v],-260
'111770,영원무역,+135,+857,63443,-80500,[v],-1300
'030190,NICE평가정보,+517,+839,16219,-16330,[v],-550
'047040,대우건설,+1765,+751,4255,+17340,[^],+80
'000815,삼성화재우,+22,+724,323333,-367000,[v],-12500
'014830,유니드,+84,+721,86149,-81500,[v],-2500
'035510,신세계 I&C,+353,+696,19694,-19230,[v],-630
'002790,아모레퍼시픽홀딩스,+222,+669,30195,-28400,[v],-950
'361610,SK아이이테크놀로지,+243,+647,26643,+22200,[^],+550
'023530,롯데쇼핑,+79,+604,76398,-107200,[v],-7200
'004690,삼천리,+46,+603,131938,-140800,[v],-6400
'071055,한국금융지주우,+64,+576,89949,-154800,[v],-8600
'008970,KBI동양철관,+4443,+558,1255,+1721,[^],+13
'00088K,한화3우B,+136,+554,40725,-44150,[v],-1450
'088350,한화생명,+1458,+489,3352,-4560,[v],-160
'079900,전진건설로봇,+84,+488,58357,+54100,[^],+500
'214420,토니모리,+411,+451,10984,-6730,[v],-260
'000370,한화손해보험,+777,+447,5753,-6690,[v],-80
'192820,코스맥스,+17,+439,260997,-192000,[v],-13000
'005180,빙그레,+51,+427,83718,-72000,[v],-2200
'003280,흥아해운,+2376,+419,1765,+3065,[^],+115
'001820,삼화콘덴서,+162,+417,25787,-54100,[v],-2000
