종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'000660,SK하이닉스,-471,-47634,1011911,-933000,▼,-74000
'277810,레인보우로보틱스,-330,-21947,665154,-587000,▼,-72000
'263750,펄어비스,-4102,-17139,41782,-40100,▼,-1400
'005930,삼성전자,-729,-14551,199492,-185300,▼,-14100
'009150,삼성전기,-249,-11517,461722,-420000,▼,-44500
'010120,LS ELECTRIC,-89,-7955,890512,-811000,▼,-75000
'064350,현대로템,-408,-7370,180801,-165100,▼,-15000
'006400,삼성SDI,-165,-6603,399365,-371500,▼,-29000
'373220,LG에너지솔루션,-172,-6402,372484,-355500,▼,-20000
'015760,한국전력,-1217,-5954,48924,-45500,▼,-3650
'012450,한화에어로스페이스,-44,-5766,1319773,-1242000,▼,-78000
'347850,디앤디파마텍,-656,-5172,78822,-69400,▼,-8700
'475150,SK이터닉스,-783,-4853,61973,-51600,▼,-8300
'005490,POSCO홀딩스,-136,-4636,341191,-322000,▼,-21500
'087010,펩트론,-137,-4445,325257,-338500,▼,-7500
'058610,에스피지,-358,-4278,119559,-106800,▼,-13700
'047040,대우건설,-2270,-4269,18803,-17060,▼,-2050
'247540,에코프로비엠,-219,-4143,189080,-175800,▼,-16100
'000250,삼천당제약,-46,-4079,877547,+923000,▲,+16000
'456160,지투지바이오,-456,-4050,88797,-74800,▼,-14400
'058470,리노공업,-348,-3907,112133,-103500,▼,-8200
'347700,스피어,-855,-3820,44684,-40350,▼,-4400
'036930,주성엔지니어링,-453,-3394,74957,-71500,▼,-1300
'079550,LIG넥스원,-50,-3363,675062,-623000,▼,-38000
'010130,고려아연,-21,-3362,1594998,-1480000,▼,-107000
'278470,에이피알,-91,-3297,363600,-321500,▼,-38000
'005380,현대차,-63,-3272,521139,-483000,▼,-34000
'003030,세아제강지주,-165,-3144,191006,-186300,▼,-14700
'279570,케이뱅크,-4644,-3079,6631,-6150,▼,-450
'003670,포스코퓨처엠,-147,-2913,198353,-183700,▼,-15500
'051910,LG화학,-94,-2904,308515,-288000,▼,-22000
'086520,에코프로,-183,-2764,150734,-137300,▼,-13600
'066970,엘앤에프,-233,-2568,110314,-110500,▼,-1600
'397030,에이프릴바이오,-395,-2505,63448,-57100,▼,-7400
'042700,한미반도체,-78,-2409,309206,-295000,▼,-14500
'012330,현대모비스,-58,-2350,402981,-375500,▼,-25000
'095340,ISC,-94,-2247,240251,-230500,▼,-16500
'0009K0,에임드바이오,-403,-2242,55672,-50300,▼,-5000
'128940,한미약품,-37,-2034,549402,-495500,▼,-64500
'389470,인벤티지랩,-252,-2015,79913,-71500,▼,-8400
'329180,HD현대중공업,-35,-1970,563193,-505000,▼,-54000
'035420,NAVER,-86,-1908,221303,-207500,▼,-14000
'356860,티엘비,-236,-1837,77818,-71600,▼,-6500
'189300,인텔리안테크,-136,-1672,123046,-115900,▼,-5600
'440110,파두,-286,-1670,58397,-56000,▼,-3200
'267260,HD현대일렉트릭,-17,-1646,957485,-902000,▼,-57000
'047810,한국항공우주,-88,-1639,186607,-166200,▼,-19500
'005290,동진쎄미켐,-312,-1557,49823,-44850,▼,-4950
'108490,로보티즈,-58,-1506,259579,-233500,▼,-27500
'098460,고영,-505,-1493,29591,-27100,▼,-1950
'259960,크래프톤,-63,-1479,234310,-227500,▼,-8000
'483650,달바글로벌,-93,-1471,157671,-146800,▼,-12100
'086790,하나금융지주,-123,-1402,114093,-105600,▼,-7600
'089030,테크윙,-237,-1384,58464,-53900,▼,-4100
'306200,세아제강,-94,-1376,145881,-137600,▼,-10300
'017800,현대엘리베이터,-151,-1332,88209,-82900,▼,-5900
'365550,ESR켄달스퀘어리츠,-3159,-1330,4211,-4185,▼,-10
'119850,지엔씨에너지,-353,-1243,35198,-32100,▼,-3450
'214430,아이쓰리시스템,-121,-1180,97267,-88400,▼,-9000
'068270,셀트리온,-58,-1170,201951,-185300,▼,-16700
'272210,한화시스템,-81,-1109,136793,-120000,▼,-16000
'004170,신세계,-33,-1108,339967,-315000,▼,-29000
'089890,코세스,-423,-1102,26077,-22550,▼,-3250
'376300,디어유,-304,-1094,35984,-33000,▼,-2700
'393890,더블유씨피,-799,-1070,13390,+13460,▲,+230
'095610,테스,-162,-1056,65394,-60200,▼,-5600
'066570,LG전자,-89,-1054,117914,-107600,▼,-10300
'195870,해성디에스,-172,-989,57482,-52600,▼,-5900
'005385,현대차우,-37,-978,266809,-247000,▼,-18000
'281820,케이씨텍,-192,-948,49292,-44750,▼,-4800
'140410,메지온,-101,-947,93437,-84100,▼,-7500
'077360,덕산하이메탈,-721,-864,11990,-11170,▼,-690
'010780,아이에스동서,-266,-821,30886,-28500,▼,-2500
'267250,HD현대,-31,-805,263265,-237500,▼,-28000
'241560,두산밥캣,-125,-783,62778,-59000,▼,-4100
'475830,오름테라퓨틱,-62,-776,126086,-107600,▼,-18700
'458870,씨어스테크놀로지,-41,-745,180492,-177900,▼,-5000
'131290,티에스이,-58,-704,121549,-115200,▼,-6600
'348370,엔켐,-143,-702,48929,-39550,▼,-9500
'267270,HD건설기계,-53,-698,131620,-126400,▼,-6600
'298020,효성티앤씨,-18,-677,371137,+372000,▲,+5000
'093050,LF,-300,-663,22103,-21550,▼,-650
'375500,DL이앤씨,-96,-650,67850,-62500,▼,-4900
'003550,LG,-69,-649,94135,-86100,▼,-9400
'018260,삼성에스디에스,-38,-623,162442,-150700,▼,-11900
'107640,한중엔시에스,-118,-618,52375,-48000,▼,-4500
'000100,유한양행,-62,-615,99229,-92800,▼,-7500
'417310,코람코더원리츠,-629,-598,9513,-9630,▼,-10
'000720,현대건설,-33,-576,172129,-149600,▼,-14400
'000810,삼성화재,-12,-571,477207,-453500,▼,-21000
'004370,농심,-15,-565,378254,-364500,▼,-16000
'204320,HL만도,-101,-540,53774,-50700,▼,-3200
'175330,JB금융지주,-175,-540,30893,-28250,▼,-2700
'050890,쏠리드,-415,-539,12997,-12370,▼,-750
'084370,유진테크,-41,-539,130357,-122900,▼,-6500
'241770,메카로,-153,-520,33874,-32250,▼,-2500
'096770,SK이노베이션,-47,-513,109522,-104800,▼,-9100
'126340,비나텍,-35,-510,144661,-132600,▼,-11100
'033780,KT&G,-32,-498,157710,-151000,▼,-6500
'006040,동원산업,-122,-493,40544,-38800,▼,-2000
