종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'086520,에코프로,-995,-16053,161346,-150900,▼,-200
'058470,리노공업,-926,-10907,117777,-112000,▼,-5100
'247540,에코프로비엠,-492,-9840,200040,+190100,▲,+400
'000250,삼천당제약,-103,-7685,747299,+900000,▲,+105000
'277810,레인보우로보틱스,-86,-6396,744297,-668000,▼,-50000
'298380,에이비엘바이오,-316,-5849,185173,+190200,▲,+200
'240810,원익IPS,-465,-5789,124497,+124000,▲,+3100
'098460,고영,-1602,-4716,29442,-29050,▼,-650
'218410,RFHIC,-706,-4439,62911,+81600,▲,+2900
'039030,이오테크닉스,-107,-4413,411158,+425000,▲,+12500
'028300,HLB,-899,-4363,48560,+51300,▲,+900
'257720,실리콘투,-1071,-3861,36051,+38600,▲,+2100
'122870,와이지엔터테인먼트,-575,-3654,63588,+60200,▲,+100
'067310,하나마이크론,-1109,-3512,31673,+34750,▲,+1250
'095340,ISC,-179,-3399,189883,+245000,▲,+500
'403870,HPSP,-693,-3024,43636,-51200,▼,-500
'440110,파두,-448,-2785,62217,+59200,▲,+2200
'036930,주성엔지니어링,-461,-2766,60023,+72800,▲,+11800
'323280,태성,-361,-2703,74882,+69800,▲,+400
'140410,메지온,-217,-2646,121841,+91600,▲,+100
'388210,씨엠티엑스,-180,-2420,134070,+150100,▲,+100
'348370,엔켐,-403,-2359,58503,-48950,▼,-4150
'089030,테크윙,-339,-2353,69524,-58000,▼,-500
'080220,제주반도체,-554,-2279,41136,+44300,▲,+1400
'319660,피에스케이,-363,-2187,60226,+85500,▲,+3000
'222800,심텍,-404,-2084,51540,+62500,▲,+2400
'064760,티씨케이,-92,-2055,223316,+253500,▲,+11000
'108490,로보티즈,-84,-1910,226951,-260500,▼,-6500
'005290,동진쎄미켐,-369,-1823,49415,+49850,▲,+1300
'101490,에스앤에스텍,-207,-1740,84101,-85700,▼,-200
'121600,나노신소재,-252,-1579,62652,+61800,▲,+1200
'357780,솔브레인,-31,-1453,465651,+430000,▲,+8000
'232140,와이씨,-678,-1343,19807,+21150,▲,+450
'204620,글로벌텍스프리,-3189,-1312,4113,+4830,▲,+370
'161580,필옵틱스,-285,-1250,43932,-39050,▼,-1050
'183300,코미코,-128,-1232,96250,+119900,▲,+1000
'358570,지아이이노베이션,-855,-1170,13679,-14590,▼,-30
'084370,유진테크,-88,-1161,132418,-129200,▼,-2700
'226950,올릭스,-59,-1159,197815,+185700,▲,+3900
'131970,두산테스나,-182,-1132,62154,+99900,▲,+8000
'166090,하나머티리얼즈,-183,-1114,60825,+62000,▲,+2900
'380550,뉴로핏,-447,-970,21688,-22600,▼,-350
'031980,피에스케이홀딩스,-87,-969,111460,+111000,▲,+4200
'060720,KH바텍,-704,-968,13755,+14940,▲,+160
'399720,가온칩스,-166,-952,57421,+66000,▲,+600
'475830,오름테라퓨틱,-88,-908,102904,+125300,▲,+400
'213420,덕산네오룩스,-222,-841,37924,+47700,▲,+3200
'299030,하나기술,-317,-814,25692,+26650,▲,+500
'063170,서울옥션,-1105,-810,7330,+8040,▲,+50
'170920,엘티씨,-393,-762,19356,-34000,▼,-100
'222080,씨아이에스,-508,-751,14788,-12510,▼,-60
'420770,기가비스,-118,-739,62693,+78700,▲,+300
'036540,SFA반도체,-1087,-732,6731,+7100,▲,+30
'107640,한중엔시에스,-147,-697,47297,+52000,▲,+300
'137400,피엔티,-144,-696,48340,+47750,▲,+1000
'051360,토비스,-474,-651,13738,+16770,▲,+820
'131290,티에스이,-63,-602,96149,-121400,▼,-3400
'092870,엑시콘,-214,-571,26631,-31250,▼,-500
'102710,이엔에프테크놀로지,-100,-534,53278,-55400,▼,-1200
'189300,인텔리안테크,-44,-514,117295,-121800,▼,-1600
'064290,인텍플러스,-359,-489,13618,-17180,▼,-770
'425420,티에프이,-109,-440,40349,+65900,▲,+5200
'039440,에스티아이,-127,-403,31862,+33700,▲,+550
'290740,액트로,-166,-357,21428,-22100,▼,-600
'347850,디앤디파마텍,-45,-349,77068,78900,-,0
'357580,아모센스,-237,-341,14358,-21400,▼,-400
'393890,더블유씨피,-344,-330,9599,-13230,▼,-1870
'394800,쓰리빌리언,-241,-309,12832,+14740,▲,+60
'468530,프로티나,-43,-297,69765,-80500,▼,-1300
'060250,NHN KCP,-143,-266,18583,+20300,▲,+880
'486990,노타,-85,-264,31029,-43000,▼,-1850
'085910,네오티스,-149,-242,16265,-18350,▼,-330
'098070,한텍,-71,-239,33886,+47550,▲,+2950
'376900,로킷헬스케어,-35,-235,66747,+130700,▲,+2000
'241710,코스메카코리아,-33,-235,71264,+77500,▲,+3700
'090710,휴림로봇,-193,-228,11761,-14020,▼,-310
'260970,에스앤디,-45,-227,50410,+54500,▲,+400
'290650,엘앤씨바이오,-28,-226,80846,+75700,▲,+300
