종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'064350,현대로템,-1102,-22209,201532,-179300,[v],-4900
'103140,풍산,-1205,-14492,120218,-89200,[v],-2500
'241560,두산밥캣,-2191,-14106,64387,-58200,[v],-1400
'079550,LIG넥스원,-247,-13622,551558,-669000,[v],-66000
'373220,LG에너지솔루션,-229,-6865,299910,+409500,[^],+15000
'005930,삼성전자,-633,-3787,59776,-177000,[v],-2700
'010950,S-Oil,-531,-3093,58268,-108800,[v],-900
'003670,포스코퓨처엠,-228,-2938,128784,+218000,[^],+9000
'282330,BGF리테일,-241,-2920,121337,+137500,[^],+7200
'267260,HD현대일렉트릭,-55,-2667,483038,-879000,[v],-36000
'207940,삼성바이오로직스,-26,-2566,1000753,-1532000,[v],-74000
'272210,한화시스템,-405,-2564,63339,-118400,[v],-5700
'011200,HMM,-1076,-2454,22797,-19570,[v],-90
'267250,HD현대,-183,-2392,130933,-247000,[v],-10500
'086790,하나금융지주,-290,-2370,81676,-107500,[v],-2900
'028260,삼성물산,-146,-2365,161510,-260500,[v],-8500
'047810,한국항공우주,-256,-2332,91227,-173600,[v],-12900
'475150,SK이터닉스,-787,-2279,28939,+58300,[^],+5900
'259960,크래프톤,-60,-2149,360166,-251500,[v],-3000
'012330,현대모비스,-72,-2044,284279,-397500,[v],-11000
'039490,키움증권,-86,-2030,235324,-411500,[v],-23500
'128940,한미약품,-68,-2027,296631,-522000,[v],-27000
'030200,KT,-386,-2012,52161,-60500,[v],-300
'051600,한전KPS,-310,-1881,60675,-57700,[v],-1300
'443060,HD현대마린솔루션,-84,-1744,207766,-178300,[v],-5600
'005490,POSCO홀딩스,-67,-1742,261487,-342500,[v],-500
'271560,오리온,-161,-1718,106466,-126900,[v],-7600
'192080,더블유게임즈,-284,-1660,58534,-49800,[v],-700
'005380,현대차,-77,-1580,204226,-471000,[v],-24000
'005387,현대차2우B,-98,-1575,160426,-246000,[v],-11000
'047050,포스코인터내셔널,-318,-1568,49325,+75700,[^],+1200
'302440,SK바이오사이언스,-288,-1449,50358,-42350,[v],-850
'000100,유한양행,-137,-1408,102601,-98200,[v],-2200
'000270,기아,-137,-1322,96721,-151100,[v],-4700
'068270,셀트리온,-81,-1304,161001,-201000,[v],-5000
'006040,동원산업,-264,-1248,47245,-38850,[v],-1150
'002380,KCC,-40,-1227,308460,-503000,[v],-22000
'001120,LX인터내셔널,-370,-1160,31345,+47000,[^],+600
'035720,카카오,-176,-1143,64821,-47150,[v],-1650
'042660,한화오션,-127,-1101,86616,-119100,[v],-4100
'051910,LG화학,-51,-1069,210546,+323000,[^],+10000
'071970,HD현대마린엔진,-180,-998,55558,-71600,[v],-5100
'006280,녹십자,-77,-984,128077,-146000,[v],-5000
'004690,삼천리,-73,-976,134555,-140800,[v],-6400
'100840,SNT에너지,-238,-964,40526,+53300,[^],+5100
'010120,LS ELECTRIC,-29,-881,308550,-777000,[v],-24000
'011780,금호석유화학,-76,-864,113435,-120300,[v],-6200
'009450,경동나비엔,-117,-838,71884,-60400,[v],-1700
'484870,엠앤씨솔루션,-54,-832,155470,-99500,[v],-3700
'064400,LG씨엔에스,-85,-825,96828,-59000,[v],-2100
'088980,맥쿼리인프라,-672,-795,11832,-11340,[v],-70
'105560,KB금융,-69,-759,110723,-146700,[v],-5500
'006360,GS건설,-336,-734,21876,-26050,[v],-300
'006400,삼성SDI,-41,-719,174819,+416000,[^],+10500
'003160,디아이,-445,-714,16044,-31350,[v],-3150
'078930,GS,-149,-694,46470,-65900,[v],-2000
'001040,CJ,-41,-658,160762,-199000,[v],-7500
'023530,롯데쇼핑,-85,-634,74774,-107200,[v],-7200
'181710,NHN,-187,-609,32618,+42000,[^],+150
'120110,코오롱인더,-152,-585,38631,-77700,[v],-2300
'014680,한솔케미칼,-34,-553,161498,-266500,[v],-6500
'010130,고려아연,-7,-553,821205,-1463000,[v],-20000
'086280,현대글로비스,-38,-507,135016,-216000,[v],-15500
'032830,삼성생명,-39,-493,127899,-220000,[v],-3000
'032350,롯데관광개발,-303,-488,16136,-18340,[v],-1510
'381970,케이카,-319,-486,15243,-13960,[v],-230
'090430,아모레퍼시픽,-31,-453,144678,-140600,[v],-3800
'000810,삼성화재,-10,-452,437368,443000,-,0
'009830,한화솔루션,-140,-451,32337,+35800,[^],+150
'395400,SK리츠,-912,-418,4587,-6280,[v],-210
'066570,LG전자,-53,-405,76321,-108600,[v],-3400
'032640,LG유플러스,-294,-404,13742,-15390,[v],-710
'161890,한국콜마,-44,-398,89619,-77000,[v],-3200
'241590,화승엔터프라이즈,-500,-377,7545,-4525,[v],-90
'451800,한화리츠,-961,-376,3915,-5070,[v],-40
'055550,신한지주,-62,-369,59215,-90900,[v],-2600
'138930,BNK금융지주,-304,-366,12035,-18260,[v],-420
'011070,LG이노텍,-24,-362,152094,-309500,[v],-11000
'316140,우리금융지주,-161,-353,21951,-32400,[v],-1200
'011790,SKC,-32,-347,107942,-96000,[v],-2700
'192820,코스맥스,-11,-315,275399,-192000,[v],-13000
'034730,SK,-15,-297,199257,-324500,[v],-9500
