종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'445680,큐리옥스바이오시스템즈,+7076,+99876,141142,-127400,▼,-12200
'000660,SK하이닉스,+639,+64990,1017754,-1001000,▼,-55000
'005930,삼성전자,+499,+10276,205770,-198700,▼,-9800
'000150,두산,+51,+6001,1166987,-1137000,▼,-52000
'034230,파라다이스,+3045,+5775,18965,+18760,▲,+800
'489790,한화비전,+658,+5750,87432,+86200,▲,+2300
'032830,삼성생명,+235,+5499,234427,-228500,▼,-6500
'000250,삼천당제약,+64,+5252,815631,-782000,▼,-2000
'007810,코리아써키트,+830,+5175,62364,+60600,▲,+400
'388210,씨엠티엑스,+333,+5002,150404,+146700,▲,+9900
'007660,이수페타시스,+367,+4784,130480,+127400,▲,+2300
'327260,RF머트리얼즈,+737,+4561,61922,+60500,▲,+4800
'475830,오름테라퓨틱,+359,+4513,125588,-122600,▼,-7000
'112610,씨에스윈드,+663,+4277,64539,+67700,▲,+8600
'319660,피에스케이,+526,+4269,81089,+80000,▲,+2500
'353200,대덕전자,+520,+4046,77872,+77300,▲,+2500
'140860,파크시스템스,+140,+4006,285244,+274000,▲,+9500
'298380,에이비엘바이오,+204,+3887,190965,-188300,▼,-7200
'222800,심텍,+562,+3418,60829,-59000,▼,-600
'028260,삼성물산,+116,+3397,293009,-288000,▼,-11000
'003160,디아이,+862,+3261,37840,+37500,▲,+250
'090460,비에이치,+1601,+3179,19850,+19700,▲,+200
'131970,두산테스나,+341,+3123,91630,+89700,▲,+2400
'039200,오스코텍,+527,+3037,57654,-56700,▼,-1700
'476830,알지노믹스,+137,+2976,217685,+209000,▲,+13400
'356860,티엘비,+383,+2915,76121,+77900,▲,+6800
'226950,올릭스,+160,+2911,182095,-179600,▼,-10400
'237690,에스티팜,+176,+2646,150477,-148100,▼,-7700
'032820,우리기술,+807,+2335,28923,-28950,▼,-350
'086520,에코프로,+151,+2319,153491,-149100,▼,-4900
'009830,한화솔루션,+456,+2289,50178,-49150,▼,-1650
'010060,OCI홀딩스,+112,+2245,199852,+198500,▲,+4900
'098070,한텍,+496,+2227,44893,+44500,▲,+2300
'417200,LS머트리얼즈,+797,+1867,23416,+23750,▲,+800
'448900,한국피아이엠,+150,+1749,116567,+118500,▲,+9100
'089970,브이엠,+365,+1716,47032,+47950,▲,+2050
'120110,코오롱인더,+236,+1657,70340,-68500,▼,-2500
'052690,한전기술,+97,+1657,170942,-167600,▼,-4700
'006120,SK디스커버리,+269,+1619,60287,-60200,▼,-1300
'009150,삼성전기,+30,+1542,514720,+467000,▲,+3000
'034020,두산에너빌리티,+139,+1496,107511,-105700,▼,-1600
'078160,메디포스트,+632,+1451,22936,-22650,▼,-600
'490470,세미파이브,+464,+1421,30601,+31250,▲,+2100
'375500,DL이앤씨,+266,+1387,52220,-51200,▼,-400
'295310,에이치브이엠,+149,+1372,92063,-90900,▼,-5700
'088980,맥쿼리인프라,+1186,+1359,11464,+11440,▲,+60
'267260,HD현대일렉트릭,+14,+1338,973439,-947000,▼,-27000
'420770,기가비스,+161,+1273,78882,+77400,▲,+100
'018670,SK가스,+53,+1261,237934,+263500,▲,+32500
'044490,태웅,+275,+1220,44455,+44900,▲,+800
'336260,두산퓨얼셀,+263,+1206,45843,+46600,▲,+400
'006400,삼성SDI,+29,+1184,415146,-396500,▼,-8500
'050890,쏠리드,+897,+1164,12980,-12900,▼,-320
'347850,디앤디파마텍,+139,+1108,79617,-78900,▼,-3000
'052710,아모텍,+778,+1088,13992,+14020,▲,+490
'174900,앱클론,+131,+1059,80685,-79800,▼,-1200
'082920,비츠로셀,+346,+1028,29725,+31400,▲,+3500
'006360,GS건설,+392,+1027,26183,+25950,▲,+300
'358570,지아이이노베이션,+694,+1020,14700,-14320,▼,-450
'085620,미래에셋생명,+575,+1013,17621,-17300,▼,-980
'141080,리가켐바이오,+50,+1012,202372,-198600,▼,-12400
'007340,DN오토모티브,+252,+1010,40070,+38800,▲,+850
'020000,한섬,+356,+904,25378,+25200,▲,+200
