종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'226950,올릭스,+1303,+10519,80702,-187000,[v],-13500
'089030,테크윙,+2014,+7325,36374,-48900,[v],-3100
'310210,보로노이,+177,+2358,133363,+318500,[^],+5000
'298380,에이비엘바이오,+232,+2190,94239,-171600,[v],-8500
'124500,아이티센글로벌,+1222,+1950,15955,-46500,[v],-400
'348340,뉴로메카,+696,+1766,25354,-62500,[v],-3800
'237690,에스티팜,+154,+1524,98703,-150100,[v],-9200
'358570,지아이이노베이션,+814,+1497,18404,-13890,[v],-790
'044490,태웅,+330,+1259,38111,+47550,[^],+600
'140860,파크시스템스,+46,+1202,258651,-243500,[v],-12000
'441270,파인엠텍,+910,+1169,12842,-10030,[v],-430
'119850,지엔씨에너지,+350,+1118,31942,-31900,[v],-1300
'194480,데브시스터즈,+204,+1064,52246,-29250,[v],-3350
'141080,리가켐바이오,+70,+1054,149956,-198700,[v],-14800
'014620,성광벤드,+296,+1024,34633,+34450,[^],+1300
'397030,에이프릴바이오,+412,+1019,24746,-58600,[v],-5000
'425420,티에프이,+268,+1002,37428,-64100,[v],-4900
'179900,유티아이,+362,+953,26294,-16450,[v],-790
'123330,제닉,+322,+911,28303,-30450,[v],-2150
'126340,비나텍,+203,+910,44728,-113000,[v],-8100
'399720,가온칩스,+180,+867,48055,-61200,[v],-2800
'476060,온코닉테라퓨틱스,+286,+781,27310,-22900,[v],-150
'039200,오스코텍,+185,+724,39045,-52200,[v],-2100
'006730,서부T&D,+690,+651,9444,-13100,[v],-630
'437730,삼현,+415,+631,15195,-46450,[v],-3350
'196170,알테오젠,+13,+618,465029,-354000,[v],-27000
'033500,동성화인텍,+181,+592,32632,-22050,[v],-1250
'213420,덕산네오룩스,+105,+484,45903,-50100,[v],-2900
'083650,비에이치아이,+82,+444,53869,+95100,[^],+300
'095340,ISC,+78,+442,56923,-247000,[v],-3000
'086390,유니테스트,+283,+432,15266,-16400,[v],-790
'468530,프로티나,+214,+427,19917,-72000,[v],-4900
'389650,넥스트바이오메디컬,+58,+385,66659,-75900,[v],-3400
'183300,코미코,+47,+383,80664,-103400,[v],-4100
'194700,노바렉스,+168,+334,19842,-13650,[v],-350
'107640,한중엔시에스,+96,+329,34143,-51000,[v],-400
'084370,유진테크,+71,+327,46041,-110900,[v],-5900
'473980,노머스,+83,+287,34557,-17150,[v],-330
'099320,쎄트렉아이,+50,+271,54007,-175900,[v],-12200
'489460,바이오비쥬,+169,+253,14953,-8230,[v],-360
'272290,이녹스첨단소재,+98,+232,23638,-30250,[v],-1950
'475400,씨메스,+84,+213,25309,-29900,[v],-1500
'241710,코스메카코리아,+36,+208,58480,-81900,[v],-2700
'098460,고영,+144,+208,14387,-26050,[v],-1250
'440110,파두,+125,+195,15553,-49900,[v],-2500
'310200,애니플러스,+439,+190,4336,-2745,[v],-45
'475230,엔알비,+158,+188,11924,-20900,[v],-1100
'064760,티씨케이,+17,+186,107563,-225000,[v],-14000
'200710,에이디테크놀로지,+81,+183,22594,-53600,[v],-4200
'347700,스피어,+162,+178,10981,-48400,[v],-2500
'089970,브이엠,+131,+172,13102,-41550,[v],-3150
'028300,HLB,+41,+161,39313,+53500,[^],+200
'095610,테스,+51,+152,29836,-57400,[v],-3500
'204620,글로벌텍스프리,+292,+150,5127,-4900,[v],-160
'277810,레인보우로보틱스,+5,+143,275225,-544000,[v],-23000
'000250,삼천당제약,+7,+135,191467,+1150000,[^],+39000
'403870,HPSP,+51,+132,26023,-42900,[v],-2250
'287840,인투셀,+40,+127,32000,-41400,[v],-3450
'394800,쓰리빌리언,+198,+123,6237,-13140,[v],-330
'060720,KH바텍,+88,+119,13555,-12960,[v],-760
'010170,대한광통신,+1031,+118,1147,-8230,[v],-1070
'080220,제주반도체,+70,+118,16837,-37050,[v],-3100
'243070,휴온스,+37,+115,31037,-25700,[v],-550
'051360,토비스,+59,+100,16845,-15360,[v],-440
'347850,디앤디파마텍,+6,+95,158628,-71300,[v],-6300
'036810,에프에스티,+38,+95,25095,-38100,[v],-850
'263750,펄어비스,+29,+94,32902,+69200,[^],+10400
'123410,코리아에프티,+137,+90,6579,-7000,[v],-170
'065710,서호전기,+24,+90,36764,-43600,[v],-600
'119610,인터로조,+44,+89,20284,-18890,[v],-620
'425040,티이엠씨,+117,+85,7282,+12970,-,+2990
'092730,네오팜,+45,+85,18788,-17010,[v],-610
'478560,블랙야크아이앤씨,+220,+84,3805,-3075,[v],-85
'166090,하나머티리얼즈,+32,+84,26424,-60700,[v],-2700
'098070,한텍,+15,+79,53818,+48500,[^],+2600
'376300,디어유,+15,+76,49776,-30900,[v],-1550
'102710,이엔에프테크놀로지,+17,+63,37479,-48900,[v],-1700
'457370,한켐,+62,+60,9582,-8040,[v],-310
'049720,고려신용정보,+54,+56,10350,-10160,[v],-70
'382900,범한퓨얼셀,+22,+55,25695,-27100,[v],-1050
'036800,나이스정보통신,+23,+53,22771,-24900,[v],-1150
'036930,주성엔지니어링,+20,+52,26744,-64200,[v],-5800
'082270,젬백스,+12,+52,42526,-40950,[v],-100
'201490,미투온,+84,+50,5944,-2915,[v],-70
'104830,원익머트리얼즈,+19,+45,23221,-41550,[v],-450
'347740,피엔케이피부임상연구센타,+144,+44,3076,2055,-,0
'108380,대양전기공업,+15,+43,28640,-25400,[v],-850
'007390,네이처셀,+20,+42,20987,-17810,[v],-470
'065350,신성델타테크,+7,+42,58754,-55600,[v],-2400
'115440,우리넷,+64,+42,6549,-11860,[v],-1930
'041190,우리기술투자,+41,+42,10115,-6290,[v],-220
'052710,아모텍,+31,+41,13342,-12750,[v],-1030
'068760,셀트리온제약,+8,+41,52610,-56800,[v],-1700
'311390,네오크레마,+40,+41,10220,-4295,[v],-125
'140410,메지온,+9,+40,46655,-88900,[v],-9100
'067310,하나마이크론,+30,+40,13588,-29300,[v],-1800
'086710,선진뷰티사이언스,+35,+36,10290,-9630,[v],-330
'376900,로킷헬스케어,+25,+36,14500,+129700,[^],+5700
'328130,루닛,+9,+36,39673,-34100,[v],-500
'222800,심텍,+14,+35,24641,-52200,[v],-4000
