종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'034020,두산에너빌리티,+1207,+5735,47525,-94300,[v],-3800
'034120,SBS,+1803,+5177,28720,-16000,[v],-250
'373220,LG에너지솔루션,+160,+4625,289668,+409500,[^],+15000
'006360,GS건설,+1736,+4194,24155,-26050,[v],-300
'005380,현대차,+192,+3797,197451,-471000,[v],-24000
'011780,금호석유화학,+285,+3619,127121,-120300,[v],-6200
'009540,HD한국조선해양,+100,+3362,335430,-350000,[v],-17000
'035720,카카오,+671,+3351,49915,-47150,[v],-1650
'377300,카카오페이,+591,+3333,56377,-50800,[v],-2700
'352820,하이브,+105,+3227,307519,-303000,[v],-4000
'064350,현대로템,+162,+2662,163924,-179300,[v],-4900
'012510,더존비즈온,+406,+2585,63684,-119100,[v],-200
'251270,넷마블,+429,+2540,59193,-49900,[v],-2300
'00680K,미래에셋증권2우B,+3440,+2436,7081,-19340,[v],-1160
'000660,SK하이닉스,+103,+2407,233287,-877000,[v],-45000
'000720,현대건설,+326,+2392,73420,-147600,[v],-2200
'002380,KCC,+57,+1840,325108,-503000,[v],-22000
'021240,코웨이,+185,+1738,94164,-72000,[v],-1500
'004020,현대제철,+518,+1574,30381,-34500,[v],-500
'010950,S-Oil,+247,+1455,59005,-108800,[v],-900
'005300,롯데칠성,+107,+1282,119886,-113700,[v],-4200
'475150,SK이터닉스,+568,+1274,22433,+58300,[^],+5900
'008770,호텔신라,+246,+1273,51651,-44950,[v],-2500
'079550,LIG넥스원,+27,+1220,458123,-669000,[v],-66000
'375500,DL이앤씨,+239,+1198,50133,+68600,[^],+2800
'003570,SNT다이내믹스,+211,+1022,48476,+49800,[^],+100
'035420,NAVER,+47,+939,199196,-207500,[v],-5000
'000270,기아,+99,+938,94476,-151100,[v],-4700
'008930,한미사이언스,+219,+858,39262,-37300,[v],-1100
'086280,현대글로비스,+67,+820,121855,-216000,[v],-15500
'001440,대한전선,+508,+815,16056,-27800,[v],-450
'006280,녹십자,+56,+765,136446,-146000,[v],-5000
'077970,STX엔진,+317,+735,23215,-31900,[v],-1600
'103140,풍산,+100,+732,73174,-89200,[v],-2500
'316140,우리금융지주,+349,+725,20745,-32400,[v],-1200
'195870,해성디에스,+326,+700,21462,-51100,[v],-3100
'011170,롯데케미칼,+95,+645,67526,-81700,[v],-1000
'323410,카카오뱅크,+223,+637,28624,-24350,[v],-300
'003545,대신증권우,+337,+636,18885,-24100,[v],-650
'071055,한국금융지주우,+73,+594,80838,-154800,[v],-8600
'042660,한화오션,+73,+584,79509,-119100,[v],-4100
'032830,삼성생명,+41,+516,124414,-220000,[v],-3000
'003530,한화투자증권,+948,+513,5410,-6870,[v],-320
'003670,포스코퓨처엠,+43,+508,118983,+218000,[^],+9000
'006800,미래에셋증권,+273,+494,18101,-62900,[v],-4200
'066570,LG전자,+66,+488,73719,-108600,[v],-3400
'062040,산일전기,+68,+475,69483,-143500,[v],-5800
'483650,달바글로벌,+33,+461,141133,-148300,[v],-6200
'051910,LG화학,+22,+453,207424,+323000,[^],+10000
'100090,SK오션플랜트,+225,+451,20093,+27800,[^],+950
'267270,HD건설기계,+60,+438,73384,-126200,[v],-3900
'010780,아이에스동서,+182,+437,24037,-25950,[v],-950
'090430,아모레퍼시픽,+28,+401,143699,-140600,[v],-3800
'016880,웅진,+1731,+397,2291,+2730,[^],+10
'383220,F&F,+49,+381,77822,-62900,[v],-2100
'022100,포스코DX,+166,+371,22407,-30100,[v],-450
'028050,삼성E&A,+159,+366,22953,+33350,[^],+250
'035250,강원랜드,+203,+352,17367,-17900,[v],-360
'006650,대한유화,+39,+347,88381,-127200,[v],-6200
'010140,삼성중공업,+192,+332,17269,-24550,[v],-1450
'090460,비에이치,+258,+322,12487,-21200,[v],-500
'460860,동국제강,+324,+314,9682,-9040,[v],-220
'329180,HD현대중공업,+7,+301,425771,-481000,[v],-17500
'278470,에이피알,+22,+290,131967,+327500,[^],+500
'003350,한국화장품제조,+54,+288,53232,-43700,[v],-2200
'096770,SK이노베이션,+30,+286,95873,+113100,[^],+1700
'005385,현대차우,+19,+286,151863,-243500,[v],-13500
'280360,롯데웰푸드,+22,+268,122260,-112400,[v],-3800
'051915,LG화학우,+26,+266,104030,-153500,[v],-3000
'093370,후성,+552,+265,4797,-7200,[v],-170
'017960,한국카본,+122,+261,21443,-39400,[v],-1100
'001450,현대해상,+101,+253,25114,-31150,[v],-300
