종목코드,종목명,시가총액(억원),섹터,분류자
265520,AP시스템,"3,364",기타,자동(시총↓)
211270,AP위성,"2,534",기타,자동(시총↓)
27410,BGF,"4,135",지주,지니
282330,BGF리테일,"21,518",소비재,지니
1040,CJ,"54,532",지주,기존
35760,CJ ENM,"13,991",엔터,지니
00104K,CJ4우(전환),"6,889",지주,지니
120,CJ대한통운,"25,094",운송,기존
97950,CJ제일제당,"30,003",소비재,지니
51500,CJ프레시웨이,"3,680",기타,자동(시총↓)
58820,CMG제약,"2,485",기타,자동(시총↓)
486240,DAISHIN343 AI반도체&인프라액티브,0,기타,자동(시총↓)
5830,DB손해보험,"122,602",금융,지니
990,DB하이텍,"38,241",반도체,기존
210,DL,"9,346",지주,지니
375500,DL이앤씨,"18,186",건설,지니
7340,DN오토모티브,"20,976",자동차부품,기존
241520,DSC인베스트먼트,"3,780",기타,자동(시총↓)
17860,DS단석,"3,413",기타,자동(시총↓)
17940,E1,"6,627",에너지/화학,지니
365550,ESR켄달스퀘어리츠,"10,557",인프라,지니
383220,F&F,"23,635",소비재,지니
114090,GKL,"7,416",레저/관광,지니
78930,GS,"57,886",지주,기존
83450,GST,"5,612",반도체Scrubber,지니
6360,GS건설,"19,170",건설,기존
7070,GS리테일,"15,902",소비재,지니
12630,HDC,"14,726",지주,지니
294870,HDC현대산업개발,"13,939",건설,지니
267270,HD건설기계,"59,728",건설,기존
9540,HD한국조선해양,"289,816",조선,기존
267250,HD현대,"207,752",지주,기존
443060,HD현대마린솔루션,"76,303",조선,기존
71970,HD현대마린엔진,"27,103",조선,기존
322000,HD현대에너지솔루션,"13,373",태양광,기존
267260,HD현대일렉트릭,"326,227",전력/에너지,지니
329180,HD현대중공업,"611,924",방산/조선,지니
97230,HJ중공업,"23,973",방산/조선,지니
195940,HK이노엔,"14,307",바이오,지니
28300,HLB,"64,895",바이오,기존
24850,HLB이노베이션,"5,655",반도체패키징,기존
204320,HL만도,"23,948",자동차부품,지니
11200,HMM,"197,608",운송,기존
403870,HPSP,"36,089",반도체증착,지니
298050,HS효성첨단소재,"9,408",화학,지니
95340,ISC,"46,634",반도체테스트,지니
175330,JB금융지주,"54,405",금융,지니
1060,JW중외제약,"7,370",바이오,지니
35900,JYP Ent.,"23,238",엔터,기존
105560,KB금융,"556,666",금융,지니
415640,KB발해인프라,"12,193",인프라,지니
432320,KB스타리츠,"2,596",기타,자동(시총↓)
2380,KCC,"45,410",화학,지니
44450,KSS해운,"2,459",기타,자동(시총↓)
30200,KT,"148,441",통신,지니
33780,KT&G,"174,882",소비재,기존
89600,KT나스미디어,"1,372",기타,자동(시총↓)
93050,LF,"6,257",소비재,지니
3550,LG,"136,640",지주,기존
34220,LG디스플레이,"57,150",디스플레이,기존
51900,LG생활건강,"36,802",화장품,기존
64400,LG씨엔에스,"63,557",IT,기존
373220,LG에너지솔루션,"856,440",2차전지,지니
32640,LG유플러스,"65,334",통신,지니
11070,LG이노텍,"60,114",카메라모듈,지니
66570,LG전자,"186,016",가전,기존
51910,LG화학,"206,130",화학,지니
79550,LIG넥스원,"160,600",방산,지니
6260,LS,"84,322",지주,기존
10120,LS ELECTRIC,"219,900",전력/에너지,지니
60370,LS마린솔루션,"16,481",전선,기존
417200,LS머트리얼즈,"14,579",전기,기존
229640,LS에코에너지,"13,659",전선,기존
108320,LX세미콘,"8,165",반도체디자인하우스,지니
1120,LX인터내셔널,"17,616",무역/물류,기존
35420,NAVER,"341,939",플랫폼/IT,지니
181710,NHN,"12,675",플랫폼/IT,지니
60250,NHN KCP,"7,759",플랫폼/IT,지니
5940,NH투자증권,"113,139",금융,기존
34310,NICE,"5,253",플랫폼/IT,지니
30190,NICE평가정보,"9,862",플랫폼/IT,지니
456040,OCI,,2차전지,Shawn
10060,OCI홀딩스,"29,518",태양광,기존
5490,POSCO홀딩스,"269,911",지주,기존
218410,RFHIC,"21,030",위성,기존
327260,RF머트리얼즈,"5,487",방산,기존
474610,RF시스템즈,"1,500",기타,자동(시총↓)
10950,S-Oil,"118,662",화학,기존
419530,SAMG엔터,"3,392",기타,자동(시총↓)
36540,SFA반도체,"11,562",반도체패,지니
5090,SGC에너지,"8,372",에너지/화학,지니
34730,SK,"239,621",에너지/화학,지니
357880,SKAI,"2,658",기타,자동(시총↓)
11790,SKC,"36,959",화학,기존
18670,SK가스,"21,310",화학,기존
6120,SK디스커버리,"9,961",지주,지니
302440,SK바이오사이언스,"33,492",바이오,지니
326030,SK바이오팜,"74,867",바이오,지니
402340,SK스퀘어,"742,330",지주,기존
361610,SK아이이테크놀로지,"17,380",2차전지,지니
100090,SK오션플랜트,"11,771",조선,지니
96770,SK이노베이션,"184,775",화학,기존
475150,SK이터닉스,"12,978",ESS,기존
1510,SK증권,"8,162",금융,지니
17670,SK텔레콤,"163,885",통신,지니
660,SK하이닉스,"6,941,721",반도체,지니
3570,SNT다이내믹스,"17,192",방산/조선,지니
64960,SNT모티브,"8,679",자동차부품,지니
100840,SNT에너지,"9,058",전력/에너지,지니
77970,STX엔진,"13,530",조선,기존
69260,TKG휴켐스,"7,804",화학,지니
2900,TYM,"2,782",기타,자동(시총↓)
494220,UNICORN SK하이닉스밸류체인액티브,0,기타,자동(시총↓)
476000,UNICORN 포스트IPO액티브,0,기타,자동(시총↓)
139130,iM금융지주,"26,519",금융,기존
500,가온전선,"16,047",전선,지니
399720,가온칩스,,반도체ASIC,Shawn
36620,감성코퍼레이션,"5,150",소비재,기존
35250,강원랜드,"38,616",엔터,기존
94480,갤럭시아머니트리,"3,311",기타,자동(시총↓)
9450,경동나비엔,"8,989",소비재,지니
10130,고려아연,"333,968",철강/소재,지니
98460,고영,"19,944",의료기기,기존
318060,그래피,"4,852",반도체/IT,지니
0015G0,그린광학,"4,441",반도체/IT,지니
204620,글로벌텍스프리,"3,008",기타,자동(시총↓)
11780,금호석유화학,"29,963",화학,지니
214330,금호에이치티,968,기타,자동(시총↓)
420770,기가비스,"8,886",반도체검사,기존
270,기아,"632,469",자동차,지니
24110,기업은행,"182,212",금융,기존
121600,나노신소재,"7,217",2차전지,지니
478340,나라스페이스테크놀로지,"4,827",우주항공,지니
242040,나무기술,"2,211",기타,자동(시총↓)
25860,남해화학,"4,297",화학,지니
94860,네오리진,354,기타,자동(시총↓)
253590,네오셈,"8,629",반도체/IT,지니
95660,네오위즈,"6,043",게임,지니
85910,네오티스,"2,390",기타,자동(시총↓)
92730,네오팜,"2,847",기타,자동(시총↓)
290660,네오펙트,771,기타,자동(시총↓)
7390,네이처셀,"11,843",바이오,지니
033640,네패스,,반도체패키징,Shawn
330860,네패스아크,,반도체검사,Shawn
389650,넥스트바이오메디컬,"5,792",바이오,지니
348210,넥스틴,"8,497",반도체검사,지니
92790,넥스틸,"3,076",기타,자동(시총↓)
251270,넷마블,"43,603",게임,지니
473980,노머스,"2,019",기타,자동(시총↓)
194700,노바렉스,"2,508",기타,자동(시총↓)
486990,노타,"9,958",온디바이스먀,기존
6280,녹십자,"17,471",바이오,지니
4370,농심,"21,989",소비재,기존
332290,누보,543,기타,자동(시총↓)
348340,뉴로메카,"8,233",로봇,지니
380550,뉴로핏,"2,908",기타,자동(시총↓)
144960,뉴파워프라즈마,"2,460",기타,자동(시총↓)
64260,다날,"5,441",플랫폼/IT,지니
39560,다산네트웍스,"1,775",기타,자동(시총↓)
032190,다우데이타,,IT,Shawn
323350,다원넥스뷰,"1,270",기타,자동(시총↓)
483650,달바글로벌,"18,168",화장품,기존
353200,대덕전자,"33,109",반도체_PCB,기존
4780,대륙제관,605,기타,자동(시총↓)
389260,대명에너지,"3,655",화학,기존
117580,대성에너지,"2,854",기타,자동(시총↓)
129920,대성하이텍,"1,535",기타,자동(시총↓)
45390,대아티아이,"3,101",기타,자동(시총↓)
47040,대우건설,"49,792",건설,기존
3090,대웅,"13,489",바이오,지니
5710,대원산업,"2,621",기타,자동(시총↓)
6340,대원전선,"4,548",전선,지니
78600,대주전자재료,"17,137",2차전지,기존
96350,대창솔루션,993,기타,자동(시총↓)
10170,대한광통신,"9,595",광통신,기존
6650,대한유화,"8,092",화학,지니
1440,대한전선,"54,722",전선,지니
439260,대한조선,"37,409",조선,기존
3490,대한항공,"90,766",운송,기존
5880,대한해운,"8,117",운송,지니
67080,대화제약,"2,774",기타,자동(시총↓)
298540,더네이쳐홀딩스,"1,040",기타,자동(시총↓)
192080,더블유게임즈,"10,513",게임,지니
393890,더블유씨피,"3,428",기타,자동(시총↓)
299170,더블유에스아이,"1,113",기타,자동(시총↓)
12510,더존비즈온,"36,216",플랫폼/IT,지니
403850,더핑크퐁컴퍼니,"2,602",기타,자동(시총↓)
213420,덕산네오룩스,"11,820",디스플레이,기존
77360,덕산하이메탈,"5,957",반도체패키징소재,기존
0001A0,덕양에너젠,"4,576",에너지/화학,지니
194480,데브시스터즈,"5,209",게임,지니
460860,동국제강,"4,490",철강/소재,지니
86450,동국제약,"8,010",바이오,지니
005960,동부건설,,건설,Shawn
33500,동성화인텍,"8,457",조선,기존
640,동아쏘시오홀딩스,"6,733",바이오,지니
88130,동아엘텍,"1,514",기타,자동(시총↓)
82640,동양생명,"13,457",금융,지니
94170,동운아나텍,"5,541",반도체/IT,지니
6040,동원산업,"16,555",소비재,지니
5290,동진쎄미켐,"25,759",반도체소재,지니
150,두산,"176,189",지주,기존
157,두산2우B,"4,005",지주,지니
454910,두산로보틱스,"57,042",로봇,지니
241560,두산밥캣,"55,309",건설,지니
34020,두산에너빌리티,"677,073",전력/에너지,지니
155,두산우,"20,062",지주,지니
131970,두산테스나,"14,070",반도체패키징,기존
336260,두산퓨얼셀,"28,064",전력/에너지,지니
3160,디아이,"10,174",반도체검사,Shawn
110990,디아이티,"4,442",반도체/IT,지니
347850,디앤디파마텍,"38,137",바이오,기존
376300,디어유,"8,997",엔터,기존
290550,디케이티,"3,800",온디바이스AI,Shawn
281740,레이크머티리얼즈,"12,817",2차전지,지니
277810,레인보우로보틱스,"139,679",로봇,지니
108490,로보티즈,"36,485",로봇,기존
376900,로킷헬스케어,"16,305",바이오,기존
32350,롯데관광개발,"16,279",레저/관광,지니
23530,롯데쇼핑,"28,996",소비재,기존
20150,롯데에너지머티리얼즈,"19,061",2차전지,지니
280360,롯데웰푸드,"10,356",소비재,지니
4000,롯데정밀화학,"13,184",화학,기존
4990,롯데지주,"31,525",지주,지니
5300,롯데칠성,"11,144",소비재,지니
11170,롯데케미칼,"29,558",화학,지니
328130,루닛,"11,143",의료기기,지니
141080,리가켐바이오,"73,587",바이오,지니
58470,리노공업,"85,357",반도체검사,지니
491000,리브스메드,"20,886",의료기기,기존
474650,링크솔루션,"3,606",기타,자동(시총↓)
93520,매커스,"3,569",기타,자동(시총↓)
88980,맥쿼리인프라,"54,118",인프라,기존
215200,메가스터디교육,"4,384",교육,Shawn
41920,메디아나,"3,887",기타,자동(시총↓)
86900,메디톡스,"8,547",바이오,지니
78160,메디포스트,"8,605",바이오,지니
140410,메지온,"34,483",바이오,지니
241770,메카로,"3,129",기타,자동(시총↓)
317450,명인제약,"8,658",바이오,지니
80160,모두투어,"2,145",기타,자동(시총↓)
100790,미래에셋벤처투자,"12,059",금융,지니
85620,미래에셋생명,"30,376",금융,지니
6800,미래에셋증권,"402,064",금융,기존
00680K,미래에셋증권2우B,"29,933",금융,기존
81660,미스토홀딩스,"25,484",지주,지니
59090,미코,"4,555",반도체/IT,지니
206640,바디텍메드,"2,955",기타,자동(시총↓)
53030,바이넥스,"4,086",바이오,지니
382900,범한퓨얼셀,"2,777",기타,자동(시총↓)
310210,보로노이,"63,917",바이오,기존
6910,보성파워텍,"5,940",전력/에너지,지니
3000,부광약품,"5,861",바이오,지니
89970,브이엠,"9,765",반도체식각,기존
18290,브이티,"5,102",화장품,지니
126340,비나텍,"9,622",전력,기존
318410,비비씨,443,기타,자동(시총↓)
90460,비에이치,"6,280",F_반도체_PCB,기존
83650,비에이치아이,"31,409",원전,기존
65170,비엘팜텍,"1,108",기타,자동(시총↓)
488900,비츠로넥스텍,"5,097",전력/에너지,지니
82920,비츠로셀,"12,695",2차전지,지니
42370,비츠로테크,"2,840",기타,자동(시총↓)
65450,빅텍,"1,516",기타,자동(시총↓)
69540,빛과전자,"1,630",기타,자동(시총↓)
62040,산일전기,"41,755",전력/에너지,지니
28050,삼성E&A,"61,446",건설,지니
6400,삼성SDI,"308,643",2차전지,지니
28260,삼성물산,"473,385",무역/물류,기존
207940,삼성바이오로직스,"725,842",바이오,지니
32830,삼성생명,"424,000",금융,기존
18260,삼성에스디에스,"122,644",물류_클라우드,기존
0126Z0,삼성에피스홀딩스,"128,148",바이오,기존
9150,삼성전기,"308,485",반도체ASIC,지니
9155,삼성전기우,"5,012",반도체ASIC,지니
5930,삼성전자,"11,170,357",반도체,지니
5935,삼성전자우,"1,128,493",반도체,지니
10140,삼성중공업,"253,000",방산/조선,지니
29780,삼성카드,"67,430",금융,지니
810,삼성화재,"213,952",금융,지니
815,삼성화재우,"11,887",금융,지니
6110,삼아알미늄,"5,512",철강/소재,지니
0120G0,삼양바이오팜,"6,715",바이오,지니
3230,삼양식품,"78,193",소비재,기존
484590,삼양컴텍,"5,489",플랫폼/IT,지니
3720,삼영,"2,441",기타,자동(시총↓)
54540,삼영엠텍,"1,578",기타,자동(시총↓)
250,삼천당제약,"171,240",바이오,지니
38500,삼표시멘트,"18,454",인프라,기존
437730,삼현,"15,235",로봇,지니
9470,삼화전기,"2,586",기타,자동(시총↓)
1820,삼화콘덴서,"5,333",전자부품,지니
390,삼화페인트,"2,519",기타,자동(시총↓)
452670,상상인제4호스팩,109,기타,자동(시총↓)
91580,상신이디피,"2,151",기타,자동(시총↓)
89980,상아프론테크,"3,518",기타,자동(시총↓)
252990,샘씨엔에스,"6,251",반도체검사,지니
6730,서부T&D,"9,642",호텔,Shawn
46890,서울반도체,"5,825",반도체/IT,지니
31210,서울보증보험,"38,681",금융,지니
178320,서진시스템,"27,191",반도체/IT,지니
171090,선익시스템,"11,385",태양광,기존
14620,성광벤드,"8,804","조선,전력 금속배관",기존
15750,성우하이텍,"7,880",자동차부품,기존
365340,성일하이텍,"6,910",2차전지,지니
43260,성호전자,"33,192",AI 데이터센터_엔비디아향,기존
53060,세동,217,기타,자동(시총↓)
490470,세미파이브,,반도체ASIC,Shawn
1430,세아베스틸지주,"24,135",우주항공,기존
003030,세아제강지주,,금속,Shawn
39310,세중,297,기타,자동(시총↓)
75580,세진중공업,"9,750",조선,지니
321370,센서뷰,"2,358",기타,자동(시총↓)
49180,셀루메드,839,기타,자동(시총↓)
108860,셀바스AI,"3,203",기타,자동(시총↓)
208370,셀바스헬스케어,"1,175",기타,자동(시총↓)
68270,셀트리온,"462,097",바이오,지니
68760,셀트리온제약,"26,429",바이오,지니
215090,솔디펜스,690,기타,자동(시총↓)
248070,솔루엠,"8,387",전자부품,지니
357780,솔브레인,"32,981",반도체소재,기존
36830,솔브레인홀딩스,"11,425",반도체소재,지니
304100,솔트룩스,"3,180",기타,자동(시총↓)
236200,슈프리마,"3,390",기타,자동(시총↓)
253450,스튜디오드래곤,"12,038",엔터,지니
347700,스피어,"24,914",우주항공,기존
56090,시지메드텍,"2,927",기타,자동(시총↓)
65350,신성델타테크,"18,139",반도체/IT,지니
11930,신성이엔지,"4,611",전력/에너지,지니
4170,신세계,"33,662",지주,기존
31430,신세계인터내셔날,"4,443",소비재,지니
1720,신영증권,"32,831",금융,기존
452980,신한제11호스팩,396,기타,자동(시총↓)
